地域階層,地域コード,項番 Item number,地域,District,登録自動車 Motor vehicles registered／総数 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／計 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／普通車 Ordinary,登録自動車 Motor vehicles registered／貨物自動車 Trucks／小型車 Small,登録自動車 Motor vehicles registered／貨物自動車 Trucks／被けん引車 Trailers,登録自動車 Motor vehicles registered／乗用車 Passenger cars／計 Total,登録自動車 Motor vehicles registered／乗用車 Passenger cars／普通車 Ordinary,登録自動車 Motor vehicles registered／乗用車 Passenger cars／小型車 Small,登録自動車 Motor vehicles registered／乗合自動車 Buses,登録自動車 Motor vehicles registered／特種用途車 Special use motor vehicles,登録自動車 Motor vehicles registered／大型特殊車 Heavy special type motor vehicles,1)小型二輪車（検査） Light two-wheeled motor vehicles ( Inspected ),2)課税登録台数軽自動車(四輪車) Light four-wheeled motor vehicles registered,有料駐車場 Pay parking lots／駐車場数 Quantity,有料駐車場 Pay parking lots／収容台数 Capacity
5,13227,24,羽村市,Hamura-shi,20288,1861,731,1108,22,17997,8052,9945,39,309,82,829,…,2,185
5,13228,25,あきる野市,Akiruno-shi,29858,2663,995,1664,4,26207,11260,14947,155,650,183,1531,…,7,2147
5,13229,26,西東京市,Nishitokyo-shi,46833,3334,807,2515,12,42603,20775,21828,97,683,116,2252,…,6,604
3,13300,,郡部,All gun,28416,5515,2714,2590,211,20824,9083,11741,256,1488,333,1211,…,-,-
3,13350,,島部,All islands,10032,2494,949,1523,22,5712,1388,4324,137,802,887,273,…,-,-
,,,地域不詳,Not reported,185,28,11,17,-,49,1,48,2,4,102,1,…,-,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 4　運輸 4　TRANSPORT,,,,,,,,,,,,,,,,,,,
4-6  地域別自動車保有台数及び有料駐車場数 （平成24年度末) ,,,,,,,,,,,,,,,,,,,
登録自動車台数には外国軍人軍属の私有車を含む。 また， 駐車場は駐車場法に基づき届けられた500m2以上のものである。 ,,,,,,,,,,,,,,,,,,,
　　注 1) 総排気量が250ccを超えるオートバイなど。 ,,,,,,,,,,,,,,,,,,,
　　資料： (財)自動車検査登録情報協会，都建設局道路管理部管理課,,,,,,,,,,,,,,,,,,,
4-6  NUMBER OF MOTOR VEHICLES AND PAY PARKING LOTS BY DISTRICT ,,,,,,,,,,,,,,,,,,,
(End of Fiscal Year 2012) ,,,,,,,,,,,,,,,,,,,
Motor vehicles registered include private vehicles owned by foreign military and civilian personnel. ,,,,,,,,,,,,,,,,,,,
Pay parking lots refer to those with an area of at least 500m2 reported as regulated under the Parking Lot Act. ,,,,,,,,,,,,,,,,,,,
　　Note: 1) Such as motorcycles with a displacement of over 250cc. ,,,,,,,,,,,,,,,,,,,
　　Source :  Automobile Inspection and Registration Information Association， Bureau of Construction TMG,,,,,,,,,,,,,,,,,,,
