年次,Year,月次 ,Month,総数 Total／輸出 Exports,総数 Total／輸入 Imports,海上 By sea／輸出 Exports,海上 By sea／輸入 Imports,航空 By air／輸出 Exports,航空 By air／輸入 Imports
平成20,2008,総数,Total,16647653,19475495,5369280.6,8009108,11278372,11466387
平成21,2009,総数,Total,12042964,15228402,3645548,6649965,8397416,8578438
平成22,2010,総数,Total,15031768,17511341,4606841,7527309,10424927,9984032
平成23,2011,総数,Total,14063003,17676833,4709608,8139091,9353395,9537742
平成24,2012,総数,Total,12700363,18374257,4687725,8458523,8012639,9915734
平成24,2012,1,Jan.,893763,1508074,308678,735681,585085,772392
平成24,2012,2,Feb.,1082884,1349021,394942,564743,687942,784278
平成24,2012,3,Mar.,1241087,1583856,449676,714975,791411,868881
平成24,2012,4,Apr.,1108794,1534859,407504,695769,701289,839090
平成24,2012,5,May,1020448,1558543,374390,730615,646058,827928
平成24,2012,6,June,1128127,1489031,435460,685565,692667,803466
平成24,2012,7,July,1024492,1568653,383892,740819,640600,827833
平成24,2012,8,Aug.,1016460,1486550,387280,712262,629181,774288
平成24,2012,9,Sept.,1081470,1506942,394454,693047,687016,813895
平成24,2012,10,Oct.,1016734,1631626,368303,751717,648431,879909
平成24,2012,11,Nov.,1013484,1642856,391444,745598,622040,897258
平成24,2012,12,Dec.,1072620,1514248,391701,687733,680919,826515
,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,
12-5  輸出入額 (平成20～24年) 12-5  VALUE OF FOREIGN TRADE ( 2008-2012 ),,,,,,,,,
この表は， 輸出入申告書， 積みもどし申告書及び船舶， 航空機の入出港届等を資料として作成されたものである。輸出は本船渡価額 (F.O.B.)，輸入は到着価額 (C.I.F.) である。 なお，「海上」 は東京税関管内の「東京港」であり，「航空」は「東京国際空港(羽田)」 と「成田国際空港」分を合計したものである。,,,,,,,,,
"This table has been prepared in reference to import／export declarations， reshipment declarations， notifications of the seaports／airports of entry／departure， and others. Values of exports and imports are based on F.O.B. and C.I.F. prices， respectively.""By sea"" refers to the values of imports／exports passing through the Port of Tokyo， Tokyo Customs， and ""By air"" refers to the value of trade (import／export) through the Tokyo International Airport (Haneda Airport) and Narita International Airport.  ",,,,,,,,,
資料：東京税関 「貿易年表」 Source: Tokyo Customs,,,,,,,,,
（単位  百万円）(In millions of yen)  ,,,,,,,,,
