年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／認容 Granted,既済 Disposed／却下 Rejected,既済 Disposed／取下 Withdrawn,既済 Disposed／その他 Others,未済 Pending
平成23,2011,0,,総数,Total,74130,6407,67723,68456,64433,423,2334,1266,5674
平成24,2012,0,,総数,Total,78999,5674,73325,73625,69512,443,2583,1087,5374
平成24,2012,1,1,家事審判法第9条甲類によるもの,"Cases under any item of Class A， Article 9. Law for Adjustment of Domestic Relations 
",75832,4737,71095,71571,68539,232,2206,594,4261
平成24,2012,2,1,後見開始の審判及びその取消し,Adjudication and revocation of  guardianship,4665,337,4328,4382,4083,11,254,34,283
平成24,2012,2,2,保佐開始の審判・ 取消し等,Adjudication and revocation of  curatorship,1591,159,1432,1428,1220,14,185,9,163
平成24,2012,2,3,補助開始の審判・ 取消し等,Adjudication and revocation of  assistantship,629,66,563,574,483,5,74,12,55
平成24,2012,2,4,不在者の財産の管理に関する処分,Decision about management of absentee's property,1087,153,934,967,640,2,121,204,120
平成24,2012,2,5,失そう宣告及びその取消,Adjudication and revocation of disapperance ,911,387,524,550,419,8,106,17,361
平成24,2012,2,6,嫡出否認の訴についての特別代理人の選任,Appointment of special agent for suit of legitimacy denial, -, -, -, -, -, -, -, -, -
平成24,2012,2,7,子の氏の変更についての許可,Permission of change of children's family names,13734,88,13646,13663,13605,4,32,22,71
平成24,2012,2,8,養子をするについての許可,Permission of adoption of children,194,48,146,151,93,4,54, -,43
平成24,2012,2,9,離縁後に後見人となるべき者の選任…離縁未成年後見人,Appointment of guardians after dissolution of adoption, -, -, -, -, -, -, -, -, -
平成24,2012,2,10,離縁をするについての許可,Permission of dissolution of adoption ,262,10,252,258,250,1,7, -,4
平成24,2012,2,11,特別養子縁組（民法 817-2）,Special adoption of children (Par. 2， Art. 817 of The Civil Law),91,20,71,58,48,1,9, -,33
平成24,2012,2,12,懲戒に関する許可その他の処分,Permission of disciplinary punishment and decision about others , -, -, -, -, -, -, -, -, -
平成24,2012,2,13,利益相反行為についての特別代理人の選任,Appointment of special representative about conflict of interest ,1492,125,1367,1407,1320,7,70,10,85
平成24,2012,2,14,財産管理者の選任その他の財産の管理に関する処分,Appointment of managers of property and dicision of  management of other property, -, -, -, -, -, -, -, -, -
平成24,2012,2,15,親権又は管理権の喪失の宣言及びその取消,Adjudication and revocation of forfeit or parental authority or managing authority,42,13,29,34,1,1,31,1,8
平成24,2012,2,16,親権又は管理権を辞し又は回復についての許可,Permission of resignation and recovery of parental authority or management authority,3, -,3,3,1, -,2, -, -
平成24,2012,2,17,後見人，保佐人又は後見監督人の選任,Appointment of guardians or curators,1490,73,1417,1434,1366,8,48,12,56
平成24,2012,3,,未成年後見人選任,(of which) Appointment of infant guardians,231,42,189,197,163,2,30,2,34
平成24,2012,3,,成年後見人選任,(of which) Appointment of adult guardians,332,23,309,323,307,3,7,6,9
平成24,2012,3,,保佐人選任,(of which) Appointment of curators,46,4,42,44,39, -,3,2,2
平成24,2012,3,,補助人選任,(of which) Appointment of  assistants,16,1,15,16,13, -,2,1, -
平成24,2012,3,,未成年後見監督人選任,(of which) Appointment of supervisor of infant guardians,14, -,14,14,11,1,2, -, -
平成24,2012,3,,成年後見監督人選任,(of which) Appointment of supervisor of adult guardians,774,3,771,764,758,2,3,1,10
平成24,2012,3,,保佐監督人選任,(of which) Appointment of supervisor of curators ,66, -,66,65,64, -,1, -,1
平成24,2012,3,,補助監督人選任,(of which) Appointment of supervisor of assistants,11, -,11,11,11, -, -, -, -
平成24,2012,2,18,後見人，保佐人又は後見監督人の辞任についての許可,Permision of guardians ， curators and supervisior of gardians ,321,27,294,302,284, -,13,5,19
平成24,2012,2,19,後見人，保佐人又は後見監督人の解任,Dismissal of guardians ， curators and supervisior of gardians,81,18,63,65,26,17,14,8,16
平成24,2012,2,20,財産目録の調整の期間の伸長,Extension of the term for making property-lists, -, -, -, -, -, -, -, -, -
平成24,2012,2,21,後見人等権限行使についての定め及びその取消し,Decision  and revocation of authority of guardians and others,209, -,209,206,205, -,1, -,3
平成24,2012,2,22,禁治産者の入院についての許可,Admission of incompetent's hospitalization , -, -, -, -, -, -, -, -, -
平成24,2012,2,23,居住用不動産の処分についての許可,Admission of disporse of dwelling real property,1220,36,1184,1187,1135,1,49,2,33
平成24,2012,2,24,後見人に対する報酬の付与,Giving rewards to guardians,8839,312,8527,8447,8433,4,9,1,392
平成24,2012,2,25,後見等監督処分,Decision of curatorship to guardians and others,4955,663,4292,4336,4255,3, -,78,619
平成24,2012,2,26,管理計算の期間の伸長,Extension of the term for making property-lists,2, -,2,2,2, -, -, -, -
平成24,2012,2,27,臨時保佐人等の選任,Appointment of temporary curators and athers,22,2,20,21,19, -,2, -,1
平成24,2012,2,28,遺産の管理に関する処分,Decision for management of inheritance, -, -, -, -, -, -, -, -, -
平成24,2012,2,29,相続の承認又は放棄の期間の伸長,Extention of the term for recognition or abandonment of succession,970,87,883,903,839,3,54,7,67
平成24,2012,2,30,相続財産の保存又は管理に関する処分,Decision of preservation or management of succeeded property,15,1,14,11,7,1,3, -,4
平成24,2012,2,31,相続の限定承認又は放棄の取消の申述の受理,"Acceptance of statement of cancellation of limited recognition or
abandonment of succession",23,2,21,22,12, -,10, -,1
平成24,2012,2,32,相続の限定承認の申述受理,Acceptance of statement of limited recognition of succession,164,20,144,149,136,2,10,1,15
平成24,2012,2,33,鑑定人の選任,Appointment of expert witness,10,1,9,10,8,1,1, -, -
平成24,2012,2,34,相続放棄の申述の受理,Acceptance of statement of succession abandonment ,18485,1217,17268,17492,17016,22,343,111,993
平成24,2012,2,35,相続財産の分離に関する処分,Decision of separation of succeeded property, -, -, -, -, -, -, -, -, -
平成24,2012,2,36,分離財産管理に関する処分（財産分離）,Decision of management of separated  property, -, -, -, -, -, -, -, -, -
平成24,2012,2,37,"相続財産管理人選任等
その他財産の財産管理に関する処分",Appointment of managers of succeeded property and dicision of management of succeeded property  ,1920,157,1763,1789,1703,1,60,25,131
平成24,2012,2,38,特別縁故者への相続財産の分与,Distribution of succeeded property to special relations,178,62,116,131,82,11,38, -,47
平成24,2012,2,39,遺言の確認　,Confirmation of will,22,1,21,18,11,1,6, -,4
平成24,2012,2,40,遺言書の検認,Inspection of will,2833,212,2621,2609,2574,1,20,14,224
平成24,2012,2,41,遺言執行者の選任,Appointment of executors of will,414,23,391,395,380,1,14, -,19
平成24,2012,2,42,遺言執行者に対する報酬の付与,Giving rewards for executors of will　,60,6,54,55,52, -,3, -,5
平成24,2012,2,43,遺言執行者の解任及び遺言執行者の辞任についての許可,Permission of dismissal and refusal of executors of will　,54,11,43,41,23,3,15, -,13
平成24,2012,2,44,遺言の取消,Withdrawal of will,2,1,1,1, -,1, -, -,1
平成24,2012,2,45,遺留分放棄についての許可,Permission of abandonment of legal portion  ,234,30,204,215,197, -,18, -,19
平成24,2012,2,46,任意後見人に関する法律関係,The legal sistem  abaut optional guardians,492,35,457,470,456,3,6,5,22
平成24,2012,2,47,戸籍法による氏の変更についての許可,Change of family name under Census Registration Law ,1731,85,1646,1640,1417,31,190,2,91
平成24,2012,2,48,戸籍法による名の変更についての許可,Change of name under Census Registration Law ,1167,66,1101,1076,791,44,238,3,91
平成24,2012,2,49,就籍についての許可　,Entrance in census registration 　　,129,90,39,50,34,3,12,1,79
平成24,2012,2,50,戸籍の訂正についての許可,Correction of census registration ,194,28,166,177,149,4,24, -,17
平成24,2012,2,51,戸籍事件についての市町村長の処分に対する不服,"Discontent with decision of heads of shi， machi and mura about registration 
cases",5,2,3,3, -,2,1, -,2
平成24,2012,2,52,戸籍届出の委託確認,Confirmation of trust of registration statement　, -, -, -, -, -, -, -, -, -
平成24,2012,2,53,性別の取扱いの変更,Change of registered gender,157,8,149,145,144, -,1, -,12
平成24,2012,2,54,児童福祉法第28条の事件,Cases under Art. 28， Child Welfare Law,43,18,25,37,27,1,9, -,6
平成24,2012,2,55,生活保護法第30条第3項の事件,Cases under Par. 3， Art. 30， Livelihood Protection Law, -, -, -, -, -, -, -, -, -
平成24,2012,2,56,精神保健法第20条第2項の事件,Cases under Par. 2， Art. 20， Mental Health Law,4684,36,4648,4652,4588,5,49,10,32
平成24,2012,2,57,破産法の事件,Cases under Bankruptcy Law,2, -,,1,1, -, -, -,1
平成24,2012,2,58,中小企業における経営の承継の円滑化に関する法律8条1項の事件,"The incident of 8 articles of law 1st clause about facilitation of succession of the management in small and medium-sized enterprises 
",4,1,,4,4, -, -, -, -
平成24,2012,2,2,家事審判法第９条乙類によるもの,"Cases under any item of Class B， Art. 9， Law for Adjustment of Domestic 
Relations",3167,937,2230,2054,973,211,377,493,1113
平成24,2012,2,1,夫婦の同居その他の夫婦間の協力扶助に関する処分,"Decision made on living together，cooperation，support and other matters
between husband and wife",14,1,13,9, -,3,5,1,5
平成24,2012,2,2,財産管理者の変更及び共有財産の分割に関する処分,Decision on change of manager of property and division of common property, -, -, -, -, -, -, -, -, -
