年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,地方税 Local taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税 交付金 Local consumption tax allocations,ゴルフ場利用税交付金 Golf facilities tax allocations,特別地方消費税交付金 Special local consumption tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,地方交付税 Local allocation tax,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,国有提供施設等所在市町村助成交付金 Subsidies to municipalities where national facilities are located,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成22,2010,13200,,市部,All shi,1437498,683332,7423,4537,2239,42512,431,-,4413,7002,42616,616,10585,16478,14092,210485,2899,172381,10156,2302,53297,42554,13442,93706
平成23,2011,13200,,市部,All shi,1439973,685266,7416,4229,2302,42210,401,-,3711,7699,49554,597,10980,16249,13802,222129,2943,179154,7604,2527,46584,35322,15927,83368
平成24,2012,13200,,市部,All shi,1440032,684499,6944,4051,2572,42109,404,-,4197,3265,51893,589,11916,16327,13841,219443,2941,185810,7289,2912,35158,40456,18918,84501
平成24,2012,13201,1,八王子市,Hachioji-shi,187374,88370,1061,495,314,6041,94,-,645,497,6559,92,1649,1954,2274,33203,1,25323,412,100,818,3510,1421,12541
平成24,2012,13202,2,立川市,Tachikawa-shi,71463,37735,288,168,106,2297,-,-,174,141,56,29,451,905,422,12847,493,8032,32,51,274,2891,562,3508
平成24,2012,13203,3,武蔵野市,Musashino-shi,58789,36900,189,212,135,1762,-,-,114,39,95,16,235,953,660,6381,0,4962,196,14,1594,3147,678,506
平成24,2012,13204,4,三鷹市,Mitaka-shi,68657,34362,273,225,143,1864,-,-,165,109,974,23,504,882,567,9577,0,6913,1951,23,1276,1435,474,6916
平成24,2012,13205,5,青梅市,Ome-shi,50536,20186,300,111,70,1461,52,-,181,116,2806,26,934,520,563,7428,0,7316,523,8,2462,883,478,4110
平成24,2012,13206,6,府中市,Fuchu-shi,93111,47459,412,258,164,2857,-,-,249,223,108,34,583,1558,1063,14425,4,9810,350,930,2599,3041,2301,4681
平成24,2012,13207,7,昭島市,Akishima-shi,38637,18303,183,95,61,1211,28,-,111,106,764,15,520,469,440,7135,13,5614,56,9,670,983,377,1473
平成24,2012,13208,8,調布市,Chofu-shi,78018,41994,346,257,163,2250,7,-,208,150,1155,30,840,1072,892,10484,0,9171,774,295,2660,2143,662,2465
平成24,2012,13209,9,町田市,Machida-shi,139585,66082,757,420,266,4175,36,-,458,391,2011,65,1051,1075,1777,21945,0,17705,667,20,6114,4007,1395,9168
平成24,2012,13210,10,小金井市,Koganei-shi,37912,19885,177,138,88,1098,-,-,104,62,238,13,787,573,442,4862,0,4678,9,12,1517,1307,294,1627
平成24,2012,13211,11,小平市,Kodaira-shi,61986,29991,278,180,114,1803,18,-,168,142,1714,25,210,775,266,8841,0,9490,81,3,1921,1836,469,3662
平成24,2012,13212,12,日野市,Hino-shi,60006,28695,313,171,109,1783,-,-,190,146,1656,25,485,826,716,8858,0,7920,328,596,1816,2278,1180,1916
平成24,2012,13213,13,東村山市,Higashimurayama-shi,50746,20195,243,128,82,1409,-,-,147,147,4274,22,253,666,553,8588,0,7381,10,34,2208,554,415,3438
平成24,2012,13214,14,国分寺市,Kokubunji-shi,44643,21484,187,145,92,1155,-,-,113,67,440,13,311,741,208,6176,0,4922,754,446,811,1167,3178,2234
平成24,2012,13215,15,国立市,Kunitachi-shi,26941,14304,125,92,59,775,-,-,76,44,453,12,176,417,173,3377,0,4012,111,112,155,496,727,1244
平成24,2012,13218,16,福生市,Fussa-shi,23080,7878,103,48,31,587,-,-,63,32,2831,12,207,194,189,3852,1449,3328,13,7,760,619,156,722
平成24,2012,13219,17,狛江市,Komae-shi,25588,11335,117,85,54,706,-,-,70,47,1833,9,91,296,318,3019,0,3569,28,15,467,832,667,2030
平成24,2012,13220,18,東大和市,Higashiyamato-shi,29201,12104,148,70,44,790,-,-,89,77,2021,14,327,161,126,4947,0,4278,44,41,325,1149,243,2201
平成24,2012,13221,19,清瀬市,Kiyose-shi,27569,8966,118,60,38,685,-,-,71,63,4150,9,148,226,175,4861,26,4050,79,17,625,1171,170,1861
平成24,2012,13222,20,東久留米市,Higashikurume-shi,36744,15972,193,104,66,1067,-,-,117,93,3267,16,217,351,66,6024,0,5369,13,96,234,795,378,2307
平成24,2012,13223,21,武蔵村山市,Musashimurayama-shi,27659,9873,133,49,31,726,-,-,80,89,2315,13,311,109,135,5023,473,4212,82,3,840,1079,317,1767
平成24,2012,13224,22,多摩市,Tama-shi,49998,27533,268,149,95,1606,33,-,163,98,104,20,467,326,607,7217,31,6443,125,0,1790,1793,361,769
平成24,2012,13225,23,稲城市,Inagi-shi,34486,13904,157,85,54,795,79,-,95,82,1504,11,264,310,307,4380,225,5423,99,34,568,1055,997,4058
平成24,2012,13227,24,羽村市,Hamura-shi,20527,10173,109,48,30,637,-,-,66,52,612,10,185,234,196,2879,224,2795,80,0,658,444,298,796
平成24,2012,13228,25,あきる野市,Akiruno-shi,31159,10522,179,62,39,766,55,-,108,74,4938,14,338,176,292,3542,0,5409,108,5,231,570,365,3364
平成24,2012,13229,26,西東京市,Nishitokyo-shi,65618,30294,285,195,124,1805,-,-,172,177,5015,22,371,556,413,9574,0,7685,363,38,1764,1271,355,5138
