品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,単位, Units,総数 Total／数量 Quantity,総数 Total／金額 Value,海上 By sea／数量 Quantity,海上 By sea／金額 Value,航空 By air／数量 Quantity,航空 By air／金額 Value
総額,Total,,,,,,,,,,12700363,,4687725,,8012639
食料品及び動物,Foodstuffs and animals,,,,,,,,,,61090,,50107,,10983
食料品及び動物,Foodstuffs and animals,魚介類及び同調製品,Fish and fish preparations,,,,,1，000t,,106,21039,106,19901,0,1138
飲料及びたばこ,Beverages and tobacco,,,,,,,,,,8669,,8531,,138
食料に適さない原材料,No beverage Raw material,,,,,,,,,,130377,,109873,0,20504
食料に適さない原材料,No beverage Raw material,パルプ及び古紙,Pulp and usedpaper,,,,,1，000t,,2343,36714,2343,36714,-,-
食料に適さない原材料,No beverage Raw material,金属鉱及びくず,Metalliferous ores and metal scraps,,,,,1，000t,,691,50629,691,35159,,15470
鉱物性燃料,Mineral fuels,,,,,,,,,,3732,,3321,,410
動植物性油脂,Animal and vegetable oils and fats,,,,,,,1，000t,,9,1444,9,1080,0,364
化学製品,Chemical products,,,,,,,,,,1164408,,462648,,701760
化学製品,Chemical products,有機化合物,Organic chemicals,,,,,,,,91204,,29779,,61425
化学製品,Chemical products,プラスチック,Plastic materials,,,,,1，000t,,772,374504,753,233955,19,140549
原料別製品,Manufactured goods by raw materials,,,,,,,,,,930729,,429158,,501570
原料別製品,Manufactured goods by raw materials,ゴム製品,Rubber goods,,,,,1，000t,,69,78366,67,60797,2,17568
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,,,,,,,,157253,,57826,,99428
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,ガラス及び同製品,Glass and glasswares,,,,,,83480,,33556,,49924
原料別製品,Manufactured goods by raw materials,鉄鋼,Iron and steel products,,,,,1，000t,,273,43555,273,43555,-,-
