地域,District,平成10年 1998,平成11年 1999,平成12年 2000,平成13年 2001,平成14年 2002,平成15年 2003,平成16年 2004,平成17年 2005,平成18年 2006,平成19年 2007,平成20年 2008,平成21年 2009,平成22年 2010,平成23年 2011,平成24年 2012
総数,Total,646,653,652,554,551,553,556,549,537,525,512,488,471,440,461
区部,All ku,107,105,107,47,45,45,44,43,42,43,41,39,39,37,39
多摩地区,Tama area,539,548,545,507,506,509,512,505,495,482,471,449,433,404,423
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,
19-13  地下水揚水量の推移 (平成10～平成24年) 19-13  CHANGES IN QUANTITY OF PUMPED UNDERGROUND WATER ( 1998-2012 ）,,,,,,,,,,,,,,,,
注． 平成13年より算出方法変更,,,,,,,,,,,,,,,,
Note. Calculation method changed from 2001.,,,,,,,,,,,,,,,,
資料：都環境局自然環境部水環境課 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,,,
 (単位  千m3／日）(Unit: 1000m3／day),,,,,,,,,,,,,,,,
