年度(和暦),Fiscal year,路線と地域,District and Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets
平成24,2012,南武線,Nambu Line,分倍河原,Bubaigawara,,14009,9265,4744
平成24,2012,南武線,Nambu Line,西府,Nishifu,,3295,2295,1000
平成24,2012,南武線,Nambu Line,谷保,Yaho,,3619,2427,1192
平成24,2012,南武線,Nambu Line,矢川,Yagawa,,2750,1803,946
平成24,2012,南武線,Nambu Line,西国立,Nishi-kunitachi,,3487,2412,1074
平成24,2012,横浜線,Yokohama Line,,,,59022,37417,21605
平成24,2012,横浜線,Yokohama Line,成瀬,Naruse,,6956,4389,2567
平成24,2012,横浜線,Yokohama Line,町田,Machida,,40348,24814,15534
平成24,2012,横浜線,Yokohama Line,相原,Aihara,,3722,2639,1083
平成24,2012,横浜線,Yokohama Line,八王子みなみ野,Hachiojiminamino,,6127,4405,1722
平成24,2012,横浜線,Yokohama Line,片倉,Katakura,,1869,1170,699
平成24,2012,青梅線,Ome Line,,,,58603,38103,20496
平成24,2012,青梅線,Ome Line,西立川,Nishi-tachikawa,,2373,1282,1090
平成24,2012,青梅線,Ome Line,東中神,Higashi-nakagami,,2546,1698,848
平成24,2012,青梅線,Ome Line,中神,Nakagami,,3784,2537,1246
平成24,2012,青梅線,Ome Line,昭島,Akishima,,9492,6106,3385
平成24,2012,青梅線,Ome Line,拝島,Haijima,,10390,6753,3637
平成24,2012,青梅線,Ome Line,牛浜,Ushihama,,1581,875,706
平成24,2012,青梅線,Ome Line,福生,Fussa,,5992,3748,2244
平成24,2012,青梅線,Ome Line,羽村,Hamura,,5114,3463,1650
平成24,2012,青梅線,Ome Line,小作,Ozaku,,6172,4249,1923
平成24,2012,青梅線,Ome Line,河辺,Kabe,,4850,3212,1638
平成24,2012,青梅線,Ome Line,東青梅,Higashi-ome,,2476,1766,710
平成24,2012,青梅線,Ome Line,青梅,Ome,,2553,1811,742
平成24,2012,青梅線,Ome Line,宮ノ平,Miyanohira,○,…,…,…
平成24,2012,青梅線,Ome Line,日向和田,Hinatawada,,358,244,114
平成24,2012,青梅線,Ome Line,石神前,Ishigamimae,○,…,…,…
平成24,2012,青梅線,Ome Line,二俣尾,Futamatao,,175,127,48
平成24,2012,青梅線,Ome Line,軍畑,Ikusabata,○,…,…,…
平成24,2012,青梅線,Ome Line,沢井,Sawai,○,…,…,…
平成24,2012,青梅線,Ome Line,御嶽,Mitake,,244,46,198
平成24,2012,青梅線,Ome Line,川井,Kawai,○,…,…,…
平成24,2012,青梅線,Ome Line,古里,Kori,,100,57,43
平成24,2012,青梅線,Ome Line,鳩ノ巣,Hatonosu,,80,31,49
平成24,2012,青梅線,Ome Line,白丸,Shiromaru,○,…,…,…
平成24,2012,青梅線,Ome Line,奥多摩,Okutama,,323,98,225
平成24,2012,五日市線,Itsukaichi Line,,,,9118,6413,2704
平成24,2012,五日市線,Itsukaichi Line,熊川,Kumagawa,,520,350,170
平成24,2012,五日市線,Itsukaichi Line,東秋留,Higashi-akiru,,1766,1262,504
平成24,2012,五日市線,Itsukaichi Line,秋川,Akigawa,,2704,1915,789
平成24,2012,五日市線,Itsukaichi Line,武蔵引田,Musashi-hikida,,1486,1112,374
平成24,2012,五日市線,Itsukaichi Line,武蔵増戸,Musashi-masuko,,968,676,292
平成24,2012,五日市線,Itsukaichi Line,武蔵五日市,Musashi-itsukaichi,,1674,1098,575
平成24,2012,武蔵野線,Musashino Line,,,,22736,15587,7150
平成24,2012,武蔵野線,Musashino Line,北府中,Kita-fuchu,,4999,3885,1114
平成24,2012,武蔵野線,Musashino Line,新小平,Shin-kodaira,,4085,2767,1318
平成24,2012,武蔵野線,Musashino Line,新秋津,Shin-akitsu,,13652,8935,4718
平成24,2012,八高線,Hachiko Line,,,,5445,4215,1230
平成24,2012,八高線,Hachiko Line,北八王子,Kita-hachioji,,2830,2324,506
平成24,2012,八高線,Hachiko Line,小宮,Komiya,,1058,747,312
平成24,2012,八高線,Hachiko Line,東福生,Higashi-fussa,○,…,…,…
平成24,2012,八高線,Hachiko Line,箱根ケ崎,Hakonegasaki,,1557,1144,412
平成24,2012,東北本線,Musashino Line,,,※,340878,181462,159416
平成24,2012,東北本線,Musashino Line,秋葉原,Akihabara,,85478,39239,46240
平成24,2012,東北本線,Musashino Line,御徒町,Okachimachi,,24724,13512,11212
平成24,2012,東北本線,Musashino Line,上野,Ueno,,67018,31921,35097
平成24,2012,東北本線,Musashino Line,鶯谷,Uguisudani,,8824,3995,4828
平成24,2012,東北本線,Musashino Line,日暮里,Nippori,,36455,20174,16281
平成24,2012,東北本線,Musashino Line,西日暮里,Nishi-nippori,,34633,21799,12833
平成24,2012,東北本線,Musashino Line,田端,Tabata,,16117,9227,6890
平成24,2012,東北本線,Musashino Line,上中里,Kami-nakazato,,2545,1609,936
平成24,2012,東北本線,Musashino Line,王子,Oji,,22140,14404,7736
平成24,2012,東北本線,Musashino Line,東十条,Higashi-jujo,,7947,4983,2964
平成24,2012,東北本線,Musashino Line,赤羽,Akabane,,32171,18737,13434
平成24,2012,東北本線,Musashino Line,尾久,Oku,,2826,1862,965
平成24,2012,山手線,Yamanote Line,,,※,998453,555341,443113
平成24,2012,山手線,Yamanote Line,大崎,Osaki,,50484,33093,17391
平成24,2012,山手線,Yamanote Line,五反田,Gotanda,,47681,28513,19168
平成24,2012,山手線,Yamanote Line,目黒,Meguro,,37607,20962,16645
平成24,2012,山手線,Yamanote Line,恵比寿,Ebisu,,47538,25357,22181
平成24,2012,山手線,Yamanote Line,渋谷,Shibuya,,150383,79425,70959
平成24,2012,山手線,Yamanote Line,原宿,Harajuku,,26088,8803,17285
平成24,2012,山手線,Yamanote Line,新宿,Shinjuku,,271134,144489,126646
平成24,2012,山手線,Yamanote Line,新大久保,Shin-okubo,,15164,6190,8974
平成24,2012,山手線,Yamanote Line,高田馬場,Takadanobaba,,73644,45356,28288
平成24,2012,山手線,Yamanote Line,目白,Mejiro,,13755,8510,5244
平成24,2012,山手線,Yamanote Line,池袋,Ikebukuro,,201026,117421,83605
平成24,2012,山手線,Yamanote Line,大塚,Otsuka,,18967,10345,8622
平成24,2012,山手線,Yamanote Line,巣鴨,Sugamo,,27831,16667,11164
平成24,2012,山手線,Yamanote Line,駒込,Komagome,,17151,10210,6941
平成24,2012,埼京線,Saikyo Line,,,※,37844,25157,12687
平成24,2012,埼京線,Saikyo Line,板橋,Itabashi,,11305,6828,4477
平成24,2012,埼京線,Saikyo Line,十条,Jujo,,12879,8929,3950
平成24,2012,埼京線,Saikyo Line,北赤羽,Kita-akabane,,6303,4425,1878
平成24,2012,埼京線,Saikyo Line,浮間舟渡,Ukimafunado,,7357,4975,2382
平成24,2012,常磐線,Joban Line,,,※,118259,84289,33971
平成24,2012,常磐線,Joban Line,三河島,Mikawashima,,3602,2440,1162
平成24,2012,常磐線,Joban Line,南千住,Minami-senju,,5742,3739,2004
平成24,2012,常磐線,Joban Line,北千住,Kita-senju,,72498,54066,18432
平成24,2012,常磐線,Joban Line,綾瀬,Ayase,,5662,3867,1796
平成24,2012,常磐線,Joban Line,亀有,Kameari,,14412,9312,5099
平成24,2012,常磐線,Joban Line,金町,Kanamachi,,16343,10865,5478
平成24,2012,総武線,Sobu Line,,,※,165605,104398,61208
平成24,2012,総武線,Sobu Line,両国,Ryogoku,,13856,8457,5399
平成24,2012,総武線,Sobu Line,浅草橋,Asakusabashi,,19075,11643,7431
平成24,2012,総武線,Sobu Line,新日本橋,Shin-nihombashi,,6549,4848,1702
平成24,2012,総武線,Sobu Line,馬喰町,Bakurocho,,8941,6192,2748
平成24,2012,総武線,Sobu Line,錦糸町,Kinshicho,,36956,20451,16505
平成24,2012,総武線,Sobu Line,亀戸,Kameido,,20253,12900,7354
平成24,2012,総武線,Sobu Line,平井,Hirai,,11347,7596,3752
平成24,2012,総武線,Sobu Line,新小岩,Shin-koiwa,,25871,17363,8508
平成24,2012,総武線,Sobu Line,小岩,Koiwa,,22757,14948,7809
平成24,2012,京葉線,Keiyo Line,,,※,45496,28167,17329
平成24,2012,京葉線,Keiyo Line,八丁堀,Hatchobori,,10970,6868,4101
平成24,2012,京葉線,Keiyo Line,越中島,Etchujima,,1544,1017,527
平成24,2012,京葉線,Keiyo Line,潮見,Shiomi,,3860,2532,1328
平成24,2012,京葉線,Keiyo Line,新木場,Shin-kiba,,24670,15389,9282
平成24,2012,京葉線,Keiyo Line,葛西臨海公園,Kasairinkaikoen,,4452,2361,2091
,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 4　運輸 4　TRANSPORT,,,,,,,,,
4-8　JRの駅別乗車人員 （平成20～24年度） ,,,,,,,,,
各駅はJRの基準により配列し， また J R 内の乗り継ぎを除き， 乗り換え駅は主線に載せた。 ,,,,,,,,,
（単位　千人） ,,,,,,,,,
　　注 1) ※印は区部にある駅 （線） を示す。 ,,,,,,,,,
　　　  2) ○印の駅は無人駅のため，資料元において非公開としているので各々の計にも含まない。 ,,,,,,,,,
　　資料：東日本旅客鉄道㈱東京支社総務部企画室 ,,,,,,,,,
4-8  NUMBER OF PASSENGERS ON EAST JAPAN RAILWAY COMPANY TRAINS ,,,,,,,,,
BY STATION (Fiscal Years 2008～2012) ,,,,,,,,,
Stations are listed according to JR standards. Figures exclude transfers between JR lines. Transit stations are listed under their main line. ,,,,,,,,,
(In thousands) ,,,,,,,,,
　　Note: 1) Lines and stations marked with  a ※ refer to those located in the ku area. ,,,,,,,,,
2) The source is not publicizing figures for stations marked with a ○ because they are unmanned stations. ,,,,,,,,,
　　Source : East Japan Railway Company ,,,,,,,,,
