年度,Fiscalyear,組織,Formoforganization,業種,Contractorclassification,資本金階層別,Bysizeofcapital,企業数Enterprises,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／総数Total,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／民間発注Privatecontract／総数Total,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／民間発注Privatecontract／土木Civilengineering,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／民間発注Privatecontract／建築Buildingconstruction,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／民間発注Privatecontract／機械Machinery,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／公共発注Publiccontract／総数Total,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／公共発注Publiccontract／土木Civilengineering,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／公共発注Publiccontract／建築Buildingconstruction,完成工事高Valueofconstructionworkcompleted／元請Originalcontract／公共発注Publiccontract／機械Machinery,完成工事高Valueofconstructionworkcompleted／下請Subcontract／総数Total,完成工事高Valueofconstructionworkcompleted／下請Subcontract／土木Civilengineering,完成工事高Valueofconstructionworkcompleted／下請Subcontract／建築Buildingconstruction,完成工事高Valueofconstructionworkcompleted／下請Subcontract／機械Machinery
平成19,2007,総数,Total,,,,,10741,20043142,15788245,2002577,11528811,2256857,4254898,2569014,985091,700793,7595001,1894239,4510054,1190708
平成20,2008,総数,Total,,,,,19753,20316122,16220432,1982890,11805883,2431659,4095690,2474251,897063,724375,8404180,2015131,5058946,1330103
平成21,2009,総数,Total,,,,,20355,17203644,13115605,1748823,9199765,2167017,4088039,2410000,982613,695426,7627540,1868410,4665701,1093429
平成22,2010,総数,Total,,,,,20738,17279387,13206170,1696881,9557494,1951794,4073218,2258089,1159768,655360,6556873,1494584,4172409,889879
平成23,2011,総数,Total,,,,,21722,18394201,14605004,1809383,10641250,2154373,3789197,2015853,1189582,583762,6831194,1578959,4360232,892003
平成23,2011,経営組織別,Byformoforganization,許可業者,Licensedcontractors,,,21722,18394201,14605004,1809383,10641250,2154373,3789197,2015853,1189582,583762,6831194,1578959,4360232,892003
平成23,2011,経営組織別,Byformoforganization,許可業者,Licensedcontractors,大臣許可,Licensedbyminister,1854,16610775,13206219,1702850,9581026,1922343,3404556,1853510,987899,563147,4771125,1231125,2871417,668583
平成23,2011,経営組織別,Byformoforganization,許可業者,Licensedcontractors,知事許可,Licensedbygovernor,19868,1783426,1398785,106533,1060224,232030,384641,162343,201683,20615,2060069,347834,1488815,223420
平成23,2011,業種別（許可業者）,Bycontractorclassification(licensedcontractors),総合工事業,Generalconstructionwork,,,7278,13081366,10196731,1198832,8692917,304981,2884636,1895798,858492,130346,2117113,1186769,858386,71958
平成23,2011,業種別（許可業者）,Bycontractorclassification(licensedcontractors),総合工事業,Generalconstructionwork,一般土木建築工事業,Generalcivilengineeringworkandbuildingwork,103,4491633,3188833,523490,2663781,1562,1302800,909559,392097,1144,184679,68045,116405,229
平成23,2011,業種別（許可業者）,Bycontractorclassification(licensedcontractors),総合工事業,Generalconstructionwork,土木工事業,Civilengineeringwork,1047,920719,532432,353870,45770,132793,388287,366971,10649,10668,555651,513132,12827,29692
平成23,2011,業種別（許可業者）,Bycontractorclassification(licensedcontractors),総合工事業,Generalconstructionwork,造園工事業,Gardeningwork,444,33607,15540,15071,241,229,18067,17960,65,42,32674,32237,316,121
平成23,2011,業種別（許可業者）,Bycontractorclassification(licensedcontractors),総合工事業,Generalconstructionwork,水道施設工事業,Plumbingwork,195,173001,24781,11402,627,12752,148220,35153,2351,110716,69689,43066,1107,25516
平成23,2011,業種別（許可業者）,Bycontractorclassification(licensedcontractors),総合工事業,Generalconstructionwork,舗装工事業,Pavingwork,391,342094,83079,71202,6471,5406,259015,257899,1116,-,483462,480307,3072,83
平成23,2011,業種別（許可業者）,Bycontractorclassification(licensedcontractors),総合工事業,Generalconstructionwork,しゅんせつ工事業,Dredgingwork,24,3941,154,154,-,-,3787,3761,-,26,31606,31468,-,138
平成23,2011,業種別（許可業者）,Bycontractorclassification(licensedcontractors),総合工事業,Generalconstructionwork,建築工事業,Buildingwork(exceptwoodenbuildings),3798,6399604,5642268,223645,5266444,152178,757336,304491,445096,7750,709526,18515,674833,16179
