年次,Year,月次 ,Month,立会日数 Trading days,上場会社数 (年・月末) Number of listed companies (End of y.& m.),時価総額 (年・月末）(百万円) Market Capitalization (End of y.& m.) (million yen),一日平均売買株数 (千株) Daily average trading volume (thousand shares),売買回転率 Turnover ratio (%),東証第二部株価指数平均 TSE Second section stock price index average,単純株価平均 (円) Arithmetic stock price average (yen),単純平均利回り Average yield (%)
平成20,2008,総数,Total,245,462,3237779,48061,84.19,2597.43,212.42,2.31
平成21,2009,総数,Total,243,452,3583698,41985,76.37,2049.7,169.68,2.74
平成22,2010,総数,Total,245,431,3447326,29857,57.36,2129.54,170.08,2.32
平成23,2011,総数,Total,245,431,3240483,40206,79.71,2215.57,166.84,2.29
平成24,2012,総数,Total,248,415,3227363,31063,66.09,2280.83,159.18,2.32
平成24,2012,1,Jan.,19,428,3223397,38021,5.93,2162.51,158.43,2.4
平成24,2012,2,Feb.,21,430,3471425,62226,10.71,2291.63,166.87,2.28
平成24,2012,3,Mar.,21,427,3520572,53760,9.23,2416.59,174.84,2.16
平成24,2012,4,Apr.,20,425,3418454,44352,7.26,2404.13,170.7,2.2
平成24,2012,5,May,21,428,3158754,25490,4.38,2267.64,159.95,2.29
平成24,2012,6,June,21,424,3227747,22743,4,2236.44,155.69,2.36
平成24,2012,7,July,21,422,3118712,19114,3.45,2277.25,156.46,2.32
平成24,2012,8,Aug.,23,420,3070083,19235,3.81,2244.51,155.18,2.34
平成24,2012,9,Sept.,19,419,2988616,17076,2.82,2233.43,152.65,2.38
平成24,2012,10,Oct.,22,417,2957386,19974,3.9,2214.88,150.41,2.41
平成24,2012,11,Nov.,21,415,3014999,21027,3.98,2246.58,152.05,2.38
平成24,2012,12,Dec.,19,415,3227363,31382,5.37,2380.56,157.35,2.26
,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　15  金融 15  FINANCE,,,,,,,,,,,
15-6  株式取引状況 (2) 第二部  (平成20～24年) 15-6  TRANSACTIONS OF STOCK (2) THE 2nd SECTION ( 2008-2012 ),,,,,,,,,,,
この表については， 数値の単位未満を切り捨てているため （ただし， 平均値は， 四捨五入），合計と内訳の計とが一致しない場合もある。,,,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,,,
注) 単純株価平均及び単純平均利回りは全銘柄による。「東証株価指数」及び「 東証第二部株価指数」は昭和43年1月4日＝100 とする。,,,,,,,,,,,
Note: Arithmetic stock price average and average yield have been on all issues. “Tokyo stock price index” and “TSE second section stock price index” ; base : Jan. 4， 1968=100,,,,,,,,,,,
資料：(株)東京証券取引所 「東証統計月報」 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,,,
