行為　Offenses,平成23年 2011,平成24年 2012,14歳未満 under 14 years,14歳 years,15歳 years,16歳 years,17歳 years,18歳 years,19歳 years,20歳 years,不明 Unreported
総数 Total,6072,4967,7,505,873,852,794,789,1147, -, -
刑法犯 Criminal offenses,5470,4425,6,433,788,773,696,690,1039, -, -
刑法犯 Criminal offenses／窃盗 Larceny,2950,2137, -,287,489,439,358,260,304, -, -
刑法犯 Criminal offenses／強盗 Robbery,6,20, -, -, -, -,4,11,5, -, -
刑法犯 Criminal offenses／詐欺 Fraud,99,176, -,6,9,34,39,30,58, -, -
刑法犯 Criminal offenses／恐喝 Extortion,84,72, -,5,18,9,15,15,10, -, -
刑法犯 Criminal offenses／横領 Embezzlement,932,746, -,58,114,106,94,114,260, -, -
刑法犯 Criminal offenses／盗品譲受け等 Receipt of stolen property， etc.,58,40, -,5,11,7,8,4,5, -, -
刑法犯 Criminal offenses／傷害，傷害致死 Bodily injury or death through bodily injury,321,315, -,32,55,64,58,50,56, -, -
刑法犯 Criminal offenses／暴行 Violence,52,49, -,8,8,9,4,11,9, -, -
刑法犯 Criminal offenses／脅迫 Intimidation,6,6, -, -,2,3,1, -, -, -, -
刑法犯 Criminal offenses／殺人 Homicides,3,7, -, -, -, -, -,5,2, -, -
刑法犯 Criminal offenses／強盗殺傷人 Robbery and homicides,19,11, -, -,2,5,2,1,1, -, -
刑法犯 Criminal offenses／強かん Rape,3,5, -, -,2, -,1,1,1, -, -
刑法犯 Criminal offenses／わいせつ Indecency,21,43, -,4,6,8,12,5,8, -, -
刑法犯 Criminal offenses／とばく Gambling,1,1, -, -, -, -, -, -,1, -, -
刑法犯 Criminal offenses／住居侵入 Intrusion upon habitation,88,100, -,11,20,19,12,25,13, -, -
刑法犯 Criminal offenses／放火 Arson,1,6, -,1,1, -,2, -,2, -, -
刑法犯 Criminal offenses／失火 Negligent burning,1, -, -, -, -, -, -, -, -, -, -
刑法犯 Criminal offenses／業務上過失致死傷 Professional negligence resulting in death or bodily injury,733,532, -,8,16,42,68,136,262, -, -
刑法犯 Criminal offenses／公務妨害 Obstruction of official duties,11,12, -,1,2,1,2,2,4, -, -
刑法犯 Criminal offenses／危険運転致死傷 Unsafe driving resulting in death or injury,3,3, -, -, -, -, -, -,3, -, -
刑法犯 Criminal offenses／その他 Others,78,144,6,7,33,27,16,20,35, -, -
特別法犯 Crimes other than penal offenses,523,485, -,58,72,67,88,94,106, -, -
特別法犯 Crimes other than penal offenses／暴力行為 Physical violence,16,12, -,3,3,3,1, -,2, -, -
特別法犯 Crimes other than penal offenses／銃砲刀剣 Firearms and swords,15,12, -,2,1,3,3,1,2, -, -
特別法犯 Crimes other than penal offenses／軽犯罪 Minor offense,190,126, -,23,25,18,26,18,16, -, -
特別法犯 Crimes other than penal offenses／売春 Prostitution,22,9, -, -, -,1,3,4,1, -, -
特別法犯 Crimes other than penal offenses／風俗営業 Adult entertainment,17,6, -, -, -, -, -,3,3, -, -
特別法犯 Crimes other than penal offenses／麻薬 Narcotics,9,6, -, -, -,2, -,1,3, -, -
特別法犯 Crimes other than penal offenses／覚せい剤 Stimulants,20,17, -, -, -,1,1,8,7, -, -
特別法犯 Crimes other than penal offenses／出入国管理及び難民認定法 Immigration Control and Refugees Recognition Act,7,17, -, -, -,1,4,2,10, -, -
特別法犯 Crimes other than penal offenses／毒物劇薬 Poisonous and deleterious substances,-,2, -, -, -, -,2, -, -, -, -
特別法犯 Crimes other than penal offenses／その他 Others,227,278, -,30,43,38,48,57,62, -, -
ぐ犯 Pre-delinquency,79,57,1,14,13,12,10,5,2, -, -
,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,
20-9  少年保護事件 (2)  年齢、行為別人員 （平成23， 24年） 20-9  PERSONS BY AGE AND OFFENSE ( 2011 and 2012 ),,,,,,,,,,,
この表は，本庁分のみである。,,,,,,,,,,,
This table relates only to the cases handled by the Main Court.,,,,,,,,,,,
資料：東京家庭裁判所事務局総務課 Source: Tokyo Family Court,,,,,,,,,,,
