年度,Fiscal Year,科名,Courses,入校者 Enrolled,修了者 Completed,就職状況 Placement／就職 Employed,就職状況 Placement／自営 Self Employed,就職状況 Placement／就職率 Employment Rate (%)
平成23,2011,総数,All Courses,4241,3610,2487,57,70.5
平成24,2012,総数,All Courses,4395,3739,2597,50,70.8
平成24,2012,メカトロニクス,Mechatronics (2 years),43,32,27,-,84.4
平成24,2012,自動車整備工学,Automobile mechanics (2 years),58,43,43,-,100
平成24,2012,機械加工,Machining (2 years),31,18,17,-,94.4
平成24,2012,自動車車体整備,Automobile body repair  (2 years),20,12,12,-,100
平成24,2012,メカニカルデザイン,Mechanical engineering (2 years),14,5,5,-,100
平成24,2012,精密加工,Precision machining,21,9,8,-,88.9
平成24,2012,木工技術,Woodworking,60,50,40,-,80
平成24,2012,インテリアサービス,Interior decoration,18,9,8,-,88.9
平成24,2012,電気工事,Electrical wiring ,101,80,70,-,87.5
平成24,2012,コンピュータ制御システム,Embedded computer system development,23,11,10,-,90.9
平成24,2012,電気設備技術,Electrical work,27,21,19,-,90.5
平成24,2012,計測制御システム,Measurement control systems,12,10,8,1,90
平成24,2012,環境分析,Environmental analysis,14,9,7,-,77.8
平成24,2012,自動車塗装,Automobile body painting,20,14,12,-,85.7
平成24,2012,パソコングラフィック,Computer graphics,29,22,18,-,81.8
平成24,2012,ＯＡシステム開発,OA system development,43,35,27,3,85.7
平成24,2012,ネットワークプログラミング,Network programming,30,13,7,-,53.8
平成24,2012,金型加工,Die and mold machining,6,6,6,-,100
平成24,2012,三次元CAD・CAMモデル,CAD／CAM 3D modeling,20,16,10,1,68.8
平成24,2012,機械組立技術,Machine assembly,13,12,9,-,75
平成24,2012,建築設備,Building equipment installation,20,17,14,-,82.4
平成24,2012,広告美術,Advertising art,28,25,20,-,80
平成24,2012,サイン・ディスプレイ,Signs and displays,29,26,22,-,84.6
平成24,2012,測量設計,Surveying,13,9,6,-,66.7
平成24,2012,建築塗装,Construction painting,20,20,13,1,70
平成24,2012,環境空調サービス,Air conditioning services,18,16,11,1,75
平成24,2012,和装技術,Kimono-making,30,22,19,-,86.4
平成24,2012,電気設備システム,Electrical facilities management,30,24,19,-,79.2
平成24,2012,Ｗｅｂ設計,Web design,30,24,19,-,79.2
平成24,2012,組込みシステム技術,Embedded systems technology,16,13,11,-,84.6
平成24,2012,若年者就業支援科(福祉サービスコース),Employment ｓupport course for young people (welfare service course),13,9,9,-,100
平成24,2012,若年者就業支援科(塗装コース),Employment ｓupport course for young people (painting course),23,20,20,-,100
平成24,2012,若年者就業支援科（溶接コース）,Employment support course for young people (welding course),19,15,14,-,93.3
平成24,2012,ネットワーク施工,Network technology,58,40,25,1,65
平成24,2012,プラスチック加工,Plastics processing,22,14,7,1,57.1
平成24,2012,アパレルパタンナー,Fashion pattern making,30,25,16,-,64
平成24,2012,製くつ,Shoemaking,21,21,17,1,85.7
平成24,2012,財務管理,Financial accounting,86,71,30,-,42.3
平成24,2012,ＣＡＤ製図,CAD drafting,193,165,115,2,70.9
平成24,2012,建築ＣＡＤ,Architecture CAD,57,47,25,-,53.2
平成24,2012,溶接,Welding,45,39,36,-,92.3
