地域階層,地区コード,項番 Item number,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く) Lumber and wood products， except furniture,事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 Non-ferrous metals and products,事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 General-purpose machinery,事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,事業所数 Establishments／電気機械器具 Electrical machinery， equipment and supplies,事業所数 Establishments／情報通信機械器具 Information and communications equipment,事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) Lumber and wood products， except furniture,従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 Non-ferrous metals and products,従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 General-purpose machinery,従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,従業者数 Persons engaged／電気機械器具 Electrical machinery， equipment and supplies,従業者数 Persons engaged／情報通信機械器具 Information and communications equipment,従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) Lumber and wood products， except furniture,製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品 Plastic products， except otherwise classified,製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 Non-ferrous metals and products,製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 General-purpose machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 Electrical machinery， equipment and supplies,製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 Information and communications equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
0,13000,,総数,Tokyo-to　,34879,358247,159198247,500750825,894774392,384266847,1452,88,2485,347,1088,1306,5973,402,27,1749,598,1588,530,402,516,4931,1045,2988,1362,816,1524,314,752,2596,35783,1606,10188,1575,5111,9541,64577,12260,325,12073,4612,7112,5322,3552,3414,28471,10424,23388,17457,13250,26874,16080,28066,17186,77008995,14457364,9986765,2019097,8436115,18266673,123385211,45174719,2359994,17045231,10164504,10174435,18126852,17717954,10216463,35003974,31060665,44557185,38791511,36758253,70546504,84125965,135579707,33810256
1,13100,,区部,All ku,29271,222205,89746321,206431887,406413764,194517485,1040,45,2255,297,863,1219,5551,321,17,1463,582,1570,403,359,433,4289,889,2350,1010,395,998,174,529,2219,17392,738,9126,1324,3509,8139,58806,8723,222,9083,3582,7056,3401,2896,2308,22953,5974,15275,10638,3381,9177,2791,3932,11779,34165577,1411123,9147680,1713870,4174244,15593168,111831944,31755149,1402288,13025542,4119445,10143980,10652543,13298444,6561058,28346474,9832259,24002865,23384353,5401280,16186032,6700854,6215006,17348586
2,13101,1,千代田区,Chiyoda-ku,379,3667,1656224,3250149,7314392,3955358,8,-,25,1,4,15,218,2,-,8,1,8,-,-,2,7,4,7,12,8,11,7,3,28,73,-,91,13,21,86,2499,8,-,82,3,26,-,-,4,48,94,75,67,56,88,106,20,207,298281,-,178476,x,33381,192173,3884575,x,-,421612,x,132023,-,-,x,88953,408375,136980,180076,85500,294609,480569,57824,378658
2,13102,2,中央区,Chuo-ku,562,4487,2015491,4157719,9033549,4770337,51,5,48,3,4,19,336,8,-,8,2,5,1,4,1,11,6,11,2,1,10,3,-,23,463,91,182,10,10,118,2754,28,-,68,4,34,21,31,7,61,68,48,51,12,92,65,-,269,688128,79754,274078,8686,42404,261934,5061503,134304,-,371533,x,15540,x,69736,x,138856,216593,197240,x,x,347589,118810,-,499988
2,13103,3,港区,Minato-ku,384,3789,1825861,3490515,7667255,4092165,20,1,18,3,11,5,168,6,-,14,2,-,5,5,3,33,15,17,12,8,16,1,6,15,364,3,102,9,44,51,1953,132,-,70,32,-,67,10,10,121,140,156,136,48,174,4,41,122,364194,x,108145,2061,36549,157955,3509780,424217,-,104264,x,-,907945,7167,15911,168745,326370,338786,205798,60855,298630,x,139304,399640
2,13104,4,新宿区,Shinjuku-ku,812,11172,6299423,18513530,32524695,13784776,30,2,59,4,16,47,514,8,-,8,2,5,2,2,5,14,3,9,17,8,12,6,2,37,455,42,244,17,48,307,8947,57,-,69,5,14,4,4,27,88,37,73,150,40,132,139,27,246,1364808,x,229061,11354,30704,464751,27739772,75819,-,92673,x,3737,x,x,24812,67320,59053,169503,346203,40350,245443,293222,x,680209
2,13105,5,文京区,Bunkyo-ku,835,8061,3853118,6824289,13955499,6964344,23,1,38,7,11,21,526,7,-,9,1,12,14,-,3,19,5,7,47,3,12,2,2,65,144,3,229,32,39,93,5976,57,-,61,3,97,66,-,5,116,104,33,589,14,80,11,33,276,156518,x,170969,35852,61187,149317,10260901,137650,-,204356,x,325990,126672,-,5609,130789,140938,94144,1357244,x,161905,x,x,326588
2,13106,6,台東区,Taito-ku,2129,9442,2959628,7360402,14279730,6668837,70,1,150,27,72,146,399,15,-,53,34,452,16,8,15,179,10,31,29,9,18,5,7,383,547,2,556,71,307,653,1872,112,-,258,117,1870,44,42,47,590,73,230,119,38,135,48,50,1661,658701,x,568062,29715,309477,1033019,2503389,304893,-,505483,116737,3158965,22127,147152,163679,547744,136240,703529,159829,67798,313494,x,52374,2530929
2,13107,7,墨田区,Sumida-ku,2802,17187,6832343,11267447,29700476,17885125,65,5,353,36,56,173,376,28,1,158,138,235,51,36,46,524,42,172,36,16,40,4,21,190,596,290,1339,120,213,797,2797,2437,6,927,795,1280,509,128,117,2249,220,889,139,97,166,17,81,978,1054834,344333,2088429,127246,225935,923960,3839512,9924737,x,1006196,917960,2070368,740931,215612,269384,2463245,429332,947712,205094,148709,218647,x,134444,1342143
2,13108,8,江東区,Koto-ku,1862,16438,6584659,18221548,35246743,16536969,81,2,228,69,60,112,600,14,4,64,17,35,73,37,14,176,33,94,19,4,23,2,24,77,2601,16,850,547,303,584,5993,864,68,454,86,169,489,301,184,989,239,501,181,70,303,20,281,345,5903446,x,585612,1003578,436050,847400,11850668,2917443,590128,1198021,108929,211310,2031835,1721262,944347,1626386,416231,676981,422567,122018,622902,x,502617,388652
2,13109,9,品川区,Shinagawa-ku,1163,8466,3428444,6062508,13314525,7052600,36,2,29,5,23,20,123,12,2,117,11,6,13,9,17,201,56,156,57,50,116,16,38,48,330,11,77,12,99,208,1028,261,4,616,48,26,81,14,73,1008,520,1002,584,308,996,85,616,459,498647,x,59701,4471,105991,150247,1224174,546806,x,697703,48356,25433,314364,10444,67920,1430902,984445,1217527,825501,464183,1970332,130694,914624,1587001
2,13110,10,目黒区,Meguro-ku,370,3914,1702786,3725233,6493624,2703252,24,-,15,2,10,5,42,6,-,26,1,2,6,2,6,56,14,32,20,20,45,3,9,24,507,-,45,2,44,16,317,66,-,93,18,3,31,23,92,363,136,573,256,421,396,23,179,310,714289,-,25294,x,42695,x,586207,197444,-,97276,x,x,150686,x,148892,624129,251829,683842,329683,821238,662267,17630,503436,566530
