年次,Year,月次 ,Month,総数 Total,売買立会による取引 Ordinary Trades／計 Total,売買立会による取引 Ordinary Trades／普通取引 Regular way,売買立会による取引 Ordinary Trades／発行日取引 When-issued,売買立会による取引 Ordinary Trades／立会外分売 Off-floor sell,過誤訂正立会外取引　Special Trades
平成20,2008,総数,Total,11775067,11566270,11564805,-,1464,208797
平成21,2009,総数,Total,10202351,9993128,9988059,-,5068,209223
平成22,2010,総数,Total,7315086,7061420,7060290,-,1130,253666
平成23,2011,総数,Total,9850350,9750694,9748847,-,1847,99656
平成24,2012,総数,Total,7703508,7592289,7588205,-,4084,111219
平成24,2012,1,Jan.,722389,719731,719731,-,-,2658
平成24,2012,2,Feb.,1306738,1286672,1286511,-,161,20065
平成24,2012,3,Mar.,1128958,1120573,1119911,-,662,8385
平成24,2012,4,Apr.,887030,880040,880040,-,-,6989
平成24,2012,5,May,535281,525455,524565,-,890,9826
平成24,2012,6,June,477593,472640,472290,-,350,4953
平成24,2012,7,July,401402,398831,398531,-,300,2571
平成24,2012,8,Aug.,442400,429005,428266,-,738,13395
平成24,2012,9,Sept.,324435,318122,317546,-,576,6312
平成24,2012,10,Oct.,439433,429240,429204,-,36,10192
平成24,2012,11,Nov.,441577,432711,432391,-,320,8866
平成24,2012,12,Dec.,596267,579263,579213,-,50,17003
,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　15  金融 15  FINANCE,,,,,,,,,
15-7  取引種類別売買株数 (2) 第二部 (平成20～24年) 15-7  SALES VOLUME BY TYPE OF TRADING (2) THE 2nd SECTION ( 2008-2012 ),,,,,,,,,
この表については，数値の単位未満を切り捨てているため (ただし，平均値は，四捨五入) ，合計と内訳の計とが一致しない場合もある。,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,
資料：(株)東京証券取引所 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,
（単位  千株）(In thousand of shares),,,,,,,,,
