年次,Year,月次,Month,通常郵便物 Letter mail／総数 Total,通常郵便物 Letter mail／普通郵便 Ordinary／計 Total,通常郵便物 Letter mail／普通郵便 Ordinary／第１種 1st class／定型 Fixed,通常郵便物 Letter mail／普通郵便 Ordinary／第１種 1st class／定型外 Unfixed,通常郵便物 Letter mail／普通郵便 Ordinary／第２種 2 nd class,通常郵便物 Letter mail／普通郵便 Ordinary／第３種 3 rd class,通常郵便物 Letter mail／普通郵便 Ordinary／第４種 4 th class,通常郵便物 Letter mail／特殊郵便 Special／計 Total,通常郵便物 Letter mail／特殊郵便 Special／書留 Registered,通常郵便物 Letter mail／特殊郵便 Special／普通速達等 Express,小包郵便 Parcel post／総数 total,小包郵便 Parcel post／普通 Ordinary,小包郵便 Parcel post／書留 Registered,小包郵便 Parcel post／普通速達等 Express
平成20,2008,総数,Total,4863444,4680806,2365626,350849,1744405,211418,8507,182639,28491,154147,642289,625136,4585,12569
平成21,2009,総数,Total,4496421,4367839,2165103,358875,1646894,188971,7996,128581,73942,54639,649522,592823,45840,10860
平成22,2010,総数,Total,4321422,4200056,2045405,343128,1642056,161337,8130,121365,63845,57520,710217,648764,52677,8776
平成23,2011,総数,Total,4074608,3951568,1898895,319630,1577587,148024,7431,123040,64989,58051,807291,745334,51618,10339
平成24,2012,総数,Total,3974253,3852885,1761480,309060,1637386,137606,7351,121368,61511,59856,860837,796241,53583,11013
平成24,2012,4,Apr.,307478,297211,139098,21685,124881,10957,590,10267,5306,4960,63846,57828,5139,879
平成24,2012,5,May,333444,323720,143448,32065,136492,11061,654,9724,5154,4569,67821,62233,4692,895
平成24,2012,6,June,381947,372206,171326,49102,138427,12675,677,9740,5015,4725,71090,66299,3908,882
平成24,2012,7,July,323450,312672,151487,22708,126983,10860,634,10778,6097,4681,70575,65292,4351,931
平成24,2012,8,Aug. ,300529,291136,132171,21678,125978,10757,552,9393,4649,4744,63160,57857,4334,969
平成24,2012,9,Sept.,300145,291027,131375,21685,125166,12274,527,9119,4388,4731,73016,68564,3624,828
平成24,2012,10,Oct.,381347,370940,164357,23602,170752,11601,628,10407,5116,5291,76383,70193,5271,919
平成24,2012,11,Nov.,351765,341780,158207,23480,147679,11707,707,9984,4909,5075,80759,75692,4183,885
平成24,2012,12,Dec.,341369,330807,153220,23755,140540,12661,630,10562,5333,5229,75992,70806,4033,1154
平成25,2013,1,Jan.,331137,320770,150785,20533,139437,9477,538,10367,5096,5271,65745,60133,4747,865
平成25,2013,2,Feb.,304334,294594,131725,20358,131152,10788,571,9740,4787,4953,68500,63287,4323,890
平成25,2013,3,Mar.,317308,306023,134284,28408,129899,12789,643,11285,5661,5625,83950,78056,4978,916
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　5　通信・情報 5  COMMUNICATION AND INFORMATION,,,,,,,,,,,,,,,,,
5-2　内国郵便物の引受数 （平成20～24年度） 5-2 ACCEPTANCE OF DOMESTIC ORDINARY MAIL (Fiscal Years 2008-2012),,,,,,,,,,,,,,,,,
この表の郵便物数は， 内国郵便物数であって， 無料郵便物を含む概数である。 なお， 年賀郵便， 選挙郵便物は含まれていない。,,,,,,,,,,,,,,,,,
Figures refer to domestic mail containing free mail and are provisional. New year greeting mail and election　mail are excluded.,,,,,,,,,,,,,,,,,
資料：日本郵便株式会社東京支社      Source : Japan Post Co.，Ltd,,,,,,,,,,,,,,,,,
（単位　通常　千通， 小包　千個）(In thousands of pieces),,,,,,,,,,,,,,,,,
