年度末,End of fiscal year,商工組合中央金庫 Shoko Chukin Bank／預金 Deposits,商工組合中央金庫 Shoko Chukin Bank／貸出 Loans ,信用組合 Credit Co-operatives／預金 Deposits,信用組合 Credit Co-operatives／貸出 Loans ,労働金庫 Labour Banks／預金 Deposits,労働金庫 Labour Banks／貸出 Loans 
平成20,2008,923592,2285627,2481052,1608475,1580355,1113047
平成21,2009,908602,2435405,2564854,1619413,1625782,1186129
平成22,2010,838883,2478328,2620594,1589280,1766197,1212001
平成23,2011,941436,2528026,2655136,1562891,1763157,1237614
平成24,2012,1164781,2496521,2686621,1540775,1824397,1212986
,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012)　15  金融 15  FINANCE,,,,,,,
15-2  中小企業金融機関の主要勘定 (2) 商工組合中央金庫， 信用組合及び労働金庫 (平成20～24年度末) 15-2  MAIN ACCOUNTS OF FINANCIAL INSTITUTIONS FOR SMALL BUSINESSES (2) SHOKO CHUKIN BANK， CREDIT CO-OPERATIVES AND LABOUR BANKS ( End of Fiscal Years 2008-2012 ),,,,,,,
資料：東京都信用組合協会， 商工組合中央金庫， 中央労働金庫 Source: Association of Tokyo Shinyou Kumiai， Shoko Chukin Bank， Chuo Labour Bank,,,,,,,
  (単位  百万円) (In millions of yen),,,,,,,
