年度末,End of fiscal year,地域コード,項番 Item number,地域,District,総額 Total value,行政財産 Administrative assets／総額 Total value,行政財産 Administrative assets／土地 Land／面積 Area(m2),行政財産 Administrative assets／土地 Land／価格 Value,行政財産 Administrative assets／建物 Buildings／延面積 Total floor space(m2),行政財産 Administrative assets／建物 Buildings／価格 Value,行政財産 Administrative assets／工作物 Structures,行政財産 Administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／総額 Total value,普通財産 Non-administrative assets／土地 Land／面積 Area(m2),普通財産 Non-administrative assets／土地 Land／価格 Value,普通財産 Non-administrative assets／建物 Buildings／延面積 Total floor space (m2),普通財産 Non-administrative assets／建物 Buildings／価格 Value,普通財産 Non-administrative assets／工作物 Structures,普通財産 Non-administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／不動産の信託の受益権 Real estate trust beneficiary rights
平成20,2008,13100,,区部,All ku,14340829,13712194,28867906,10650708,15716257,2871614,182845,7028,628635,1588754,386231,647207,142633,1851,72929,24990
平成21,2009,13100,,区部,All ku,14370058,13738870,29007070,10758962,15900066,2799367,180162,381,631191,1672484,413560,632641,123037,745,68856,24992
平成22,2010,13100,,区部,All ku,13939028,13315003,29032350,10469134,15962398,2666695,173134,6043,624022,1688889,431845,679814,123011,837,68332,-
平成23,2011,13100,,区部,All ku,13584767,12902171,29112977,10074853,15969720,2647061,172895,7367,682596,1764371,463196,695435,126135,854,67405,25007
平成24,2012,13100,,区部,All ku,13161171,12497317,29493582,9629292,16034855,2686705,174218,7102,663854,1833668,440923,712293,130918,941,66080,24993
平成24,2012,13101,1,千代田区,Chiyoda-ku,364952,318725,196682,246696,309321,71377,651,-,46227,43575,34970,42354,5023,18,6217,-
平成24,2012,13102,2,中央区,Chuo-ku,494142,468789,400122,329868,521074,133694,5004,223,25353,40505,22482,10334,1578,0,1294,-
平成24,2012,13103,3,港区,Minato-ku ,789262,756266,689801,593404,634715,159000,3861,-,32997,101183,31058,13349,410,11,1518,-
平成24,2012,13104,4,新宿区,Shinjuku-ku,590908,531490,969048,447004,560471,83769,717,-,59418,84244,27665,47123,5906,-,854,24993
平成24,2012,13105,5,文京区,Bunkyo-ku,407740,387860,724224,294954,405899,92906,-,-,19880,23180,9924,36514,9726,-,230,-
平成24,2012,13106,6,台東区,Taito-ku,243836,216224,395426,98608,442710,109136,8479,-,27612,42611,14335,26833,2351,59,10867,-
平成24,2012,13107,7,墨田区,Sumida-ku,247491,230613,591727,79042,539605,143925,7646,-,16878,165702,7323,19438,4040,35,5480,-
平成24,2012,13108,8,江東区,Koto-ku,499395,475906,1358999,346778,836332,123744,5373,11,23489,57028,13756,35087,8749,61,923,-
平成24,2012,13109,9,品川区,Shinagawa-ku,697603,651442,1133277,521823,728081,120092,8193,1334,46162,99925,36360,45889,5026,33,4743,-
平成24,2012,13110,10,目黒区,Meguro-ku,417319,410824,769466,325446,523171,81382,3996,-,6495,55792,4417,8721,1240,9,829,-
平成24,2012,13111,11,大田区,Ota-ku,894011,878759,2489477,788876,1239570,80120,9722,39,15252,47776,12493,16136,1763,18,978,-
平成24,2012,13112,12,世田谷区,Setagaya-ku,1236866,1189934,2289896,868046,1190858,291555,30332,-,46932,89736,39032,17122,4397,231,3273,-
平成24,2012,13113,13,渋谷区,Shibuya-ku ,930738,875722,515074,775766,451799,96259,3698,-,55016,25841,27628,65983,22389,6,4993,-
平成24,2012,13114,14,中野区,Nakano-ku,206373,190077,940576,120369,456975,69708,-,-,16296,49621,8974,33423,5614,-,1708,-
平成24,2012,13115,15,杉並区,Suginami-ku,597048,572825,1563413,398333,772574,170742,3750,-,24224,292421,17135,48600,5985,1,1102,-
平成24,2012,13116,16,豊島区,Toshima-ku,485575,440876,684296,364739,383864,73485,2652,-,44698,82293,26739,50054,17345,16,600,-
平成24,2012,13117,17,北区,Kita-ku,518212,503403,1136005,415445,659473,87957,-,-,14809,75406,13977,17285,697,-,135,-
平成24,2012,13118,18,荒川区,Arakawa-ku,203255,190585,523545,76521,426373,99710,8859,5495,12670,72835,10077,13888,2592,-,-,-
平成24,2012,13119,19,板橋区,Itabashi-ku,708237,698107,1843121,593433,853408,103270,1404,-,10130,44190,5706,13570,3033,2,1389,-
平成24,2012,13120,20,練馬区,Nerima-ku,905043,868078,2813203,714173,1127939,139473,14432,-,36966,89134,27808,49117,8571,39,548,-
平成24,2012,13121,21,足立区,Adachi-ku,835305,780409,3196773,570506,1167858,194031,15872,-,54895,146359,33129,23668,3371,278,18117,-
平成24,2012,13122,22,葛飾区,Katsushika-ku,406582,387762,1656387,313000,762015,61741,13020,-,18820,73832,11896,56747,6749,66,109,-
平成24,2012,13123,23,江戸川区,Edogawa-ku,481279,472643,2613044,346460,1040770,99627,26556,-,8636,30479,4038,21058,4366,59,173,-
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (2) 区有 (平成20～平成24年度末) 21-9  PUBLIC ASSETS (2) ASSETS OWNED BY KU ( End of Fiscal Years 2008-2012 ) ,,,,,,,,,,,,,,,,,,,,,
資料：公益財団法人特別区協議会事業部調査研究課 Source: Public Interest Foundation of Tokyo Metropolitan Area Cities,,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,,
