年次,Year,月次 ,Month,交換高 Clearings／枚数 (千枚) Number (thousand),交換高 Clearings／金額 (億円) Value (hundred million yen),交換高 Clearings／差額 (億円) Balance (hundred million yen),手形1枚の平均金額 (千円) Average value of a bill (thousand yen),交換日数 Transaction days,1日平均交換高 Daily average clearings／枚数 (千枚) Number (thousand),1日平均交換高 Daily average clearings／金額 (億円)Value (hundred  million yen)
平成20,2008,総数,Total,36647,2983338,1049523,8141,245,149,12176
平成21,2009,総数,Total,31167,2602687,996301,8351,243,128,10710
平成22,2010,総数,Total,28512,2734096,1126628,9589,245,116,11159
平成23,2011,総数,Total,26635,2807245,1121807,10540,245,108,11458
平成24,2012,総数,Total,24965,2724093,1131672,10912,248,100,10984
平成24,2012,1,Jan.,2160,218255,89582,10104,19,113,11487
平成24,2012,2,Feb.,2060,234485,106129,11383,21,98,11165
平成24,2012,3,Mar.,1856,261729,103769,14102,21,88,12463
平成24,2012,4,Apr.,2029,232859,102156,11477,20,101,11642
平成24,2012,5,May,2425,228802,87884,9435,21,115,10895
平成24,2012,6,June,1892,231357,92833,12228,21,90,11017
平成24,2012,7,July,2615,214924,79804,8219,21,124,10234
平成24,2012,8,Aug.,2051,209189,87727,10199,23,89,9095
平成24,2012,9,Sept.,1673,205242,82462,12268,19,88,10802
平成24,2012,10,Oct.,2276,231954,100156,10191,22,103,10543
平成24,2012,11,Nov.,1968,235504,109424,11967,21,93,11214
平成24,2012,12,Dec.,1954,219787,89741,11248,19,102,11567
,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　15  金融 15  FINANCE,,,,,,,,,,
15-8  東京手形交換所扱い手形交換高 (平成20～24年) 15-8  AMOUNT OF BILLS CLEARED AT THE TOKYO CLEARING HOUSE ( 2008-2012 ),,,,,,,,,,
資料：（一社）全国銀行協会 「決済統計年報」 Source: Japanese Bankers Association,,,,,,,,,,
