地域階層,地域コード,地域,District,延べ面積 Area of floor space／29m2以下 29m2 and under,延べ面積 Area of floor space／30～49m2,延べ面積 Area of floor space／50～69m2,延べ面積 Area of floor space／70～99m2,延べ面積 Area of floor space／100～149m2,延べ面積 Area of floor space／150m2以上 150m2 and over,所有関係別主世帯数 Principal households by tenure of dwelling／持ち家 Owner's dwelling,所有関係別主世帯数 Principal households by tenure of dwelling／借家 Rented dwelling
0,13000,総数,Tokyo-to,1313800,1134400,1137600,1071700,624400,278300,2650900,2909300
1,13100,区部,All ku,1001700,849500,807800,652000,367000,183700,1768700,2092900
2,13101,千代田区,Chiyoda-ku,4700,4000,4200,3800,2600,1100,9100,11200
2,13102,中央区,Chuo-ku,13200,14000,19500,9600,2300,1100,24900,34900
2,13103,港区,Minato-ku,27300,27100,22400,16800,9100,5700,47200,61200
2,13104,新宿区,Shinjuku-ku,61500,36600,24700,19400,10200,5200,58200,99400
2,13105,文京区,Bunkyo-ku,24100,15300,19500,14600,9700,5000,46000,42100
2,13106,台東区,Taito-ku,15200,19900,17100,11500,6700,6000,41100,35100
2,13107,墨田区,Sumida-ku,20600,23900,28500,19500,8400,6000,56000,50800
2,13108,江東区,Koto-ku,27100,45000,62200,41000,12800,5300,93600,99600
2,13109,品川区,Shinagawa-ku,50800,37700,37500,26200,10500,5400,76400,91700
2,13110,目黒区,Meguro-ku,31400,25400,20200,18900,14000,8000,61700,56100
2,13111,大田区,Ota-ku,65400,67000,63100,52300,28200,15600,149700,141600
2,13112,世田谷区,Setagaya-ku,131900,72800,57700,67700,46000,24500,166900,233500
2,13113,渋谷区,Shibuya-ku,31700,24900,18500,12600,9700,5200,46900,56000
2,13114,中野区,Nakano-ku,73600,30900,27400,19600,14200,6000,60000,111500
2,13115,杉並区,Suginami-ku,91600,48100,35400,38300,31300,15200,108500,151200
2,13116,豊島区,Toshima-ku,43900,28000,20400,16100,9200,4200,49600,72300
2,13117,北区,Kita-ku,38900,42800,31900,23400,14000,6500,67700,89600
2,13118,荒川区,Arakawa-ku,18600,19100,22400,15400,6900,3900,46700,39500
2,13119,板橋区,Itabashi-ku,58000,58700,52300,37000,14800,6600,98400,128900
