年度平均,Fiscal year average,地域階層,地域コード,地域,District,被保護世帯数 Households assisted,生活扶助 Livelihood assistance,住宅扶助 Housing assistance,教育扶助 Education assistance,介護扶助 LTC assistance,医療扶助 Medical assistance,出産扶助 Maternity assistance,生業扶助 Occupational assistance,葬祭扶助 Funeral assistance,被保護人員数 Persons assisted(人 persons)
平成19,2007,0,13000,東京都,Tokyo-to,151840,131055,128029,9293,21891,131623,4,3225,417,201173
平成20,2008,0,13000,東京都,Tokyo-to,158077,136577,133688,9378,23180,136651,4,3511,437,207720
平成21,2009,0,13000,東京都,Tokyo-to,175836,153768,150379,10158,24930,150409,7,4438,455,230662
平成22,2010,0,13000,東京都,Tokyo-to,195110,172500,169481,11206,27361,166493,7,5216,526,256841
平成23,2011,0,13000,東京都,Tokyo-to,209264,"185,475",183527,11686,29965,177090,7,5823,556,275528
平成23,2011,1,13100,区部,All ku,158475,"140,882",139404,7980,22592,133859,5,4054,442,204340
平成23,2011,2,13101,千代田区,Chiyoda-ku,605,431,410,20,75,537,-,4,2,674
平成23,2011,2,13102,中央区,Chuo-ku,789,623,573,18,114,668,-,11,2,912
平成23,2011,2,13103,港区,Minato-ku,1785,"1,524",1466,75,293,1403,-,38,3,2156
平成23,2011,2,13104,新宿区,Shinjuku-ku,8441,"7,330",7015,180,976,6773,1,113,26,9713
平成23,2011,2,13105,文京区,Bunkyo-ku,2047,"1,745",1725,51,311,1671,-,23,7,2378
平成23,2011,2,13106,台東区,Taito-ku,7686,"6,447",6093,85,672,6292,0,42,32,8340
平成23,2011,2,13107,墨田区,Sumida-ku,6273,"5,838",5648,290,1037,5859,0,146,20,7899
平成23,2011,2,13108,江東区,Koto-ku,6795,"6,064",5979,344,1133,5838,0,202,23,9051
平成23,2011,2,13109,品川区,Shinagawa-ku,4384,"3,793",3781,136,694,3741,0,68,15,5265
平成23,2011,2,13110,目黒区,Meguro-ku,2277,"1,970",1926,76,384,1966,0,41,3,2732
平成23,2011,2,13111,大田区,Ota-ku,12429,"10,859",11054,613,1852,11035,1,266,37,15822
平成23,2011,2,13112,世田谷区,Setagaya-ku,7458,"6,635",6544,283,1072,5708,0,191,16,9229
平成23,2011,2,13113,渋谷区,Shibuya-ku,2544,"2,182",2085,40,402,1726,0,31,8,2877
平成23,2011,2,13114,中野区,Nakano-ku,5787,"5,239",5224,163,800,5269,-,94,9,6739
平成23,2011,2,13115,杉並区,Suginami-ku,6145,"5,519",5477,165,855,5695,0,106,6,7265
平成23,2011,2,13116,豊島区,Toshima-ku,6121,"5,367",5125,123,694,5001,-,23,11,7020
平成23,2011,2,13117,北区,Kita-ku,7595,"6,745",6807,279,1171,6563,0,132,29,9457
平成23,2011,2,13118,荒川区,Arakawa-ku,5066,"4,567",4544,200,892,4316,-,80,19,6244
平成23,2011,2,13119,板橋区,Itabashi-ku,12899,"11,291",11405,930,1592,10497,0,472,37,17894
平成23,2011,2,13120,練馬区,Nerima-ku,11566,"10,342",10408,927,1711,8983,0,503,23,16092
平成23,2011,2,13121,足立区,Adachi-ku,17148,"15,759",15454,1324,2855,13772,1,715,46,25517
平成23,2011,2,13122,葛飾区,Katsushika-ku,9106,"8,167",8186,544,1420,7927,0,214,26,12233
平成23,2011,2,13123,江戸川区,Edogawa-ku,13529,"12,446",12475,1115,1591,12621,1,539,43,18831
平成23,2011,1,13200,市部,All shi,49739,"43,748",43428,3630,7185,42306,2,1729,113,69672
平成23,2011,2,13201,八王子市,Hachioji-shi,8098,"6,978",6865,727,1093,6406,0,235,18,11823
平成23,2011,2,13202,立川市,Tachikawa-shi,3649,"3,260",3285,220,592,3453,0,112,9,4990
平成23,2011,2,13203,武蔵野市,Musashino-shi,1694,"1,447",1465,51,200,1402,-,42,3,2038
平成23,2011,2,13204,三鷹市,Mitaka-shi,2615,"2,293",2283,155,362,2430,0,86,6,3462
平成23,2011,2,13205,青梅市,Ome-shi,1541,"1,355",1262,112,186,1195,-,56,3,2196
平成23,2011,2,13206,府中市,Fuchu-shi,3311,"3,037",2970,271,478,2998,0,137,11,4622
平成23,2011,2,13207,昭島市,Akishima-shi,1490,"1,293",1248,79,283,1214,-,51,5,2005
平成23,2011,2,13208,調布市,Chofu-shi,2124,"1,839",1823,86,319,2000,-,40,4,2729
平成23,2011,2,13209,町田市,Machida-shi,4486,"3,941",4013,433,682,3460,-,218,11,6662
平成23,2011,2,13210,小金井市,Koganei-shi,1138,951,965,37,117,789,0,17,3,1364
平成23,2011,2,13211,小平市,Kodaira-shi,2151,"1,949",1862,155,303,2066,0,86,6,3049
平成23,2011,2,13212,日野市,Hino-shi,1472,"1,320",1291,97,294,1354,-,57,2,2016
平成23,2011,2,13213,東村山市,Higashimurayama-shi,2129,"1,814",1780,153,301,1526,-,92,6,2985
平成23,2011,2,13214,国分寺市,Kokubunji-shi,731,654,657,22,101,625,-,20,1,917
平成23,2011,2,13215,国立市,Kunitachi-shi,676,627,618,27,82,596,-,10,1,855
平成23,2011,2,13218,福生市,Fussa-shi,789,701,698,38,127,701,0,20,2,1051
平成23,2011,2,13219,狛江市,Komae-shi,787,703,708,31,126,703,-,16,2,978
平成23,2011,2,13220,東大和市,Higashiyamato-shi,1142,"1,027",1030,119,155,978,0,56,1,1736
平成23,2011,2,13221,清瀬市,Kiyose-shi,1382,"1,237",1236,88,234,1274,0,48,5,1933
平成23,2011,2,13222,東久留米市,Higashikurume-shi,1308,"1,199",1195,110,206,1006,-,60,3,1883
平成23,2011,2,13223,武蔵村山市,Musashimurayama-shi,1172,"1,034",1047,106,186,1030,-,29,3,1844
平成23,2011,2,13224,多摩市,Tama-shi,1582,"1,355",1372,162,178,1386,0,68,4,2355
平成23,2011,2,13225,稲城市,Inagi-shi,733,635,639,53,96,534,-,31,3,1051
平成23,2011,2,13227,羽村市,Hamura-shi,501,430,433,44,58,452,-,21,1,721
平成23,2011,2,13228,あきる野市,Akiruno-shi,578,487,477,60,69,519,-,26,1,885
平成23,2011,2,13229,西東京市,Nishitokyo-shi,2460,"2,184",2207,192,360,2210,0,95,3,3522
平成23,2011,1,13300,郡部,All gun,666,521,491,62,104,592,0,34,0,1038
平成23,2011,1,13350,島部,All islands,384,325,204,14,83,333,-,5,1,478
,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,
18-2  地域別被保護世帯数（平成19～23年度 年度平均） 18-2  HOUSEHOLDS ASSISTED BY DISTRICT ( Annual Averages of Fiscal Years 2007-2011 ),,,,,,,,,,,,,,,
この数字は各地区別に平均し，集計した数字なので総数とは必ずしも一致しない。,,,,,,,,,,,,,,,
Figures are averaged by district and so may not add up to the totals provided.,,,,,,,,,,,,,,,
注) 保護停止中の世帯を含む。,,,,,,,,,,,,,,,
Note:  Inculuding households under stopping.,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,
（単位　世帯）(Value in households),,,,,,,,,,,,,,,
