地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,東京都管理道路 TMG managed roads／延長 Length,東京都管理道路 TMG managed roads／面積 Area,東京都管理道路 TMG managed roads／一般国道(指定区間外) General national highways  a)／延長 Length,東京都管理道路 TMG managed roads／一般国道(指定区間外) General national highways  a)／面積 Area,東京都管理道路 TMG managed roads／主要地方道 Major metropolitan roads／延長 Length,東京都管理道路 TMG managed roads／主要地方道 Major metropolitan roads／面積 Area,東京都管理道路 TMG managed roads／一般都道 General metropolitan roads／延長 Length,東京都管理道路 TMG managed roads／一般都道 General metropolitan roads／面積 Area,東京都管理道路 TMG managed roads／特例都道 Metropolitan roads subject to special provisions／延長 Length,東京都管理道路 TMG managed roads／特例都道 Metropolitan roads subject to special provisions／面積 Area,一般国道(指定区間) General national highways( Designated section )／延長 Length,一般国道(指定区間) General national highways( Designated section )／面積 Area,東・中日本高速道路(株) East Nippon Expressway Company Limited・Central Nippon Expressway Company Limited／延長 Length,東・中日本高速道路(株) East Nippon Expressway Company Limited・Central Nippon Expressway Company Limited／面積 Area,首都高速道路(株) Metropolitan Expressway Company Limited／延長 Length,首都高速道路(株) Metropolitan Expressway Company Limited／面積 Area,区市町村道 Municipal roads／延長 Length,区市町村道 Municipal roads／面積 Area
0,13000,,総数,Tokyo-to,24431102,184674165,2230515,40899513,74580,1209805,972227,20745469,802502,10699828,381206,8244411,239163,7122385,80844,4056388,191354,5147659,21689226,127448220
1,13100,,区部,All ku,11870062,101786314,894806,21356222,18031,455220,459055,12031317,36514,625274,381206,8244411,165102,5467254,15319,480119,191354,5147659,10603481,69335060
5,13101,1,千代田区,Chiyoda-ku,175184,2771765,24879,833703,-,-,9686,331970,-,-,15193,501733,10279,399735,-,-,9958,234063,130068,1304264
5,13102,2,中央区,Chuo-ku,195150,2992615,21160,794616,-,-,12332,481128,-,-,8828,313488,5151,161891,-,-,11437,320185,157402,1715923
5,13103,3,港区,Minato-ku,305112,4397218,47903,1531883,480,14309,19065,593763,-,-,28358,923811,13946,515914,-,-,20207,478006,223056,1871415
5,13104,4,新宿区,Shinjuku-ku,355519,3361398,50614,1329975,-,-,30505,772589,-,-,20109,557386,4257,126393,-,-,5230,128182,295418,1776848
5,13105,5,文京区,Bunkyo-ku,207440,1949950,26093,650948,-,-,7498,228345,-,-,18595,422603,8173,202203,-,-,2281,55425,170893,1041374
5,13106,6,台東区,Taito-ku,258495,2627896,21316,547684,-,-,8805,209588,-,-,12511,338096,6548,251841,-,-,2105,39693,228526,1788678
5,13107,7,墨田区,Sumida-ku,295660,2940876,26716,624217,-,-,9336,229207,-,-,17380,395010,6574,184040,-,-,9504,209661,252866,1922958
5,13108,8,江東区,Koto-ku,390802,5588636,54758,1718411,-,-,29694,995398,-,-,25064,723013,9839,327247,-,-,16103,550730,310102,2992248
