年次,Year,事業所数 Number of establishments,従業者数 Number of employees 1),従業者数 Number of employees )／（うち) 常雇 (of which) Regular employees
平成13,2001,1369,48746,47484
平成18,2006,1157,41111,40375
,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　8 事業所 8  ESTABLISHMENTS,,,,
8-8  外国の会社の事業所数及び従業者数  (平成13年，18年) 8-8  FOREIGN ENTERPRISE ESTABLISHMENTS AND EMPLOYEES BY  INDUSTRY  ( DIVISION )， AND DISTRICT ( 2001，2006 ) ,,,,
外国会社とは，外国において設立された法人の支店，営業所などで会社法の規定により日本にその事務所などの所在地を登録したものをいう。,,,,
Foreign enterprises refer to branch offices，business offices and others registered according to the Companies Law.,,,,
資料：都総務局統計部経済統計課 「事業所・企業統計調査報告」 Source: Bureau of General Affairs， TMG ,,,,
