年度,Fiscal year,系統,Line,営業キロ Length of line(km),駅数 Stations,在籍車両数 Vehicles owned,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets,使用車両数 Vehicles used,走行キロ数 Distance traveled／列車 Trains(km),走行キロ数 Distance traveled／客車 Vehicles(km),輸送人員 Passengers 1),旅客運賃収入 Passenger fare revenue(千円 1000yen),使用電力量 Electric power used(Kwh)
平成20,2008,総数,Total,106.2,105,1086,5915528,3679634,2235894,323346,14383798,109158647,840588922,129626940,236293128
平成21,2009,総数,Total,106.2,105,1086,5902357,3711070,2191286,323896,15204037,116072039,837844327,128477391,234354949
平成22,2010,総数,Total,106.2,105,1094,5901666,3735796,2165870,326215,14818568,112736300,836106912,127586033,236110547
平成23,2011,総数,Total,106.2,105,1102,5822500,3712581,2109919,328525,14381599,109834863,821950342,125117446,231336877
平成24,2012,総数,Total,106.2,105,1110,6016100,3829430,2186670,333996,14982242.3,114425271.2,853930848,129939654,240969612
平成24,2012,浅草線,Asakusa Line,18.3,20,216,1223077,746005,477072,67060,2842118.4,22705002,231952218,28840768,44230396
平成24,2012,三田線,Mita Line,26.5,27,222,1389790,941512,448278,64190,3500138.1,21000828.6,209198137,27688004,39896616
平成24,2012,新宿線,Shinjuku Line,20.7,20,232,1629306,1070796,558510,71586,3046020,25967714.2,230381756,33713459,56873800
平成24,2012,大江戸線,Oedo Line,40.7,38,440,1773927,1071117,702810,131160,5593965.8,44751726.4,301368233,39697423,99968800
,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,
4-14  地下鉄の運輸成績 (2)  都営　 (平成20～24年度） 4-14 OPERATIONS OF SUBWAYS (2) TOEI SUBWAY ( Fiscal Years 2008-2012 ),,,,,,,,,,,,,,,
注 1) 「輸送人員」の総数は乗り換えによる重複分があるため， 内訳の計と一致しない。,,,,,,,,,,,,,,,
2) 新宿線の使用車両数， 旅客運賃収入及び使用電力量には， 都外分を含む。,,,,,,,,,,,,,,,
Note: 1) The total number of passengers does not match the total of the breakdowns due to duplication of transit passenger numbers.,,,,,,,,,,,,,,,
2) The railway vehicles used， passenger fare revenue， power used for the Shinjuku Line include figures from outside Tokyo.,,,,,,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,,,,,
