年次,Year,区分階層,種類,Kind,東京地方裁判所 Tokyo District Court／新受 Newly received,東京地方裁判所 Tokyo District Court／既済 Disposed,東京地方裁判所 Tokyo District Court／未済 Pending,立川支部 Tachikawa Branch／新受 Newly received,立川支部 Tachikawa Branch／既済 Disposed,立川支部 Tachikawa Branch／未済 Pending
平成20,2008,0,総数,Total,14306,14082,2660,5226,5138,571
平成21,2009,0,総数,Total,16988,16958,2689,5741,5758,554
平成22,2010,0,総数,Total,16601,16435,2855,5206,5185,575
平成23,2011,0,総数,Total,14825,15176,2503,4334,4506,403
平成24,2012,0,総数,Total,13669,13987,2185,3902,3977,328
平成24,2012,1,執行イ,Type A,3351,3417,286,688,716,56
平成24,2012,2,動産執行,Execution against movables ,3324,3389,284,688,716,56
平成24,2012,2,動産競売,Auction of movables,27,28,2,-,-,-
平成24,2012,1,執行ロ,Type B,4321,4379,556,1143,1154,121
平成24,2012,2,不動産等の引渡し,Delivery of immovables， etc.,4142,4201,506,1083,1090,117
平成24,2012,2,動産の引渡し,Delivery of movables,17,19,6,30,32,-
平成24,2012,2,船舶国籍証書等の取り上げ,Confiscation of vessel nationality certificates， etc.,2,-,2,-,-,-
平成24,2012,2,自動車・建設機械の引渡し,Delivery of automobiles and construction machinery,70,69,8,3,4,-
平成24,2012,2,代替執行,Execution by substitute ,71,62,16,21,21,1
平成24,2012,2,援助（民執法6Ⅱ等）,Assistance (Civil Execution Act 6 II， etc.),-,-,-,6,6,-
平成24,2012,2,保全処分（民執法55Ⅰ等）,Temporary restraining order (Civil Execution Act 55 I， etc.),8,20,5,-,-,-
平成24,2012,2,強制管理の管理人等,Administrator of sequestration， etc.,11,8,13,-,1,3
平成24,2012,1,執行ハ,Type C,852,1048,984,65,79,44
平成24,2012,2,仮差押え,Provisional seizure ,16,20,17,2,5,2
平成24,2012,2,仮処分,Provisional disposition,833,1025,966,63,74,42
平成24,2012,2,特別法による保全処分,Temporary restraining order under special laws,3,3,1,-,-,-
平成24,2012,1,不動産等売却,Sale of real property， etc.,2461,2467,175,1021,1016,44
平成24,2012,2,不動産・船舶・航空機,Real property， vessels， aircraft,2451,2457,174,1020,1015,44
平成24,2012,2,自動車・建設機械,Automobiles and construction machinery,2,3,-,1,1,-
平成24,2012,2,債権その他の財産権,Claims and other property rights,8,7,1,-,-,-
平成24,2012,1,現況調査等,Investigation into the current status， etc.,2684,2676,184,985,1012,63
平成24,2012,2,現況調査,Investigation into the current status,2681,2673,184,985,1012,63
平成24,2012,2,評価,Evaluation,3,3,-,-,-,-
平成24,2012,1,内覧,Preliminary inspection,-,-,-,-,-,-
平成24,2012,1,提訴前現況調査,Investigation prior to filing suits,-,-,-,-,-,-
平成24,2012,1,その他,Others,-,-,-,-,-,-
平成24,2012,2,拒絶証書の作成等,Preparation of certificates of refusal， etc.,-,-,-,-,-,-
平成24,2012,2,財産調査の援助・立会い・封印等,Asset investigation assistance， attendance， sealing， etc.,-,-,-,-,-,-
,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,
20-3  執行官事務の種類別件数 （平成20～24年） 20-3 WORK OF COURT ENFORCEMENT OFFICERS BY KIND ( 2008-2012 ),,,,,,,,,,
資料：東京地方裁判所事務局総務課 Source: Tokyo District Court,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,
