年次(平成),Year,地域階層,地域コード,地域,District,マーク Mark,総数 Total,国有 National forest／計 Total,国有 National forest／林野庁 Forestry Agency,国有 National forest／その他官庁 Other government agencies,民有 Non-national forests／計 Total,民有 Non-national forests／独立行政法人等 Incorporated administrative agency 1),民有 Non-national forests／公有 Publicly owned／都道府県 Prefecture,民有 Non-national forests／公有 Publicly owned／森林整備法人 Forest improvement corporation,民有 Non-national forests／公有 Publicly owned／市区町村 Cities， wards， towns and villages,民有 Non-national forests／公有 Publicly owned／財産区 Property wards,民有 Non-national forests／私有 Privately owned
2,1990,0,13000,総数,Tokyo-to,,80147,5908,4573,1335,74239,-,11468,-,6755,1733,54283
12,2000,0,13000,総数,Tokyo-to,2),78403,4993,4582,411,73410,32,11903,19,7581,1700,52175
17,2005,0,13000,総数,Tokyo-to,,73463,5217,4768,449,68246,38,11776,630,5523,1670,48609
22,2010,0,13000,総数,Tokyo-to,,"78,729",7162,"6,969",193,71567,158,11473,666,"7,670",1666,"49,934"
22,2010,1,13100,区部,All ku,,-,-,-,-,-,-,-,-,-,-,-
22,2010,1,13200,市部,All shi,,"20,569","1,357",1183,174,"19,212",71,1054,158,967,212,"16,750"
22,2010,2,13201,八王子市,Hachioji-shi,,"7,982","1,226",1183,43,6756,56,591,30,259,-,5820
22,2010,2,13202,立川市,Tachikawa-shi,,19,17,-,17,2,-,-,-,-,-,2
22,2010,2,13203,武蔵野市,Musashino-shi,,-,-,-,-,-,-,-,-,-,-,-
22,2010,2,13204,三鷹市,Mitaka-shi,,2,1,-,1,1,-,-,-,-,-,1
22,2010,2,13205,青梅市,Ome-shi,,6522,36,-,36,6486,-,30,75,63,-,6318
22,2010,2,13206,府中市,Fuchu-shi,,8,-,-,-,8,-,-,-,-,-,8
22,2010,2,13207,昭島市,Akishima-shi,,24,10,-,10,14,-,-,-,-,-,14
22,2010,2,13208,調布市,Chofu-shi,,10,-,-,-,10,-,3,-,-,-,7
22,2010,2,13209,町田市,Machida-shi,,792,-,-,-,792,2,57,-,40,-,693
