年,Year,項目,Item,総数 Total／頭数 Number（頭 Number）,総数 Total／重量 Weight（kg）,総数 Total／金額 Value（千円 in thousands of yen）
平成22,2010,総数,Total,"335,633",80540673,97131414
平成23,2011,総数,Total,"329,483",79068955,87629630
平成24,2012,総数,Total,"337,322",83037593.2,96058885
平成24,2012,牛,Cattle,"153,335",68279303.1,90122179
平成24,2012,豚,Pig,"183,838",14736309.1,5806180
平成24,2012,馬,Horse,2,220,76
平成24,2012,こ牛,Calf,148,10264,1437
平成24,2012,山羊・緬羊,Goat and sheep,-,-,-
平成24,2012,その他,Others,-,11497,129013
,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,
10-3  畜産物の畜種別取扱高 （平成22～24年） 10-3 TOTAL TRANSACTIONS IN LIVESTOCK PRODUCTS BY TYPE OF LIVESTOCK （ 2010-2014 ）,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,
（単位　重量　kg，金額　千円） （Weight in kg ， Value in thousands of yen),,,,,,
