年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成22,2010,13200,,市部,All shi,1401663,9260,188896,604950,121907,8650,2713,7714,137579,52292,171414,52,94383,1853
平成23,2011,13200,,市部,All shi,1398417,11968,172339,624371,120609,10756,2826,8255,131238,52691,167685,963,94558,158
平成24,2012,13200,,市部,All shi,1398647,10742,157423,635892,118661,8315,2954,9026,135863,52144,170022,26,93079,4501
平成24,2012,13201,1,八王子市,Hachioji-shi,183797,764,15905,87659,15740,560,311,2606,17719,6837,21066,0,14629,0
平成24,2012,13202,2,立川市,Tachikawa-shi,67493,490,6936,33517,4508,595,299,339,5954,2361,7996,0,4498,0
平成24,2012,13203,3,武蔵野市,Musashino-shi,55756,471,9323,22115,5333,332,55,391,6686,1958,6530,0,2561,0
平成24,2012,13204,4,三鷹市,Mitaka-shi,67297,527,10318,29536,4859,263,126,329,6771,2235,7831,0,4427,75
平成24,2012,13205,5,青梅市,Ome-shi,49711,429,5208,21243,4594,218,221,318,4954,1944,6280,12,2632,1658
平成24,2012,13206,6,府中市,Fuchu-shi,90670,549,9182,41459,7538,565,98,373,7576,3023,15587,0,4720,0
平成24,2012,13207,7,昭島市,Akishima-shi,37906,373,4237,18606,3201,491,34,183,2918,1394,4060,0,2408,0
平成24,2012,13208,8,調布市,Chofu-shi,75896,512,8944,35033,7457,336,88,378,8511,2710,7525,0,4404,0
平成24,2012,13209,9,町田市,Machida-shi,134952,702,17454,61228,12415,431,298,809,10977,4927,19688,0,6004,18
平成24,2012,13210,10,小金井市,Koganei-shi,36487,369,4160,14971,4511,515,35,161,3792,1546,3536,0,2891,0
平成24,2012,13211,11,小平市,Kodaira-shi,59628,486,6600,26973,4582,291,96,175,6229,2340,7336,2,4517,0
平成24,2012,13212,12,日野市,Hino-shi,57891,421,6887,25739,4739,379,182,334,7129,2182,6179,8,3713,0
平成24,2012,13213,13,東村山市,Higashimurayama-shi,49740,377,6608,24299,3342,410,77,111,3409,1821,5392,0,3895,0
平成24,2012,13214,14,国分寺市,Kokubunji-shi,43801,352,3931,15693,3278,219,99,90,8171,1606,4294,0,3317,2751
平成24,2012,13215,15,国立市,Kunitachi-shi,26552,339,2978,12135,1929,224,65,219,3015,1157,2853,0,1636,0
平成24,2012,13218,16,福生市,Fussa-shi,22340,301,2267,10466,2443,289,47,140,2063,888,2297,2,1137,0
平成24,2012,13219,17,狛江市,Komae-shi,24767,341,2989,11131,2022,303,37,86,1435,1105,2780,0,2538,0
平成24,2012,13220,18,東大和市,Higashiyamato-shi,27988,325,3009,14605,1970,69,48,91,1441,1129,3401,0,1900,0
平成24,2012,13221,19,清瀬市,Kiyose-shi,26610,249,3348,13681,1741,207,65,59,1165,1080,2861,2,2153,0
平成24,2012,13222,20,東久留米市,Higashikurume-shi,35917,331,3284,17060,2856,255,51,125,3402,1752,3833,0,2968,0
平成24,2012,13223,21,武蔵村山市,Musashimurayama-shi,26748,287,2621,13601,1776,50,36,271,2406,992,3347,0,1361,0
