産業 1,Industry 1,産業 2,Industry 2,平成23年 2011,平成24年 2012
総額,Total,,,10277016,10336530
農業,Agriculture,,,-,-
林業,Forestry,,,-,-
漁業,Fishery,,,-,-
鉱業,Mining,,,30535,34456
製造業,Manufacturing Industries,,,2808921,2677760
製造業,Manufacturing Industries,食料品製造業 1),Food and kindred products,396304,402100
製造業,Manufacturing Industries,繊維工業 2),Textile mill products,-,-
製造業,Manufacturing Industries,パルプ，紙，紙加工品製造業,Pulp， paper and paper worked products,91429,92286
製造業,Manufacturing Industries,化学工業,Chemical and allied industries,199490,192559
製造業,Manufacturing Industries,石油製品，石炭製品製造業,Petroleum and coal products,2626,2762
製造業,Manufacturing Industries,ゴム製品製造業,Rubber products,85223,67982
製造業,Manufacturing Industries,窯業，土石製品製造業,Ceramic， clay and stone products,106567,102024
製造業,Manufacturing Industries,鉄鋼業,Iron and steel ,298874,282102
製造業,Manufacturing Industries,非鉄金属製造業,Non-ferrous metals and products,22028,20468
製造業,Manufacturing Industries,機械器具製造業 3),Machinery  ,1070224,1027777
製造業,Manufacturing Industries,その他の製造業 4),Miscellaneous manufacturing industries,536157,487698
鉄道業,Railway ｔｒansport,,,2221966,2373207
その他の産業 5),Other industries,,,5215594,5251107
,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,
6-2  産業別電力使用量 （平成23，24年） 6-2  DEMAND FOR ELECTRIC POWER BY INDUSTRY ( Fiscal Years 2011 and 2012 ),,,,,
契約電力500kW以上,,,,,
Figures refer to contracts not less than 500kW. ,,,,,
注 1)  「飲料・飼料製造業」を含む。,,,,,
2）「衣服・その他の繊維製品製造業」を含む。,,,,,
3）「電気機械器具製造業」，「輸送用機械器具製造業」，「機械その他」を含む。,,,,,
4）「木材，木製品製造業」，「出版，印刷，同関連産業」，「プラスチック製品製造業」，「金属製品製造業」を含む。,,,,,
5） 「建設業」，「電気・ガス・熱供給・水道業」，「 運輸・通信業」を含む。,,,,,
Note: 1） Including “Manufacture of beverage and feed”.,,,,,
2) Including  “Manufacture of apparel and other finished products made from fabrics and similar materials”.,,,,,
3)Including “Electrical machinery，equipment and supplies”， “Transportation equipment” and  “Machinery and others”.,,,,,
4) Including “Lumber and wood  products”， “Publishing， printing and allied industries”， “Plastic products”  and “Fabricated metal products”.,,,,,
5) Including　“Construction”， “ Electricity， gas， heat supply and water”，“Transport and communication”.,,,,,
資料 ： 東京電力株式会社 Source : Tokyo Electric Power Co.， Ltd.,,,,,
（単位　1000キロワット時）(In 1000kWh),,,,,
