品目階層,品目,Item,平成22年 2010／数量 Quantity,平成22年 2010／金額 Value,平成23年 2011／数量 Quantity,平成23年 2011／金額 Value,平成24年 2012／数量 Quantity,平成24年 2012／金額 Value
0,総数,Total,569155,464035688,527542,452038987,523547,444191585
1,鮮魚,Fresh fish,171838,139783658,167491,136884647,164881,136589791
2,まぐろ類,Tuna,12532,21287997,12831,21372552,11253,20900922
2,かじき類,Swordfish,1731,2250054,1377,1840808,1462,1944165
2,かつお類,Skipjack,13906,6841170,10658,5781245,9412,5685146
2,ぶり類,Yellowtail,28573,17423268,31434,19086138,32886,17888407
2,あじ類,Horse mackerel,18145,9307652,19148,9049648,17032,9108317
2,さわら類,King mackerel,2132,1859987,1970,1824429,1550,1632961
2,いわし類,Sardine,7717,2693740,5816,1989344,6143,2038747
2,いか類,Squid,13450,7192131,13783,7106012,12899,6857640
2,かれい類,Flounder,3708,2809921,3752,2700164,3570,2523224
2,たい類,Sea bream,12162,11750224,11144,11613050,10793,12079839
2,めぬけ類,Rock fish,1123,1777525,948,1593127,841,1552985
2,さめ類,Shark,536,230062,320,157710,384,167351
2,さけ・ます類,Salmon and trout,6553,5846116,6491,6098824,8143,6502618
2,たら類,Cod,5254,3685327,5429,3816036,5550,3631426
2,えび類,Shrimp and lobster,1918,4730630,1892,4503691,2056,4945710
2,かに類,Crab,1965,3365075,1486,2943889,1818,3219474
2,あなご類,Conger eel,351,396864,306,376620,275,404669
2,ふぐ類,Puffer,756,2123177,629,1967448,712,2175844
2,その他鮮魚類,Other fresh fish,39326,34212738,38078,33063912,38104,33330347
1,活魚類,Live fish ,14075,18202738,13700,17569328,15799,18971827
1,貝類,Shellfish,37504,35566182,30419,31951224,31254,31292288
2,生鮮貝類,Fresh shellfish,30598,27840194,24963,24543225,26366,25455400
2,冷凍貝類,Frozen shellfish,6906,7725988,5456,7407999,4888,5836888
1,冷凍魚,Frozen fish,138474,126337392,122761,123643898,127616,116814535
2,冷まぐろ類,Frozen tuna,36164,48472860,32894,48325568,35127,47672532
2,冷かじき類,Frozen swordfish,2237,2034910,2149,2029577,2137,2010886
2,冷いか類,Frozen squid,8976,4647974,7634,4501807,8338,4615142
2,冷かれい類,Frozen flounder,7635,4759898,7555,5249303,6172,4386681
2,冷たい類,Frozen sea bream,128,116495,159,149630,169,155471
2,冷さめ類,Frozen shark,5,2430,5,1938,5,2173
2,冷さけ・ます類,Frozen salmon and trout,37481,22439602,32305,21425831,35442,16478174
2,冷えび類,Frozen shrimp and lobster,12270,14692558,10930,13462187,11946,13749171
2,冷かに類,Frozen crab,2899,5477421,2852,5809821,2975,5540155
2,その他冷凍魚類,Other frozen fish,30679,23693243,26278,22688237,25305,22204149
1,淡水魚,Freshwater fish,1640,2219324,1709,2391621,1431,2321408
2,生鮮淡水魚類,Fresh freshwater fish,1548,2144947,1575,2286262,1315,2224738
2,冷凍淡水魚類,Frozen freshwater fish,93,74377,134,105359,116,96670
1,海そう類,Seaweed,7275,3070632,7084,3262861,7436,3506054
1,加工品,Processed foods,198350,138855762,184377,136335408,175131,134695682
2,塩蔵品類,Salted,24124,30936393,22813,30602411,22613,29808411
2,塩干品類,Salted and dried,31025,15428694,28242,14901061,26908,14433631
2,煮干製品類,Boiled and dried,13670,13998614,11649,11255352,12308,13948430
2,練製品類,"""Surimi""",27468,15083459,26964,14988577,25929,14358420
2,その他,Others,102063,63408602,94710,64588006,87373,62146790
,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-2  品目別水産物の入荷数量 （平成22～24年） 10-2 RECEIVED FISHERY PRODUCTS BY ITEM（ 2010-2012 ）,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:鮮魚・活魚類・貝類・冷凍魚・淡水魚・海そう類・加工品　2:水産物種類別　3:品目),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen)  ,,,,,,,,
