年次,Year,月次 ,Month,総数 Total,売買立会による取引 Ordinary Trades／計 Total,売買立会による取引 Ordinary Trades／普通取引 Regular way,売買立会による取引 Ordinary Trades／発行日取引 When-issued,売買立会による取引 Ordinary Trades／立会外分売 Off-floor sell,過誤訂正立会外取引　Special Trades
平成20,2008,総数,Total,541576224,507826335,507825303,-,1031,33749889
平成21,2009,総数,Total,552098670,515680823,515678559,-,2263,36417846
平成22,2010,総数,Total,511695772,471255647,471253968,-,1679,40440124
平成23,2011,総数,Total,524646368,478157135,478155990,-,1144,46489233
平成24,2012,総数,Total,519754423,464397550,464391837,-,5712,55356873
平成24,2012,1,Jan.,38169275,34495187,34495187,-,-,3674087
平成24,2012,2,Feb.,55955975,51161833,51160633,-,1200,4794142
平成24,2012,3,Mar.,52573209,46866103,46865423,-,680,5707106
平成24,2012,4,Apr.,39717736,35518758,35518358,-,400,4198978
平成24,2012,5,May,41668843,37244443,37244079,-,363,4424399
平成24,2012,6,June,39774491,35039970,35039320,-,650,4734520
平成24,2012,7,July,36854709,33090877,33090877,-,-,3763832
平成24,2012,8,Aug.,38649339,34537220,34536930,-,290,4112118
平成24,2012,9,Sept.,35943661,31530710,31530710,-,-,4412950
平成24,2012,10,Oct.,41523475,36355616,36355616,-,-,5167858
平成24,2012,11,Nov.,43594701,38485724,38483596,-,2128,5108976
平成24,2012,12,Dec.,55329006,50071104,50071104,-,-,5257901
,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　15  金融 15  FINANCE,,,,,,,,,
15-7  取引種類別売買株数 (1) 第一部 (平成20～24年) 15-7  SALES VOLUME BY TYPE OF TRADING (1) THE 1st SECTION ( 2008-2012 ),,,,,,,,,
この表については，数値の単位未満を切り捨てているため (ただし，平均値は，四捨五入) ，合計と内訳の計とが一致しない場合もある。,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,
資料：(株)東京証券取引所 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,
（単位  千株）(In thousand of shares),,,,,,,,,
