項番 Item number,出火原因,Causes of fire,出火件数 Number of fires,焼損面積 Area burned (m2),焼損棟数 Buildings burned,り災世帯数 Households affected
,総数,Total,5388,122931,3890,2788
1,たばこ,Cigarettes,806,3949,559,545
2,こんろ,Gas table,576,1673,631,479
3,かまど,Kitchen stove,4,70,3,-
4,風呂かまど,Bathtub water heater ,10,137,12,9
5,炉,Furnace,9,0,8,-
6,焼却炉,Incinerator,4,2500,-,-
7,ストーブ,Space heater ,127,1712,160,201
8,こたつ,Kotatsu， a Japanese table with a heating device,5,109,11,9
9,ボイラー,Hot water boiler,5,0,4,4
10,煙突・煙道,Chimney and flue,2,0,1,-
11,排気管,Exhaust pipe,38,0,1,-
12,電気機器,Electric machinery and appliances,208,622,197,110
13,電気装置,Electric equipment,98,256,79,14
14,電灯電話配線,Lighting and telephone wiring,157,1173,129,94
15,内燃機関,Internal-combustion engine,11,27,2,2
16,配線器具,Wiring devices ,268,456,245,119
17,火遊び,Playing with matches／lighters,110,247,44,34
18,マッチ・ライター,Matches and lighters,85,417,68,52
19,たき火,Bonfire,69,3092,12,5
20,切断機・溶接機,Welding and cutting machines,52,130,31,20
21,灯火,Lighting,55,444,70,70
22,衝突の火花,Sparks caused by collision,3,0,-,-
23,取灰,Ash,8,0,5,1
24,火入れ,Kindling,1,0,-,-
25,放火,Arson,1480,64596,687,323
26,放火の疑い,Suspected arson,124,514,55,24
27,交通機関内配線,Wiring installed in transportation facilities ,39,10,5,1
28,その他,Others　,694,4161,503,294
29,不明・調査中,Unknown and currently under investigation,340,36636,368,378
,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,
20-18  出火原因別出火件数及び焼損面積 （平成23年） 20-18  NUMBER OF FIRES BY CAUSE AND AREA BURNED ( 2011 ),,,,,,
資料：都総務局総合防災部防災管理課「消防年報」 Source: Bureau of General Affairs， TMG,,,,,,
