年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of  employees 1),総数 Total／従業者数 Number of  employees 1) ／男 Male,総数 Total／従業者数 Number of  employees 1) ／女 Female,Ａ農業，林業・Ｂ漁業 Agriculture And Forestry And Fisheries Explanatory Notes／事業所数 Number of establishments　,Ａ農業，林業・Ｂ漁業 Agriculture And Forestry And Fisheries Explanatory Notes／従業者数 Number of employees 1),Ａ農業，林業・Ｂ漁業 Agriculture And Forestry And Fisheries Explanatory Notes／従業者数 Number of employees 1)／男 Male,Ａ農業，林業・Ｂ漁業 Agriculture And Forestry And Fisheries Explanatory Notes／従業者数 Number of employees 1)／女 Female,Ｃ鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／事業所数 Number of establishments,Ｃ鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1),Ｃ鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1)／男 Male,Ｃ鉱業，採石業，砂利採取業 Mining and quarrying of stone and gravel／従業者数 Number of employees 1)／女 Female,Ｄ建設業 Construction／事業所数 Number of establishments,Ｄ建設業 Construction／従業者数 Number of employees 1),Ｄ建設業 Construction／従業者数 Number of employees 1)／男 Male,Ｄ建設業 Construction／従業者数 Number of employees 1)／女 Female,Ｅ製造業 Manufacturing／事業所数 Number of establishments,Ｅ製造業 Manufacturing／従業者数 Number of employees 1),Ｅ製造業 Manufacturing／従業者数 Number of employees 1)／男 Male,Ｅ製造業 Manufacturing／従業者数 Number of employees 1)／女 Female,Ｆ電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／事業所数 Number of establishments,Ｆ電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1),Ｆ電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1)／男 Male,Ｆ電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water／従業者数 Number of employees 1)／女 Female,Ｇ情報通信業 Information and communications／事業所数 Number of establishments,Ｇ情報通信業 Information and communications／従業者数 Number of employees 1) ,Ｇ情報通信業 Information and communications／従業者数 Number of employees 1)／男 Male,Ｇ情報通信業 Information and communications／従業者数 Number of employees 1)／女 Female,Ｈ運輸業、郵便業 Transport and postal activities／事業所数 Number of establishments,Ｈ運輸業、郵便業 Transport and postal activities／従業者数 Number of employees 1),Ｈ運輸業、郵便業 Transport and postal activities／従業者数 Number of employees 1)／男 Male,Ｈ運輸業、郵便業 Transport and postal activities／従業者数 Number of employees 1)／女 Female,Ｉ卸売業，小売業 Wholesale and retail trade／事業所数 Number of establishments,Ｉ卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1),Ｉ卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1)／男 Male,Ｉ卸売業，小売業 Wholesale and retail trade／従業者数 Number of employees 1)／女 Female,Ｊ金融業，保険業 Finance and insurance／事業所数 Number of establishments,Ｊ金融業，保険業 Finance and insurance／従業者数 Number of employees 1),Ｊ金融業，保険業 Finance and insurance／従業者数 Number of employees 1)／男 Male,Ｊ金融業，保険業 Finance and insurance／従業者数 Number of employees 1)／女 Female,Ｋ不動産業，物品賃貸業 Real estate and goods rental and leasing／事業所数 Number of establishments,Ｋ不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1),Ｋ不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1)／男 Male,Ｋ不動産業，物品賃貸業 Real estate and goods rental and leasing／従業者数 Number of employees 1)／女 Female,Ｌ学術研究，専門・技術サービス業 Scientific research，professional and technical services／事業所数 Number of establishments,Ｌ学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1),Ｌ学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1)／男 Male,Ｌ学術研究，専門・技術サービス業 Scientific research，professional and technical services／従業者数 Number of employees 1)／女 Female,Ｍ宿泊業，飲食サービス業 Accommodations， eating and drinking services／事業所数 Number of establishments,Ｍ宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1),Ｍ宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1)／男 Male,Ｍ宿泊業，飲食サービス業 Accommodations， eating and drinking services／従業者数 Number of employees 1)／女 Female,Ｎ生活関連サービス業，娯楽業 Living-related and personal services and amusement services／事業所数 Number of establishments,Ｎ生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1),Ｎ生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1)／男 Male,Ｎ生活関連サービス業，娯楽業 Living-related and personal services and amusement services／従業者数 Number of employees 1)／女 Female,Ｏ教育，学習支援業 Education，learning support／事業所数 Number of establishments,Ｏ教育，学習支援業 Education，learning support／従業者数 Number of employees 1),Ｏ教育，学習支援業 Education，learning support／従業者数 Number of employees 1)／男 Male,Ｏ教育，学習支援業 Education，learning support／従業者数 Number of employees 1)／女 Female,Ｐ医療，福祉 Medical， health care and welfare／事業所数 Number of establishments,Ｐ医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1),Ｐ医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1)／男 Male,Ｐ医療，福祉 Medical， health care and welfare／従業者数 Number of employees 1)／女 Female,Ｑ複合サービス事業 Compound services／事業所数 Number of establishments,Ｑ複合サービス事業 Compound services／従業者数 Number of employees 1),Ｑ複合サービス事業 Compound services／従業者数 Number of employees 1)／男 Male,Ｑ複合サービス事業 Compound services／従業者数 Number of employees 1)／女 Female,Ｒサービス業 (他に分類されないもの) Services， n.e.c.／事業所数 Number of establishments,Ｒサービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1),Ｒサービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1)／男 Male (Female),Ｒサービス業 (他に分類されないもの) Services， n.e.c.／従業者数 Number of employees 1)／女 Female,Ｓ公務（他に分類されるものを除く） Government， except elsewhere classified ／事業所数 Number of establishments,Ｓ公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1),Ｓ公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1)／男 Male,Ｓ公務（他に分類されるものを除く） Government， except elsewhere classified ／従業者数 Number of employees 1)／女 Female
平成21,2009,0,13000,,東京都（公営を含む全産業）,Tokyo-to（All industries including government）,694212,9520835,5791957,3702902,498,4003,2942,…,77,2284,1883,…,47235,500812,420101,…,59852,921524,672771,…,555,36265,30655,…,25691,852563,630997,…,19529,509303,422517,…,168237,1918806,1102472,…,11295,408431,223134,…,61712,349477,219726,…,46427,446180,303291,…,97664,897866,437096,…,49781,368411,178910,…,20192,451720,228984,…,41357,657165,190209,…,1994,22650,12619,…,40016,924454,521177,…,2100,248921,192473,…
平成21,2009,0,13000,,東京都（公営を除いた産業）,Tokyo-to（Exclude government bodies）,684895,9046553,5502381,3518196,491,3947,2890,1057,77,2284,1883,401,47235,500812,420101,80711,59851,921523,672771,247594,394,29051,24174,4877,25690,852562,630996,206383,19471,502095,415525,86570,168224,1918756,1102448,811156,11294,408422,223127,185295,61643,349257,219595,129615,46198,437805,296985,140748,97600,896676,436653,457054,49606,366073,177497,187553,17132,343301,180512,162789,38490,578769,173589,405180,1994,22650,12619,10031,39505,912570,511016,401182,…,…,…,…
平成24,2012,0,13000,,東京都,Tokyo-to,627357,8655267,5220831,3396365,462,3585,2636,949,52,465,385,80,42564,468233,392966,75264,50051,706624,510677,195947,376,30953,25652,5301,21792,786859,589950,190604,16718,467518,387314,79812,154578,1920451,1112989,804894,10758,414185,226771,186971,58658,343789,214843,126820,41024,422454,285092,137257,88820,852433,406870,426300,46173,349804,164456,182604,16330,322331,169220,153111,39701,644732,194018,450040,1773,19966,10715,9251,37527,900885,526277,371160,…,…,…,…
平成24,2012,1,13100,,区部,All ku,498735,7211906,4443135,2739891,242,1885,1336,…,35,314,256,…,29856,383143,324347,…,42370,535883,382424,…,295,27637,22824,…,19578,745188,560801,…,14382,392693,324021,…,123675,1623378,971337,…,8918,374092,210342,…,47055,297708,188195,…,35274,377371,253757,…,70815,688286,337448,…,34452,276441,133329,…,11042,237567,125591,…,28785,437704,137157,…,1261,14464,7869,…,30700,798152,462101,…,…,…,…,…
平成24,2012,3,13101,1,千代田区,Chiyoda-ku,32045,837974,545629,285951,15,74,51,…,2,12,8,…,863,23604,20522,…,1216,41378,32016,…,44,5809,5351,…,2924,113375,84194,…,533,23930,19902,…,7866,172182,117712,…,1259,114892,73307,…,2359,34093,22963,…,5158,73495,49480,…,4015,59635,31739,…,964,13254,6835,…,495,21031,12043,…,1015,23395,8810,…,70,1874,1299,…,3247,115941,59397,…,…,…,…,…
平成24,2012,3,13102,2,中央区,Chuo-ku,37333,721044,464687,255050,18,127,102,…,5,60,51,…,1044,29839,25960,…,1504,34293,23299,…,26,2193,2073,…,2358,78331,58789,…,830,22502,18445,…,11156,209501,139116,…,1322,59075,37326,…,2740,31559,21310,…,4465,47492,32002,…,5778,59281,28851,…,1337,23550,12321,…,362,4079,2091,…,1208,17669,5880,…,73,844,523,…,3107,100649,56548,…,…,…,…,…
平成24,2012,3,13103,3,港区,Minato-ku,37209,952499,635205,316020,18,100,74,…,9,123,107,…,1053,50763,44106,…,1204,87122,68177,…,50,5699,4932,…,3118,167731,129803,…,1013,36079,28847,…,7781,199629,125303,…,902,37457,21107,…,3189,44469,28754,…,4922,75422,50849,…,6113,80494,43920,…,2017,24807,11482,…,549,16371,7989,…,1518,24324,8914,…,74,1280,825,…,3679,100629,60016,…,…,…,…,…
平成24,2012,3,13104,4,新宿区,Shinjuku-ku,32193,634509,376149,255806,11,45,28,…,3,5,4,…,1188,30711,26019,…,1364,29917,23277,…,19,2908,1851,…,2167,80953,58034,…,304,9165,7921,…,6215,101112,56440,…,729,34912,16653,…,3676,30962,19983,…,3478,39713,27348,…,6207,82849,40838,…,2027,21130,10478,…,805,28288,16783,…,1529,32953,11136,…,72,740,392,…,2399,108146,58964,…,…,…,…,…
平成24,2012,3,13105,5,文京区,Bunkyo-ku,14110,213491,128730,84499,4,16,11,…,1,3,2,…,567,7555,6392,…,1301,16172,11606,…,4,65,62,…,907,27472,20859,…,166,5422,4717,…,3294,37947,24402,…,182,7434,3753,…,1699,6613,3820,…,1234,10386,6784,…,1705,18802,9118,…,710,7426,3109,…,431,24387,13473,…,770,16548,5194,…,37,349,181,…,1098,26894,15247,…,…,…,…,…
平成24,2012,3,13106,6,台東区,Taito-ku,23727,233394,146884,85348,3,7,3,…,2,7,6,…,1020,11992,10116,…,2890,20138,13800,…,6,341,265,…,616,13483,10878,…,278,7873,7008,…,8269,80656,50899,…,300,5318,2649,…,2035,9884,5924,…,1154,10164,7217,…,3574,28373,14130,…,1160,10233,4878,…,227,4423,2257,…,809,9145,3217,…,50,501,295,…,1334,20856,13342,…,…,…,…,…
平成24,2012,3,13107,7,墨田区,Sumida-ku,16181,168493,101550,66588,1,3,2,…,1,2,2,…,1004,9746,8166,…,3645,27281,17805,…,3,20,18,…,200,5776,3922,…,310,8674,7580,…,4413,43172,25655,…,173,11034,6075,…,1197,7137,4437,…,521,4258,2798,…,1939,15102,6774,…,977,10681,5360,…,220,2412,1265,…,778,10127,3053,…,38,349,176,…,761,12719,8462,…,…,…,…,…
平成24,2012,3,13108,8,江東区,Koto-ku,18402,332564,220556,111178,10,40,34,…,-,-,-,…,1373,22156,19111,…,2411,31799,23040,…,22,1896,1466,…,417,49554,38283,…,1142,39779,33661,…,4774,69277,42051,…,259,14658,7823,…,1216,7932,5275,…,607,8454,6287,…,2431,21562,10378,…,1181,9238,4262,…,288,4511,2433,…,1047,15940,4677,…,47,415,194,…,1177,35353,21581,…,…,…,…,…
平成24,2012,3,13109,9,品川区,Shinagawa-ku,20103,350674,233838,116004,4,24,19,…,2,26,21,…,1223,21696,18847,…,1832,24497,18602,…,19,1306,938,…,786,59383,46960,…,592,30900,22307,…,4679,85650,56648,…,356,6197,3353,…,2443,11906,7421,…,1070,14405,10094,…,2910,31089,15130,…,1364,11541,5616,…,400,7823,4194,…,1182,15851,5036,…,50,473,258,…,1191,27907,18394,…,…,…,…,…
平成24,2012,3,13110,10,目黒区,Meguro-ku,10955,128007,70713,57042,5,98,89,…,1,1,1,…,498,4239,3372,…,595,8867,5139,…,4,305,251,…,338,7550,5472,…,91,3952,3591,…,2913,29927,16396,…,141,5677,2464,…,1295,5307,3212,…,665,6624,4325,…,1627,12467,6328,…,1079,10076,5057,…,341,8381,4333,…,852,12386,3823,…,25,236,113,…,485,11914,6747,…,…,…,…,…
