年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,規格改良済 Standard-improved／計 Total／延長 Length,規格改良済 Standard-improved／計 Total／面積 Area,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／延長 Length,規格改良済 Standard-improved／19.5ｍ以上 19.5ｍ and over／面積 Area,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／延長 Length,規格改良済 Standard-improved／13.0ｍ以上 13.0ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／延長 Length,規格改良済 Standard-improved／5.5ｍ以上 5.5ｍ and over／面積 Area,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／延長 Length,規格改良済 Standard-improved／5.5ｍ未満 less than 5.5ｍ／面積 Area,未改良 Unimproved／計 Total／延長 Length,未改良 Unimproved／計 Total／面積 Area,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／延長 Length,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／延長 Length,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／延長 Length,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／面積 Area,
平成21,2009,0,13000,,総数,Tokyo-to,24316116,181134050,17896803,162754617,312866,11943471,969050,26618225,6194528,66931533,10420359,57261388,6419313,18379433,58352,585365,432691,2275593,5928270,"15,518,475",
平成22,2010,0,13000,,総数,Tokyo-to,24327936,181967523,17973682,163735182,323916,12609740,982158,26627548,6213912,67099873,10453696,57398021,6354254,18232341,59623,593800,460796,2218537,5833835,"15,420,004",
平成23,2011,0,13000,,総数,Tokyo-to,24341542,182542404,18029761,164431192,319990,12515138,991361,26907903,6218272,67328289,10500138,57679862,6311781,18111212,59219,593077,458944,2211200,5793618,"15,306,935",
平成24,2012,0,13000,,総数,Tokyo-to,24405945,183598991,18133457,165571825,322327,12661521,1006140,27190736,6235692,67638018,10569297,58081549,6272488,18027166,59274,593745,456707,2200508,5756507,"15,232,913",
平成25,2013,0,13000,,総数,Tokyo-to,24431102,184674165,18178522,166684718,320483,12625201,1004049,27886445,6229529,67827829,10624461,58345243,6252580,17989447,58136,588476,429398,2100585,5765046,"15,300,386",
平成25,2013,1,13100,,区部,All ku,11870062,101786314,10186882,95663752,295370,11576253,747569,19139034,3884813,37836754,5259130,27111711,1683180,6122562,26033,309983,224850,1003908,1432297,4808671,
平成25,2013,5,13101,1,千代田区,Chiyoda-ku,175184,2771765,175184,2771765,19564,798742,34193,894213,69146,799427,52281,279383,-,-,-,-,-,-,-,-,
平成25,2013,5,13102,2,中央区,Chuo-ku,195150,2992615,186390,2947719,15329,620900,31333,922228,101039,1176481,38689,228110,8760,44896,1141,15149,656,7371,6963,22376,
平成25,2013,5,13103,3,港区,Minato-ku,305112,4397218,285278,4333006,30164,1251892,51014,1329226,86996,1092906,117104,658982,19834,64212,110,826,43,182,19681,63204,
平成25,2013,5,13104,4,新宿区,Shinjuku-ku,355519,3361398,355519,3361398,11636,403626,35896,979234,80406,947381,227581,1031157,-,-,-,-,-,-,-,-,
平成25,2013,5,13105,5,文京区,Bunkyo-ku,207440,1949950,111671,1551623,6180,240539,19321,480785,40937,536602,45233,293697,95769,398327,-,-,16317,88547,79452,309780,
平成25,2013,5,13106,6,台東区,Taito-ku,258495,2627896,217483,2478597,9811,372477,23771,591551,85062,913565,98839,601004,41012,149299,-,-,-,-,41012,149299,
平成25,2013,5,13107,7,墨田区,Sumida-ku,295660,2940876,295554,2940658,3201,117818,35669,876308,108961,1238289,147723,708243,106,218,-,-,-,-,106,218,
平成25,2013,5,13108,8,江東区,Koto-ku,390802,5588636,389725,5584042,37827,1525765,67287,1738208,174571,1633717,110040,686352,1077,4594,-,-,809,3684,268,910,
平成25,2013,5,13109,9,品川区,Shinagawa-ku,380429,3641412,212720,2958813,17995,767843,34524,845963,138003,1185447,22198,159560,167709,682599,80,1529,128884,567375,38745,113695,
平成25,2013,5,13110,10,目黒区,Meguro-ku,355183,2179976,290467,1992371,2835,105142,12210,343274,135635,996997,139787,546958,64716,187605,105,1119,2521,12576,62090,173910,
平成25,2013,5,13111,11,大田区,Ota-ku,851361,7510761,787634,7315144,32440,1111992,47359,1236222,262712,2429480,445123,2537450,63727,195617,839,6837,2106,12189,60782,176591,
平成25,2013,5,13112,12,世田谷区,Setagaya-ku,1184555,8184574,944982,7365800,16273,612000,28104,656911,220062,2318824,680543,3778065,239573,818774,70,578,2876,14542,236627,803654,
平成25,2013,5,13113,13,渋谷区,Shibuya-ku,273126,2729417,245793,2656308,7729,347385,31244,810725,110955,1062667,95865,435531,27333,73109,-,-,-,-,27333,73109,
平成25,2013,5,13114,14,中野区,Nakano-ku,367111,2141579,207302,1585645,925,30438,8630,240295,52469,639039,145278,675873,159809,555934,-,-,-,-,159809,555934,
平成25,2013,5,13115,15,杉並区,Suginami-ku,687425,4596446,502105,3929264,8549,332155,20414,532507,90953,990632,382189,2073970,185320,667182,26,290,1013,4214,184281,662678,
平成25,2013,5,13116,16,豊島区,Toshima-ku,309142,2343889,217894,2035342,4426,163942,19510,530473,46974,548995,146984,791932,91248,308547,-,-,178,719,91070,307828,
平成25,2013,5,13117,17,北区,Kita-ku,372110,2951451,269998,2582439,1988,72770,20353,487647,169195,1609210,78462,412812,102112,369012,13868,115073,26826,98449,61418,155490,
平成25,2013,5,13118,18,荒川区,Arakawa-ku,215084,1661377,215084,1661377,2593,92171,5716,179221,86446,871860,120329,518125,-,-,-,-,-,-,-,-,
平成25,2013,5,13119,19,板橋区,Itabashi-ku,740303,5826977,669459,5508546,16918,755692,37963,908893,149093,1330252,465485,2513709,70844,318431,1655,82359,3447,13981,65742,222091,
