地域階層,地域コード,地域,District,他府県との移動Inter-prefecture migration／増減Net migration,他府県との移動Inter-prefecture migration／転入In-migration,他府県との移動Inter-prefecture migration／転出Out-migration,都内間の移動増減数Net migration within Tokyo
0,13000,総数,Tokyo-to,"53,686","398,615","344,929",-431
1,13100,区部,All ku,"44,424","299,795","255,371","2,561"
3,13101,千代田区,Chiyoda-ku,833,"2,647","1,814",191
3,13102,中央区,Chuo-ku,"1,817","6,136","4,319",861
3,13103,港区,Minato-ku,"2,616","9,516","6,900",720
3,13104,新宿区,Shinjuku-ku,"3,010","13,465","10,455",-27
3,13105,文京区,Bunkyo-ku,"1,875","8,263","6,388",-531
3,13106,台東区,Taito-ku,"1,722","6,612","4,890",1375
3,13107,墨田区,Sumida-ku,"2,117","8,215","6,098",193
3,13108,江東区,Koto-ku,"2,820","14,506","11,686",602
3,13109,品川区,Shinagawa-ku,"2,392","13,712","11,320",-194
3,13110,目黒区,Meguro-ku,"1,755","10,662","8,907",724
3,13111,大田区,Ota-ku,"1,617","25,092","23,475",-485
3,13112,世田谷区,Setagaya-ku,"3,923","30,792","26,869",480
3,13113,渋谷区,Shibuya-ku,"1,858","8,146","6,288",1202
3,13114,中野区,Nakano-ku,"2,423","12,240","9,817",-16
3,13115,杉並区,Suginami-ku,"3,671","18,942","15,271","-1,283"
3,13116,豊島区,Toshima-ku,"2,378","10,592","8,214",253
3,13117,北区,Kita-ku,"1,728","11,537","9,809",870
3,13118,荒川区,Arakawa-ku,1178,"5,542","4,364",319
3,13119,板橋区,Itabashi-ku,"1,686","16,647","14,961",813
3,13120,練馬区,Nerima-ku,"2,142","21,750","19,608",-692
3,13121,足立区,Adachi-ku,932,"15,696","14,764",1017
3,13122,葛飾区,Katsushika-ku,61,"10,263","10,202",-891
3,13123,江戸川区,Edogawa-ku,-130,"18,822","18,952","-2,940"
1,13200,市部,All shi,"9,317","97,490","88,173","-3,222"
3,13201,八王子市,Hachioji-shi,"1,410","12,758","11,348","-1,140"
3,13202,立川市,Tachikawa-shi,5,"3,916","3,911",-157
3,13203,武蔵野市,Musashino-shi,818,"4,402","3,584",69
3,13204,三鷹市,Mitaka-shi,890,"5,136","4,246",-521
3,13205,青梅市,Ome-shi,-371,"1,654","2,025",103
3,13206,府中市,Fuchu-shi,"1,848","7,724","5,876","-2,142"
3,13207,昭島市,Akishima-shi,-152,"1,630","1,782",-187
3,13208,調布市,Chofu-shi,839,"6,547","5,708",96
3,13209,町田市,Machida-shi,"1,325","12,574","11,249",-204
3,13210,小金井市,Koganei-shi,371,"3,631","3,260",-659
3,13211,小平市,Kodaira-shi,624,"4,730","4,106",758
3,13212,日野市,Hino-shi,318,"3,855","3,537",-26
3,13213,東村山市,Higashimurayama-shi,-52,"2,776","2,828",299
3,13214,国分寺市,Kokubunji-shi,755,"3,605","2,850",162
3,13215,国立市,Kunitachi-shi,275,"2,013","1,738",-105
3,13218,福生市,Fussa-shi,33,850,817,-154
3,13219,狛江市,Komae-shi,189,"2,351","2,162",-15
3,13220,東大和市,Higashiyamato-shi,16,"1,128","1,112",273
3,13221,清瀬市,Kiyose-shi,-87,"1,562","1,649",200
3,13222,東久留米市,Higashikurume-shi,-193,"2,144","2,337",144
3,13223,武蔵村山市,Musashimurayama-shi,22,945,923,250
3,13224,多摩市,Tama-shi,-94,"2,809","2,903",-357
3,13225,稲城市,Inagi-shi,383,"2,437","2,054",-24
3,13227,羽村市,Hamura-shi,-62,926,988,70
3,13228,あきる野市,Akiruno-shi,-56,777,833,171
3,13229,西東京市,Nishitokyo-shi,263,"4,610","4,347",-126
1,13300,郡部,All gun,-56,614,670,244
3,13303,瑞穂町,Mizuho-machi,-71,355,426,5
3,13305,日の出町,Hinode-machi,13,200,187,319
3,13307,檜原村,Hinohara-mura,6,15,9,-13
3,13308,奥多摩町,Okutama-machi,-4,44,48,-67
1,13350,島部,All islands,1,716,715,-14
2,13360,大島支庁,Oshima-shicho,-73,232,305,10
3,13361,大島町,Oshima-machi,-56,136,192,-31
3,13362,利島村,Toshima-mura,-7,7,14,11
3,13363,新島村,Niijima-mura,-13,40,53,22
3,13364,神津島村,Kouzushima-mura,3,49,46,8
2,13380,三宅支庁,Miyake-shicho,38,121,83,-37
3,13381,三宅村,Miyake-mura,33,99,66,-29
3,13382,御蔵島村,Mikurajima-mura,5,22,17,-8
2,13400,八丈支庁,Hachijo-shicho,11,194,183,8
3,13401,八丈町,Hachijo-machi,14,186,172,9
3,13402,青ヶ島村,Aogashiｍa-mura,-3,8,11,-1
2,13420,小笠原支庁,Ogasawara-shicho,25,169,144,5
3,13421,小笠原村,Ogasawara-mura,25,169,144,5
,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,
2-6 地域別移動人口（平成24年中）2-6 POPULATION MIGRATION BY DISTRICT ( 2012 ),,,,,,,
注) この表は住民基本台帳による届出時点の数字である。,,,,,,,
Note:  Data refer to numbers reported on the Basic Resident Registers during the stated year.  ,,,,,,,
資料：都総務局統計部人口統計課 「人口の動き-「東京都の人口（推計)」年報-」Source: Bureau of General Affairs， TMG    ,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:支庁　3:区市町村）,,,,,,,
