地域階層,地域コード,地域,District,項番 Item number,警察署,Police station,総数 Total,凶悪犯 Felonious offenses／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／傷人 Bodily injury,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／強姦 Rape),凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／普通 Others,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／殺人 Homicide,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／傷人 Bodily injury,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／強姦 Rape),凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／普通 Others,凶悪犯 Felonious offenses／放火 Arson,凶悪犯 Felonious offenses／強姦 Rape),粗暴犯 Violent offenses／凶器準備集合 Unlawful assembly with dangerous weapons,粗暴犯 Violent offenses／暴行 Violence,粗暴犯 Violent offenses／傷害 Bodily injury,粗暴犯 Violent offenses／傷害致死 Bodily injury resulting in death,粗暴犯 Violent offenses／脅迫 Intimidation,粗暴犯 Violent offenses／恐喝 Extortion,窃盗犯 Larcenous offenses／侵入窃盗 Breaking & entering／theft,窃盗犯 Larcenous offenses／非侵入窃盗 Theft without breaking and entering,知能犯 Intellectual offenses／詐欺 Fraud,知能犯 Intellectual offenses／横領 Embezzlement,知能犯 Intellectual offenses／偽造 Counterfeiting,知能犯 Intellectual offenses／汚職 Corruption,知能犯 Intellectual offenses／背任 Breach of trust,風俗犯 Moral offenses／賭博 Gambling,風俗犯 Moral offenses／わいせつ Indecency,その他 Others／占有離脱物横領 Embezzlement of lost properties,その他 Others／公務執行妨害 Obstructing the execution of official duties,その他 Others／住居侵入 Trespassing,その他 Others／盗品等 Stolen properties， etc.,その他 Others／器物損壊等 Damage or destruction of structure， etc.,その他 Others／その他 Others,
0,13000,総数,Tokyo-to,,,,172385,118,3,36,4,130,2,152,4,238,81,147,2,4465,3352,13,404,552,7970,117875,6464,172,572,6,7,18,1436,7603,672,1205,140,18110,432,
1,13100,区部,All ku,,,,125523,88,3,25,3,90,2,112,4,178,57,98, -,3534,2703,11,315,427,5577,85297,5180,139,473,2,7,14,1095,5756,544,840,105,12506,338,
2,13101,千代田区,Chiyoda-ku,1,麹町署,Kojimachi P. Sta．,509, -, -, -, -, -, -, -, -, -, -, -, -,32,23, -,4,2,10,295,39,2,4, -,1, -,1,27,11,7, -,45,6,
2,13101,千代田区,Chiyoda-ku,2,丸の内署,Marunouchi P. Sta. ,1119, -, -, -, -,1, -, -, -, -, -,1, -,78,19, -,1,4,8,861,39,2,6, -, -, -,2,41,1,1, -,49,5,
2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda P. Sta.,585, -, -,1, -, -, -,1, -,1, -, -, -,47,8, -,1,1,39,352,34,2,9,1, -, -,8,24,1,2, -,49,4,
2,13101,千代田区,Chiyoda-ku,4,万世橋署,Manseibashi P. Sta.,1399,1, -, -, -,3, -, -, -,1, -,1, -,56,31, -,4,8,46,1021,45,3,4, -, -,2,17,66,11,9, -,67,3,
2,13102,中央区,Chuo-ku,5,中央署,Chuo P. Sta.,812,4, -, -, -,1, -,1, -,1, -, -, -,40,19, -,1,5,39,457,62,5,2, -, -, -,5,80,3,8, -,74,5,
2,13102,中央区,Chuo-ku,6,久松署,Hisamatsu P. Sta.　,420,1, -, -, -, -, -, -, -, -,1, -, -,14,12, -,1,2,21,243,20, -,1, -, -, -,9,32,6,5, -,50,2,
2,13102,中央区,Chuo-ku,7,築地署,Tsukiji P. Sta.,1154,2, -, -, -, -, -,1, -,3, -,1, -,30,40, -,6,2,38,838,49, -,6, -, -, -,6,29,2,5,2,88,6,
2,13102,中央区,Chuo-ku,8,月島署,Tsukishima P. Sta. ,379, -, -, -, -, -, -,1, -, -,1, -, -,20,15, -,1,3,11,243,21,1,2, -, -, -,8,20,1,4,1,26, - ,
2,13103,港区,Minato-ku,9,愛宕署,Atago P. Sta.,946,1, -, -, -,1, -,1, -,1, -, -, -,93,27, -,1,4,52,550,50, -,8, -, -,1,8,54,9,8, -,72,5,
2,13103,港区,Minato-ku,10,三田署,Mita P. Sta.,666,1, -, -, -, -, -,1, -,1,1,1, -,24,27, -,2,5,22,387,26, -,5, -, -, -,11,58, -,7, -,81,6,
2,13103,港区,Minato-ku,11,高輪署,Takanawa P. Sta. ,903, -, -, -,1,1, -, -, -,1,2,1, -,61,25, -,3,3,18,598,39, -,7, -, -, -,11,57,10,4, -,58,3,
