地域階層,地域コード,項番 Item number,地域,District,総数 Total／棟数 Number,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,木造 Wooden／棟数 Number,木造 Wooden／床面積の合計 Total floor space,木造 Wooden／工事費予定額 Estimated building cost,鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積の合計 Total floor space,鉄骨鉄筋コンクリート造 Steel reinforced concrete／工事費予定額 Estimated building cost,鉄筋コンクリート造 Reinforced concrete／棟数 Number,鉄筋コンクリート造 Reinforced concrete／床面積の合計 Total floor space,鉄筋コンクリート造 Reinforced concrete／工事費予定額 Estimated building cost,鉄骨造 Steel-frame／棟数 Number,鉄骨造 Steel-frame／床面積の合計 Total floor space,鉄骨造 Steel-frame／工事費予定額 Estimated building cost,コンクリートブロック造 Concrete-block／棟数 Number,コンクリートブロック造 Concrete-block／床面積の合計 Total floor space,コンクリートブロック造 Concrete-block／工事費予定額 Estimated building cost,その他 Others／棟数 Number,その他 Others／床面積の合計 Total floor space,その他 Others／工事費予定額 Estimated building cost
0,13000,,総数,Tokyo-to,51054,15255070,337932355,36802,3995839,69656924,137,433643,13002706,3520,6903142,165549667,10214,3895616,89156913,24,11018,510532,357,15812,55613
1,13100,,区部,All ku,31513,11359545,264209544,21423,2354275,42047712,100,310354,9386435,2846,5758535,142018363,6913,2913452,70211698,17,10605,504602,214,12324,40734
5,13101,1,千代田区,Chiyoda-ku,161,395364,11217234,8,816,18967,6,16587,552100,55,218768,5989269,85,148627,4164498,2,9824,x,5,742,900
5,13102,2,中央区,Chuo-ku,211,695585,19279326,22,2852,62935,5,17112,559500,83,420005,10868844,100,255580,7787997,-,-,-,1,36,x
5,13103,3,港区,Minato-ku,516,865239,23187530,130,17772,326091,9,43170,1438700,150,441774,12302523,212,361881,9117075,1,16,x,14,626,2991
5,13104,4,新宿区,Shinjuku-ku,919,628106,17002003,448,50574,931609,1,1472,x,152,396260,11080016,287,174076,4939358,-,-,-,31,5724,6120
5,13105,5,文京区,Bunkyo-ku,621,244423,5821641,372,42060,778929,1,208,x,95,131446,3387139,151,70652,1648343,-,-,-,2,57,x
5,13106,6,台東区,Taito-ku,418,234431,6057652,163,17230,316416,7,20672,549300,94,131497,3344987,151,64531,1844857,-,-,-,3,501,2092
5,13107,7,墨田区,Sumida-ku,807,283703,6566193,457,47872,834076,-,-,-,116,152542,3681577,231,82989,2050240,-,-,-,3,300,300
5,13108,8,江東区,Koto-ku,1038,856236,16754522,411,44432,795913,4,10525,280000,115,508288,10565467,492,292024,5108597,3,93,1150,13,874,3395
