年次,Year,項番 Item number,種類,Type,種類,Type,種類,Type,種類,Type,取扱総数 Total number of cases handled,旧受 Previously received,新受計 Newly received total,手続開始内訳  Breakdown of case proceedings commenced／申告 Stated／職員受 Received by officials,手続開始内訳  Breakdown of case proceedings commenced／申告 Stated／委員受 Received by commissioners,手続開始内訳  Breakdown of case proceedings commenced／委員通報 Notified by commissioners,手続開始内訳  Breakdown of case proceedings commenced／関係官公署の通報 Reported by relevant public authorities,手続開始内訳  Breakdown of case proceedings commenced／情報 Information,手続開始内訳  Breakdown of case proceedings commenced／移送 Transferred,処理件数 Total number of cases disposed,処理内訳 Breakdown of cases processed／措置 Measures／援助 Assisted,処理内訳 Breakdown of cases processed／措置 Measures／調整 Adjusted,処理内訳 Breakdown of cases processed／措置 Measures／要請 Requested,処理内訳 Breakdown of cases processed／措置 Measures／説示 Instructed,処理内訳 Breakdown of cases processed／措置 Measures／勧告 Advised,処理内訳 Breakdown of cases processed／措置 Measures／通告 Informed,処理内訳 Breakdown of cases processed／措置 Measures／告発 Indicted,処理内訳 Breakdown of cases processed／措置猶予 Suspension of sentence,処理内訳 Breakdown of cases processed／侵犯事実不存在 Non-existence of facts about infringement,処理内訳 Breakdown of cases processed／侵犯事実不明確 Uncertainty of facts about infringement,処理内訳 Breakdown of cases processed／打切り Closed,処理内訳 Breakdown of cases processed／中止 Discontinued,処理内訳 Breakdown of cases processed／移送 Transferred,処理内訳 Breakdown of cases processed／啓発 Admonished,未済 Pending
平成23年,2011,,総数,Total,,,,,,,1417,27,1390,511,870,-,-,9,-,1375,1320,-,10,-,-,-,-,-,6,28,6,-,-,5,46
平成24年,2012,,総数,Total,,,,,,,1744,48,1696,770,909,3,-,14,-,1650,1574,4,15,3,-,-,-,-,4,40,7,1,-,9,94
平成24年,2012,1,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,,,,,,,419,16,403,217,180,-,-,6,-,376,346,4,3,3,-,-,-,-,2,21,-,-,-,1,43
平成24年,2012,1,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,特別公務員による侵犯,Infringement by special public officials,警察官によるもの,By policemen,,,35,2,33,26,7,-,-,-,-,32,28,-,-,-,-,-,-,-,-,4,-,-,-,-,3
平成24年,2012,2,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,特別公務員による侵犯,Infringement by special public officials,その他の特別公務員,By other special public officials,,,3,-,3,2,1,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,3,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,教育職員による侵犯,Infringement by education personnel,体罰,Corporal punishment ,,,21,2,19,13,4,-,-,2,-,17,15,-,2,2,-,-,-,-,-,-,-,-,-,-,4
平成24年,2012,4,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,教育職員による侵犯,Infringement by education personnel,その他,Others,,,132,4,128,79,47,-,-,2,-,114,99,2,1,1,-,-,-,-,-,12,-,-,-,1,18
平成24年,2012,5,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,学校におけるいじめ,Bullying at school　　　　　　　　　　　　　　,,,,,180,5,175,72,101,-,-,2,-,167,164,2,-,-,-,-,-,-,-,1,-,-,-,-,13
平成24年,2012,6,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,刑務職員による侵犯,Infringement by prison personnel,,,,,4,2,2,2,-,-,-,-,-,4,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-
平成24年,2012,7,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,その他の公務員による侵犯,Infringement by other public servants,国家公務員,National public servants,,,7,-,7,4,3,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,2
平成24年,2012,8,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,その他の公務員による侵犯,Infringement by other public servants,地方公務員,Local government servants,,,36,-,36,19,17,-,-,-,-,33,30,-,-,-,-,-,-,-,1,2,-,-,-,-,3
平成24年,2012,9,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,その他の公務員による侵犯,Infringement by other public servants,その他,Others,,,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
平成24年,2012,1,私人間の侵犯事件,Infringement cases among private citizens,,,,,,,1325,32,1293,553,729,3,-,8,-,1274,1228,-,12,-,-,-,-,-,2,19,7,1,-,8,51
平成24年,2012,1,私人間の侵犯事件,Infringement cases among private citizens,人身売買,Human trafficking  ,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,2,私人間の侵犯事件,Infringement cases among private citizens,売春に伴う侵犯,Infringement relating to prostitution,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,3,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,夫の妻に対するもの,From husband to wife　　　　　　　　　　　　　　,138,1,137,55,81,1,-,-,-,137,137,-,-,-,-,-,-,-,-,-,-,-,-,-,1
平成24年,2012,4,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,妻の夫に対するもの,From wife to husband 　　　　　　　　　　　　　　,9,-,9,2,7,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,5,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,親の子に対するもの,From parent to child 　　　　　　　　　　　　　　,68,6,62,22,38,-,-,2,-,64,64,-,-,-,-,-,-,-,-,-,-,-,-,-,4
平成24年,2012,6,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,子の親に対するもの,From child to parent 　　　　　　　　　　　　　　,47,-,47,18,29,-,-,-,-,47,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,7,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,家族間におけるもの,Among family members,その他,Others,25,-,25,13,12,-,-,-,-,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,8,私人間の侵犯事件,Infringement cases among private citizens,暴行虐待,Violence and abuse,その他,Others,,,64,-,64,32,32,-,-,-,-,60,60,-,-,-,-,-,-,-,-,-,-,-,-,-,4
平成24年,2012,9,私人間の侵犯事件,Infringement cases among private citizens,私的制裁,Lynching,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,10,私人間の侵犯事件,Infringement cases among private citizens,医療に関する侵犯,Infringement related to medical care,,,,,14,2,12,7,5,-,-,-,-,12,10,-,-,-,-,-,-,-,-,2,-,-,-,-,2
平成24年,2012,11,私人間の侵犯事件,Infringement cases among private citizens,人身の自由に対する侵犯,Infringement of personal liberty,精神保健法関係,Related to the Mental Health Act ,,,8,-,8,5,3,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,2
平成24年,2012,12,私人間の侵犯事件,Infringement cases among private citizens,人身の自由に対する侵犯,Infringement of personal liberty,その他,Others　　　　　　　　　　　　　　　　　　　　　　　,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,13,私人間の侵犯事件,Infringement cases among private citizens,社会福祉施設における侵犯,Infringement in social welfare facilities,施設職員によるもの,By staff of facilities,,,9,1,8,6,2,-,-,-,-,8,6,-,-,-,-,-,-,-,-,2,-,-,-,-,1
平成24年,2012,14,私人間の侵犯事件,Infringement cases among private citizens,社会福祉施設における侵犯,Infringement in social welfare facilities,その他,Others　　　　　　　　　　　　　　　　　　　　　　　,,,3,2,1,-,1,-,-,-,-,3,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-
平成24年,2012,15,私人間の侵犯事件,Infringement cases among private citizens,村八分,Social ostracism,,,,,2,1,1,-,1,-,-,-,-,2,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-
平成24年,2012,16,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,女性に関するもの,Against women,,,1,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,17,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,高齢者に関するもの,Against elderly people,,,1,-,1,1,-,-,-,-,-,1,1,-,-,-,0,-,-,-,-,-,-,-,-,-,-
平成24年,2012,18,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,障害者に関するもの,Against persons with disabilities,,,21,4,17,10,7,-,-,-,-,17,11,-,-,-,-,-,-,-,-,4,2,-,-,2,4
平成24年,2012,19,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,同和問題に関するもの,Related to Dowa problem,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,20,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,アイヌの人々に関するもの,Against Ainu people,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,21,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,外国人に関するもの,Against foreigners,,,14,1,13,6,4,-,-,3,-,10,7,-,-,-,-,-,-,-,-,-,-,-,-,3,4
平成24年,2012,22,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,ＨＩＶ感染者等に関するもの,Against HIV-positive patients， etc.,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,23,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,刑を終えた人に関するもの,Against ex-convicts  ,,,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,24,私人間の侵犯事件,Infringement cases among private citizens,差別待遇,Discriminative treatment ,その他,Others,,,21,3,18,9,6,-,-,3,-,17,12,-,-,-,-,-,-,-,1,2,-,-,-,2,4
平成24年,2012,25,私人間の侵犯事件,Infringement cases among private citizens,参政権に対する侵犯,Infringement of suffrage ,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,26,私人間の侵犯事件,Infringement cases among private citizens,プライバシーに関する侵犯,Infringement of privacy,報道機関等,By media， etc. ,,,2,-,2,1,1,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,27,私人間の侵犯事件,Infringement cases among private citizens,プライバシーに関する侵犯,Infringement of privacy,インターネット等によるもの,Via Internet， etc. ,,,103,1,102,62,40,-,-,-,-,102,90,-,12,-,-,-,-,-,-,-,-,-,-,-,1
平成24年,2012,28,私人間の侵犯事件,Infringement cases among private citizens,プライバシーに関する侵犯,Infringement of privacy,相隣間におけるもの,Among neighbors,,,14,1,13,8,5,-,-,-,-,13,12,-,-,-,-,-,-,-,-,1,-,-,-,-,1
平成24年,2012,29,私人間の侵犯事件,Infringement cases among private citizens,プライバシーに関する侵犯,Infringement of privacy,その他,Others,,,32,-,32,15,17,-,-,-,-,30,30,-,-,-,-,-,-,-,-,-,-,-,-,-,2
平成24年,2012,30,私人間の侵犯事件,Infringement cases among private citizens,集会，結社及び表現の自由に対する侵犯,Infringement of the freedom of gathering， association and expression,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,31,私人間の侵犯事件,Infringement cases among private citizens,信教の自由に対する侵犯,Infringement of the freedom of religion,,,,,2,-,2,2,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,32,私人間の侵犯事件,Infringement cases among private citizens,教育を受ける権利への侵犯,Infringement of the right of receiving education ,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,33,私人間の侵犯事件,Infringement cases among private citizens,労働権に対する侵犯,Infringement of the right of labor,不当労働行為,Unfair labor practice,,,4,-,4,3,1,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,34,私人間の侵犯事件,Infringement cases among private citizens,労働権に対する侵犯,Infringement of the right of labor,労働基準法違反,Violation of the Labor Standards Act ,,,8,-,8,5,3,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,35,私人間の侵犯事件,Infringement cases among private citizens,労働権に対する侵犯,Infringement of the right of labor,その他,Others　　,,,184,4,180,95,84,1,-,-,-,175,168,-,-,-,-,-,-,-,-,3,4,-,-,1,9
平成24年,2012,36,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,自力執行,Execution by oneself,,,1,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,37,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,相隣間におけるもの,Between neighbors,小公害,Small pollution,49,2,47,12,35,-,-,-,-,49,47,-,-,-,-,-,-,-,-,2,-,-,-,-,-
平成24年,2012,38,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,相隣間におけるもの,Between neighbors,その他,Others,100,2,98,30,68,-,-,-,-,96,94,-,-,-,-,-,-,-,-,1,-,1,-,-,4
平成24年,2012,39,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,公害,Pollution,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,40,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,不動産,Real estate,,,11,-,11,2,9,-,-,-,-,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,41,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,その他,Others,,,84,-,84,36,48,-,-,-,-,82,81,-,-,-,-,-,-,-,-,1,-,-,-,-,2
平成24年,2012,42,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,その他,Others,夫の妻に対するもの,From husband to wife　　　　　　　　　　　　　　,48,-,48,13,35,-,-,-,-,48,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,43,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,その他,Others,妻の夫に対するもの,From wife to husband 　　　　　　　　　　　　　　,12,-,12,4,8,-,-,-,-,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,44,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,その他,Others,親の子に対するもの,From parent to child 　　　　　　　　　　　　　　,14,-,14,7,6,1,-,-,-,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,45,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,その他,Others,子の親に対するもの,From child to parent 　　　　　　　　　　　　　　,18,-,18,1,17,-,-,-,-,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,46,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,その他,Others,その他,Others,47,-,47,15,32,-,-,-,-,47,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,47,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,セクシュアル・ハラスメント,Sexual harassment,,,36,1,35,16,19,-,-,-,-,33,33,-,-,-,-,-,-,-,-,-,-,-,-,-,3
平成24年,2012,48,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,ストーカー,Stalking,,,30,-,30,7,23,-,-,-,-,30,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,49,私人間の侵犯事件,Infringement cases among private citizens,住居・生活の安全に対する侵犯,Infringement of the safety of dwelling and living,その他,Others,,,77,-,77,32,45,-,-,-,-,74,74,-,-,-,-,-,-,-,-,-,-,-,-,-,3
平成24年,2012,50,私人間の侵犯事件,Infringement cases among private citizens,組織，多衆の圧力による侵犯,Infringement by organizations or pressure of the masses,,,,,1,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,51,私人間の侵犯事件,Infringement cases among private citizens,交通事故,Traffic accidents,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,52,私人間の侵犯事件,Infringement cases among private citizens,犯罪被害者,Victims of crimes,,,,,1,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成24年,2012,53,私人間の侵犯事件,Infringement cases among private citizens,その他,Others,,,,,2,-,2,-,2,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-7  人権侵犯事件の種類別件数 （平成23， 24年） 20-7  CASES OF INFRINGEMENT ON HUMAN RIGHTS BY TYPE ( 2011 and 2012 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：東京法務局人権擁護部 Source: Tokyo Legal Affairs Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
