産業,Industry,組合数 Unions／平成23年 2011,組合数 Unions／平成24年 2012,組合員数 No. of Members／平成23年 2011,組合員数 No. of Members／平成24年 2012
総数,Total,7632,7602,2059453,2075518
農業，林業,Agriculture and forestry,5,5,378,370
漁業,Fisheries,10,11,1060,1072
鉱業，砕石業，砂利採取業,Mining and quarrying of stone and gravel,8,8,899,952
建設業,Construction,371,361,221020,219084
製造業,Manufacturing,1306,1283,338005,338104
電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,133,132,22066,21821
情報通信業,Information and communications,609,603,187008,195019
運輸業，郵便業,Transport and postal activities ,1354,1350,192907,191290
卸売業，小売業,Wholesale and retail trade,880,868,245051,260597
金融業，保険業,Finance and insurance,500,557,265040,255788
不動産業，物品賃貸業,Real estate and goods rental and leasing,84,81,14493,14251
学術研究，専門・技術サービス業,Scientific research， professional and technical services,290,282,34182,33483
宿泊業，飲食サービス業,Accommodations， eating and drinking services,103,101,50520,65116
生活関連サービス業，娯楽業,Living-related and personal services and amusement services,139,135,56165,54387
教育，学習支援業,Education， learning support,451,447,96467,93771
医療，福祉,Medical， health care and welfare,443,434,112062,112524
複合サービス事業,Compound services,61,60,6190,6224
サービス業 (他に分類されないもの),Services， n.e.c.,463,452,84198,83003
公務 (他に分類されるものを除く),Government， except elsewhere classified,293,292,114645,110296
分類不能の産業,Industries unable to classify,129,140,17097,18366
,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　7  労働 7  LABOR,,,,,
7-7  産業別労働組合組織状況 （平成23年，24年） 7-7  LABOR UNIONS BY INDUSTRY ( 2011 and 2012 ),,,,,
6月30日現在,,,,,
Figures are as of June 30.,,,,,
資料：都産業労働局「労働組合基礎調査」 Source: Bureau of Industrial and Labor Affairs， TMG,,,,,
