地域階層,地域コード,項番 Item number,地域,District,出生 Livebirths／計 Total,出生 Livebirths／男 Male,出生 Livebirths／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,合計特殊出生率 Total fertility rate,婚姻 Marriages,離婚 Divorces
0,13000,,総数,Tokyo-to,107401,54985,52416,109194,58203,50991,-1793,-3218,1425,236,129,107,117,70,47,2325,1103,1222,1.09,89301,25329
1,13100,,区部,All ku,74591,38084,36507,74657,39976,34681,-66,-1892,1826,163,83,80,82,50,32,1653,785,868,1.12,67518,18210
2,13101,1,千代田区,Chiyoda-ku,469,257,212,377,185,192,92,72,20,-,-,-,-,-,-,8,3,5,1.15,498,107
2,13102,2,中央区,Chuo-ku,1496,747,749,756,392,364,740,355,385,1,-,1,1,-,1,36,16,20,1.18,1560,344
2,13103,3,港区,Minato-ku,2610,1286,1324,1491,709,782,1119,577,542,5,3,2,3,2,1,50,26,24,1.27,2269,616
2,13104,4,新宿区,Shinjuku-ku,2279,1152,1127,2471,1310,1161,-192,-158,-34,4,-,4,2,-,2,58,31,27,0.96,2688,623
2,13105,5,文京区,Bunkyo-ku,1693,830,863,1578,816,762,115,14,101,4,3,1,3,2,1,29,18,11,1.01,1662,322
2,13106,6,台東区,Taito-ku,1377,714,663,2030,1175,855,-653,-461,-192,-,-,-,-,-,-,29,7,22,1.12,1593,393
2,13107,7,墨田区,Sumida-ku,2105,1083,1022,2412,1279,1133,-307,-196,-111,4,3,1,3,3,-,48,29,19,1.18,2119,525
2,13108,8,江東区,Koto-ku,4319,2210,2109,3739,2081,1658,580,129,451,9,5,4,5,4,1,83,35,48,1.26,3402,1021
2,13109,9,品川区,Shinagawa-ku,3360,1670,1690,2910,1523,1387,450,147,303,10,7,3,5,5,-,74,42,32,1.11,3386,795
2,13110,10,目黒区,Meguro-ku,2292,1156,1136,1958,943,1015,334,213,121,6,4,2,2,2,-,65,34,31,0.92,2574,544
2,13111,11,大田区,Ota-ku,5546,2858,2688,6167,3434,2733,-621,-576,-45,12,6,6,3,3,-,133,74,59,1.13,5010,1341
2,13112,12,世田谷区,Setagaya-ku,7435,3725,3710,6178,3119,3059,1257,606,651,12,2,10,5,2,3,140,63,77,1,6564,1508
2,13113,13,渋谷区,Shibuya-ku,1826,942,884,1549,792,757,277,150,127,5,1,4,2,-,2,38,20,18,0.93,2182,472
2,13114,14,中野区,Nakano-ku,2288,1196,1092,2631,1378,1253,-343,-182,-161,7,2,5,5,1,4,64,28,36,0.9,2967,558
2,13115,15,杉並区,Suginami-ku,4150,2134,2016,4339,2149,2190,-189,-15,-174,12,6,6,6,3,3,94,41,53,0.89,4305,870
2,13116,16,豊島区,Toshima-ku,1914,978,936,2401,1262,1139,-487,-284,-203,8,3,5,4,2,2,39,19,20,0.93,2284,569
2,13117,17,北区,Kita-ku,2420,1236,1184,3480,1841,1639,-1060,-605,-455,2,1,1,1,-,1,48,23,25,1.09,2270,600
2,13118,18,荒川区,Arakawa-ku,1640,820,820,2000,1087,913,-360,-267,-93,2,2,-,1,1,-,27,10,17,1.2,1412,404
2,13119,19,板橋区,Itabashi-ku,4311,2292,2019,4897,2727,2170,-586,-435,-151,15,12,3,8,6,2,94,48,46,1.13,3593,1086
2,13120,20,練馬区,Nerima-ku,5887,3077,2810,5503,2942,2561,384,135,249,10,4,6,7,3,4,137,72,65,1.14,4391,1377
2,13121,21,足立区,Adachi-ku,5498,2753,2745,6350,3564,2786,-852,-811,-41,14,8,6,7,5,2,123,43,80,1.37,4076,1579
2,13122,22,葛飾区,Katsushika-ku,3607,1860,1747,4290,2345,1945,-683,-485,-198,5,5,-,2,2,-,84,39,45,1.34,2596,980
2,13123,23,江戸川区,Edogawa-ku,6069,3108,2961,5150,2923,2227,919,185,734,16,6,10,7,4,3,152,64,88,1.4,4117,1576
1,13200,,市部,All shi,32200,16585,15615,33224,17567,15657,-1024,-982,-42,73,46,27,35,20,15,664,315,349,1.24,21395,6941
2,13201,1,八王子市,Hachioji-shi,4022,2037,1985,4605,2429,2176,-583,-392,-191,8,3,5,4,2,2,77,35,42,1.21,2486,1017
2,13202,2,立川市,Tachikawa-shi,1460,775,685,1519,808,711,-59,-33,-26,2,2,-,1,1,-,27,17,10,1.26,1054,355
2,13203,3,武蔵野市,Musashino-shi,1155,584,571,1150,587,563,5,-3,8,5,2,3,3,-,3,17,10,7,1.03,1054,205
2,13204,4,三鷹市,Mitaka-shi,1461,757,704,1408,732,676,53,25,28,4,3,1,1,1,-,14,7,7,1.09,1191,284
2,13205,5,青梅市,Ome-shi,940,491,449,1534,736,798,-594,-245,-349,1,1,-,1,1,-,17,9,8,1.26,604,278
2,13206,6,府中市,Fuchu-shi,2245,1164,1081,1843,959,884,402,205,197,4,2,2,1,1,-,51,19,32,1.35,1471,384
2,13207,7,昭島市,Akishima-shi,943,471,472,990,535,455,-47,-64,17,1,-,1,-,-,-,19,10,9,1.38,633,216
2,13208,8,調布市,Chofu-shi,2039,1040,999,1655,905,750,384,135,249,1,1,-,-,-,-,45,27,18,1.22,1457,344
2,13209,9,町田市,Machida-shi,3046,1586,1460,3272,1740,1532,-226,-154,-72,12,9,3,5,3,2,58,25,33,1.19,1795,708
2,13210,10,小金井市,Koganei-shi,994,531,463,836,450,386,158,81,77,3,2,1,2,1,1,20,10,10,1.2,773,166
2,13211,11,小平市,Kodaira-shi,1553,781,772,1464,765,699,89,16,73,-,-,-,-,-,-,29,19,10,1.32,1008,298
2,13212,12,日野市,Hino-shi,1496,779,717,1371,737,634,125,42,83,3,2,1,-,-,-,38,12,26,1.35,941,252
2,13213,13,東村山市,Higashimurayama-shi,1174,593,581,1408,781,627,-234,-188,-46,3,2,1,3,2,1,22,12,10,1.27,710,280
