年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Ku assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成22,2010,13100,,区部,All ku,3074029,16442,384851,1505812,250563,12780,1897,51741,301114,15082,422193,379,110848,325
平成23,2011,13100,,区部,All ku,3122952,21248,367663,1558191,255446,13631,1742,53040,279076,20366,410374,2521,136414,3239
平成24,2012,13100,,区部,All ku,3144193,19103,392279,1591288,250868,10245,951,45788,287773,22484,403762,889,118579,183
平成24,2012,13101,1,千代田区,Chiyoda-ku,45448,593,9996,11596,4349,91,-,1492,8412,429,7484,-,1007,-
平成24,2012,13102,2,中央区,Chuo-ku,76262,664,12081,22768,6051,237,53,4345,12915,494,15974,-,681,-
平成24,2012,13103,3,港区,Minato-ku,100128,743,18403,44662,9663,369,-,2611,9333,1611,11549,-,1184,-
平成24,2012,13104,4,新宿区,Shinjuku-ku,128755,809,18668,66858,13457,1074,-,2222,8632,1599,12063,-,3374,-
平成24,2012,13105,5,文京区,Bunkyo-ku,72620,683,11909,31328,6473,235,-,720,3543,1080,14628,-,2019,-
平成24,2012,13106,6,台東区,Taito-ku,91760,663,11249,48074,7303,181,-,5828,5833,1915,7318,9,3387,-
平成24,2012,13107,7,墨田区,Sumida-ku,103849,660,12190,53798,7120,384,-,2089,8708,827,14198,11,3863,-
平成24,2012,13108,8,江東区,Koto-ku,161188,899,24998,81075,15757,299,-,1014,9284,999,23288,575,2999,-
平成24,2012,13109,9,品川区,Shinagawa-ku,128881,839,16349,56942,10872,457,-,1657,13149,1613,23705,6,3293,-
平成24,2012,13110,10,目黒区,Meguro-ku,83401,743,12004,38093,7551,226,5,715,7046,480,11819,2,4717,-
平成24,2012,13111,11,大田区,Ota-ku,219820,1099,23157,119429,16409,135,24,3290,25631,1841,20693,-,8112,-
平成24,2012,13112,12,世田谷区,Setagaya-ku,233442,1004,27961,114547,19731,573,173,1726,25463,1121,30539,-,10604,-
平成24,2012,13113,13,渋谷区,Shibuya-ku,71192,779,9733,34491,7503,265,-,669,3847,952,10283,-,2671,-
平成24,2012,13114,14,中野区,Nakano-ku,112502,897,11710,52930,7762,360,2,668,15054,753,11459,-,10908,-
平成24,2012,13115,15,杉並区,Suginami-ku,160665,991,26567,79161,13836,721,62,945,15200,598,21146,-,1439,-
平成24,2012,13116,16,豊島区,Toshima-ku,101198,727,14169,49935,6940,469,-,721,11953,353,11119,34,4778,-
平成24,2012,13117,17,北区,Kita-ku,126900,881,20697,66531,8770,266,0,2839,8365,1028,13810,71,3641,-
平成24,2012,13118,18,荒川区,Arakawa-ku,82643,638,10220,45423,6367,129,-,1766,4594,376,10398,42,2691,-
平成24,2012,13119,19,板橋区,Itabashi-ku,177770,942,17066,105452,14236,146,114,1187,9322,1010,22635,-,5661,-
平成24,2012,13120,20,練馬区,Nerima-ku,222590,1102,17826,122381,18474,1542,241,1753,22561,949,25253,-,10507,-
平成24,2012,13121,21,足立区,Adachi-ku,242010,972,24290,138335,15118,1076,100,1930,18213,792,30879,-,10307,-
平成24,2012,13122,22,葛飾区,Katsushika-ku,174252,845,19773,85002,10964,606,30,3390,18842,1214,19252,46,14104,183
平成24,2012,13123,23,江戸川区,Edogawa-ku,226916,934,21262,122477,16162,402,147,2212,21873,452,34270,93,6632,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (2) 歳出 (平成22～24年度) 21-5  SETTLEMENT OF THE ORDINARY ACCOUNTS OF KU (2) EXPENDITURE ( Fiscal Years 2010-2012 ),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課「特別区決算状況」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
