品目階層,品目,Item,平成22年 2010／数量 Quantity,平成22年 2010／金額 Value,平成23年 2011／数量 Quantity,平成23年 2011／金額 Value,平成24年 2012／数量 Quantity,平成24年 2012／金額 Value
0,総数,Total,2043514,539378557,2045061,508967981,2090489,524609209
1,野菜,Vegetables,1508212,365829857,1529997,339346414,1572124,352622516
2,根菜類,Root vegetables,261482,35057596,264324,32982281,262042,33970142
3,だいこん,Japanese radish,132705,12260060,135056,10526769,133794,12363360
3,かぶ,Turnip,18513,2350394,19093,2244396,17537,2286569
3,にんじん,Carrot,86558,12103806,87883,11934485,88394,11031500
3,ごぼう,Edible burdock,11329,2807798,10827,3195214,10607,3043786
3,れんこん,Lotus root,8692,3949096,8838,3755660,8427,3775998
3,その他,Others,3685,1586442,2628,1325757,3283,1468929
2,キャベツ類,Cabbage varieties,177401,18221010,182776,14928582,190607,15857440
2,レタス類,Lettuce varieties,91204,18483069,92231,16252331,95565,19172896
2,葉茎菜類,Leaf and stem vegetables,288321,81098905,286345,70295251,294504,77151268
3,はくさい,Chinese cabbage,113111,7806079,112569,6998605,116086,7215839
3,こまつな,"""Komatsuna""",10735,3382063,10617,2963654,10892,3425105
3,ほうれんそう,Spinach,17451,8628363,15977,7056205,15575,7977389
3,ねぎ,Welsh onion,54748,17867613,57131,14219383,57150,15661114
3,ブロッコリー,Broccoli,22264,7064671,23143,7266027,25331,8433825
3,その他,Others,70010,36350117,66908,31791378,69470,34437996
2,果菜類,Fruit vegetables,298692,100820400,308833,99520645,322108,105877809
3,きゅうり,Cucumber,76781,22555370,77639,22199335,79382,22355412
3,かぼちゃ,Pumpkin　,39164,6471062,40030,6327705,42343,5775674
3,なす,Eggplant,32493,10742093,31841,10866211,32169,10331090
3,トマト,Tomato,76352,28539834,82701,28326642,84220,32678525
3,ピーマン,Bell pepper,21294,9474295,22122,7847540,22802,7853475
3,その他,Others,52609,23037747,54502,23953211,61192,26883633
2,豆科野菜類,Legumes,18379,12380871,17102,12027821,17079,11437987
3,いんげん,String bean,4345,3443802,4232,3236636,4317,3113315
3,えだまめ,Green soybean,6678,4433362,5858,4465899,6711,4153132
3,その他,Others,7356,4503708,7012,4325287,6051,4171540
2,ばれいしょ類,Potatoes,90462,14691496,92162,14056430,102234,10904709
2,土物類,Sweet potatoes／onions， etc.,181222,33096880,186602,30102302,189972,29723530
3,かんしょ,Sweet potato,29601,5866465,28166,5532850,30709,5315452
3,たまねぎ,Onion,118636,14779401,123947,12402856,126428,12779596
3,その他,Others,32984,12451014,34489,12166596,32835,11628482
2,香辛つま物類,Spices／garnishes,15621,16274814,14475,16043217,14440,16070067
3,根しょうが,Ginger,7021,3210767,6020,3065933,6036,2719836
3,その他,Others,8601,13064047,8455,12977284,8404,13350231
2,きのこ山菜類,Mushrooms／Wild plants,45591,25129590,44922,23026411,45134,22619353
3,なましいたけ,"""Shiitake"" mushroom， fresh",8436,7380168,7807,6836667,7795,6742926
3,えのきだけ,"""Enokidake"" mushroom",14128,3297480,13108,2988794,13102,3218608
3,しめじ,"""Shimeji"" mushroom",10397,4889144,11279,4546346,11064,4351424
3,その他,Others,12630,9562799,12728,8654604,13173,8306395
2,その他野菜類,Others,6564,3448323,9535,3861180,7866,3697929
3,うめ,"""Ume"" apricot",2773,1154214,2778,1089898,2319,1141984
3,その他,Others,3791,2294109,6757,2771282,5547,2555945
2,野菜加工品,Processed vegetables,33274,7126901,30688,6249963,30573,6139387
1,果実,Fruits,484552,158352682,467259,155290484,472870,158626392
2,みかん類,Mandarins,101642,25276484,101190,26610344,110596,28193404
2,かんきつ類,Citrus varieties,69387,14871364,55132,14391432,62804,16068210
3,いよかん,"""Iyo""tangor",11111,1584251,7323,1772222,8226,1768393
3,グレープ,Grapefruit,9732,1400684,8838,1233518,8229,1181742
3,その他,Others,48544,11886430,38972,11385692,46349,13118075
2,りんご類,Apples,66272,17781211,67487,18045624,55635,17957037
2,日本なし類,Japanese pears,25485,8481435,27465,7256892,24839,7605715
2,西洋なし類,European pears,3176,1035098,3083,998468,2575,892721
2,かき類,Japanese persimmons,16384,5563903,19428,5566569,25096,5318984
2,びわ類,Loquats,629,784388,586,726358,367,553186
2,もも類,Peaches,14855,7164557,17097,6929753,15519,7055852
2,すもも類,Plums,2632,1364553,2927,1357369,2988,1430147
2,おうとう類,Cherries,2416,3419299,2446,3455056,1767,3113698
2,あんず類,Apricots,95,47214,117,54777,108,53632
2,ぶどう類,Grapes,12564,9906429,11843,9254914,15191,10841679
2,くり類,Chestnuts,2246,864964,1444,696728,1337,608793
2,いちぢく類,Figs,1478,1089390,1301,942966,1346,967753
2,いちご類,Strawberries,24804,25840392,25896,26080571,22407,26148779
