年次,Year,月次,Month,調布飛行場 Chofu Airport／旅客数 Passengers／乗客 Boarding,調布飛行場 Chofu Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／旅客数 Passengers／乗客 Boarding,大島空港 Oshima Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／貨物 Freight／積荷 Loaded(t),大島空港 Oshima Airport／貨物 Freight／降荷 Unloaded(t),大島空港 Oshima Airport／郵便物 Mail／積荷 Loaded(t),大島空港 Oshima Airport／郵便物 Mail／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／旅客数 Passengers／乗客 Boarding,三宅島空港 Miyakejima Airport／旅客数 Passengers／降客 Deboarding,三宅島空港 Miyakejima Airport／貨物 Freight／積荷 Loaded(t),三宅島空港 Miyakejima Airport／貨物 Freight／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／積荷 Loaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／旅客数 Passengers／乗客 Boarding,八丈島空港 Hachijojima Airport／旅客数 Passengers／降客 Deboarding,八丈島空港 Hachijojima Airport／貨物 Freight／積荷 Loaded(t),八丈島空港 Hachijojima Airport／貨物 Freight／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／積荷 Loaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／降荷 Unloaded(t),新島空港 Niijima Airport／旅客数 Passengers／乗客 Boarding,新島空港 Niijima Airport／旅客数 Passengers／降客 Deboarding,新島空港 Niijima Airport／貨物 Freight／積荷 Loaded(t),新島空港 Niijima Airport／貨物 Freight／降荷 Unloaded(t),新島空港 Niijima Airport／郵便物 Mail／積荷 Loaded(t),新島空港 Niijima Airport／郵便物 Mail／降荷 Unloaded(t),神津島空港 Kozushima Airport／旅客数 Passengers／乗客 Boarding,神津島空港 Kozushima Airport／旅客数 Passengers／降客 Deboarding,神津島空港 Kozushima Airport／貨物 Freight／積荷 Loaded(t),神津島空港 Kozushima Airport／貨物 Freight／降荷 Unloaded(t),神津島空港 Kozushima Airport／郵便物 Mail／積荷 Loaded(t),神津島空港 Kozushima Airport／郵便物 Mail／降荷 Unloaded(t)
平成20,2008,,,25374,32325,30681,27053,12,41,16,43,6225,2638,0,0,-,-,103208,96837,1061,946,376,80,13631,10863,6,28,-,-,9550,7215,2,1,-,-
平成21,2009,,,25136,31804,22167,16931,4,33,2,32,5323,1434,0,0,-,-,94365,87977,1244,702,18,43,13517,10930,4,29,-,-,8901,6888,1,0,-,-
平成22,2010,,,28031,35471,16061,14804,4,27,5,34,4620,849,0,0,-,-,96472,89678,859,466,16,45,14938,11833,4,28,-,-,9695,7719,1,1,-,-
平成23,2011,,,26550,33646,15481,13407,5,23,5,37,4559,1026,0,0,-,-,91404,85458,862,424,16,48,13424,10763,3,26,-,-,9548,7461,1,0,-,-
平成24,2012,,,29555,36764,15765,13732,4,25,5,33,5176,1049,0,0,-,-,97592,91175,867,396,16,46,15067,12045,6,25,-,-,10812,8982,1,0,-,-
平成24,2012,1,Jan.,2071,2886,1237,848,219,1672,413,2907,130,28,0,0,-,-,7617,6855,63652,38434,1390,4538,1173,835,183,2179,-,-,838,660,37,13,-,-
平成24,2012,2,Feb.,1904,2560,958,836,531,2076,291,2388,215,31,0,0,-,-,5927,5894,50694,32479,1175,3748,1000,759,190,2031,-,-,793,587,146,49,-,-
平成24,2012,3,Mar.,2207,2865,1062,952,322,1736,335,1995,280,37,0,0,-,-,8562,7823,77963,41347,1300,4050,1164,895,202,2329,-,-,879,679,18,26,-,-
平成24,2012,4,Apr.,2488,2442,1256,1132,338,1705,394,2872,592,95,0,0,-,-,7709,7456,77069,33386,1366,3862,921,1035,477,1940,-,-,637,709,68,48,-,-
平成24,2012,5,May,2351,3039,1599,1225,320,1908,395,3043,359,76,0,0,-,-,8181,7426,78350,29401,1388,3899,1190,917,595,1924,-,-,860,684,247,105,-,-
平成24,2012,6,June,1831,2238,1016,845,538,4901,434,2989,473,84,0,0,-,-,4473,4335,60138,29960,1113,3119,913,763,659,1990,-,-,652,549,58,51,-,-
平成24,2012,7,July,2510,3006,1273,1186,252,1752,423,2555,405,81,0,0,-,-,8920,8515,61983,27307,1239,3167,1226,973,941,2112,-,-,904,817,47,17,-,-
