年次,Year,地域階層,地域コード,地域,District,項番 Item number,消防署,Fire station,出場件数 Number of dispatches,出場件数 Number of dispatches／うち従事 of which engaged,救助人員 Persons rescued／総数 Total,救助人員 Persons rescued／重症 Severe injury,救助人員 Persons rescued／中等症 Moderate injury,救助人員 Persons rescued／軽症 Minor injury,救助人員 Persons rescued／無症 No injury,救助人員 Persons rescued／死亡 Death,誘導人員 Persons guided to safety,出場車両数 Vehicles deployed／総数 Total,出場車両数 Vehicles deployed／ポンプ車 Pumpers,出場車両数 Vehicles deployed／救助車 Rescue trucks,出場車両数 Vehicles deployed／化学車 Foam pumpers,出場車両数 Vehicles deployed／はしご車 Aerial ladders,出場車両数 Vehicles deployed／救急車 Ambulances,出場車両数 Vehicles deployed／指揮隊車 Command vans,出場車両数 Vehicles deployed／その他 Others 1),従事台数 Vehicles engaged,出場人員 Persons deployed,従事人員 Persons engaged
平成21,2009,0,13000,総数,Tokyo-to,,,,22096,17836,19880,3269,6207,8972,824,608,424,69175,24333,6372,3495,634,24244,7645,2452,45573,278203,177051
平成22,2010,0,13000,総数,Tokyo-to,,,,23721,19258,21142,3620,6799,9136,962,625,180,72537,25321,6454,3668,694,25842,8294,2264,48975,291863,191089
平成23,2011,0,13000,総数,Tokyo-to,,,,23579,19262,20793,3727,6850,8500,980,736,171,70664,24711,6258,3645,576,25320,8135,2019,48196,283810,187926
平成24,2012,0,13000,総数,Tokyo-to,,,,23317,19011,20380,3372,6925,8159,1080,844,80,71720,24963,6728,3483,589,25125,8973,1859,48127,289769,188885
平成24,2012,1,13100,区部,All ku,,,,16153,13050,13946,2360,4729,5462,764,631,68,51067,17522,5609,2334,523,17396,6453,1230,33522,208369,132637
平成24,2012,2,13101,千代田区,Chiyoda-ku,1,丸の内署,Marunouchi F. Sta.,59,47,57,9,7,34,5,2,-,219,84,21,1,1,76,29,7,156,899,627
平成24,2012,2,13101,千代田区,Chiyoda-ku,2,麹町署,Kojimachi F. Sta．,134,111,136,14,44,75,3,-,-,422,158,31,-,19,159,31,24,295,1663,1142
平成24,2012,2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda F. Sta.,181,153,179,28,48,90,10,3,-,579,245,66,-,6,185,64,13,391,2475,1637
平成24,2012,2,13102,中央区,Chuo-ku,4,京橋署,Kyobashi F. Sta.,171,134,150,21,43,71,9,6,2,559,165,62,52,7,195,72,6,367,2353,1492
平成24,2012,2,13102,中央区,Chuo-ku,5,日本橋署,Nihonbashi F. Sta.,178,156,207,21,35,127,18,6,1,638,246,57,10,6,212,63,44,490,2553,1917
平成24,2012,2,13102,中央区,Chuo-ku,6,臨港署,Rinko F. Sta.,110,95,86,12,23,37,4,10,-,602,111,70,60,5,128,101,127,372,2686,1613
平成24,2012,2,13103,港区,Minato-ku,7,芝署,Shiba F. Sta.,286,236,259,28,86,137,5,3,-,781,285,59,46,-,308,78,5,573,3223,2325
平成24,2012,2,13103,港区,Minato-ku,8,麻布署,Azabu F. Sta.,193,133,148,12,47,79,8,2,-,565,231,58,-,2,201,71,2,280,2324,1105
平成24,2012,2,13103,港区,Minato-ku,9,赤坂署,Akasaka F. Sta.,128,103,113,13,44,50,4,2,-,379,146,35,-,23,133,42,-,236,1531,940
平成24,2012,2,13103,港区,Minato-ku,10,高輪署,Takanawa F. Sta.,137,98,100,21,25,35,14,5,-,480,115,61,43,40,146,73,2,259,2001,1062
平成24,2012,2,13109,品川区,Shinagawa-ku,11,品川署,Shinagawa F. Sta.,257,198,218,40,69,88,11,10,-,776,302,78,30,-,276,85,5,474,3137,1838
平成24,2012,2,13109,品川区,Shinagawa-ku,12,大井署,Oi F. Sta.,295,268,293,29,112,130,15,7,-,873,342,62,16,17,327,91,18,693,3562,2758
平成24,2012,2,13109,品川区,Shinagawa-ku,13,荏原署,Ebara F. Sta.,197,166,164,29,74,44,12,5,4,613,248,57,1,6,210,78,13,424,2548,1738
平成24,2012,2,13111,大田区,Ota-ku,14,大森署,Omori F. Sta.,461,398,449,60,164,189,19,17,-,1353,452,123,110,5,501,135,27,989,5507,3864
平成24,2012,2,13111,大田区,Ota-ku,15,田園調布署,Denencyofu F. Sta.,277,224,233,42,92,72,14,13,3,954,308,88,124,7,290,109,28,590,3814,2246
平成24,2012,2,13111,大田区,Ota-ku,16,蒲田署,Kamata F. Sta.,322,270,310,54,98,133,16,9,-,1027,388,113,11,6,358,127,24,717,4267,2838
平成24,2012,2,13111,大田区,Ota-ku,17,矢口署,Yaguchi F. Sta.,180,139,140,25,59,36,10,10,2,614,212,63,47,5,190,75,22,404,2496,1568
