年度,Fiscal year,系統,Line,旅客営業キロ Passenger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成20,2008,総数,Total,185.1,172,17361553,10834041,6527512
平成21,2009,総数,Total,185.1,172,17459803,10935189,6524614
平成22,2010,総数,Total,185.1,172,17473565,11046524,6427041
平成23,2011,総数,Total,185.1,172,17332492,11036922,6295570
平成24,2012,総数,Total,185.1,172,17851220,11290068,6561152
平成24,2012,銀座線,Ginza Line,14.3,19,1361162,663162,698000
平成24,2012,丸ノ内線,Marunouchi Line,27.4,28,2047043,1201953,845090
平成24,2012,日比谷線,Hibiya Line,20.3,21,2143537,1336282,807255
平成24,2012,東西線,Tozai Line,22.2,17,3305695,2229401,1076294
平成24,2012,千代田線,Chiyoda Line,24,20,2911950,2010914,901036
平成24,2012,有楽町線,Yurakucho Line,26.9,23,2529946,1684756,845190
平成24,2012,半蔵門線,Hanzomon Line,16.8,14,1691216,985601,705615
平成24,2012,南北線 ,Namboku Line,21.3,19,1037759,680038,357721
平成24,2012,副都心線,Fukutoshin Line,11.9,11,822912,497961,324951
,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 4　運輸 4　TRANSPORT ,,,,,,,,
4-14  地下鉄の運輸成績 (1)  東京地下鉄株式会社 (平成20～24年度）4-14 OPERATIONS OF SUBWAYS  (1)  TOKYO METRO CO.， LTD. ( Fiscal Years 2008-2012 ),,,,,,,,
資料：東京地下鉄株式会社 Source: Tokyo Metro Co.， Ltd.　,,,,,,,,
