年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,飲食店 Eateries／総数 Total,飲食店 Eateries／旅館・ホテル Ryokan ・ hotel,飲食店 Eateries／バー・キャバレー Bars ・ cabarets,飲食店 Eateries／一般飲食店 Restaurant,飲食店 Eateries／民生食堂 Low-cost eatery,飲食店 Eateries／すし屋 Sushi restaurant,飲食店 Eateries／そば屋 Soba restaurant,飲食店 Eateries／仕出し屋 Caterer,飲食店 Eateries／弁当屋 Bento shop,飲食店 Eateries／そうざい店 Deli,飲食店 Eateries／その他 Others,喫茶店 Cafes／店舗 Shop,喫茶店 Cafes／その他 Others,乳類販売業 Dairy product sales,食肉販売業 Processed meat sales,魚介類販売業 Seafood sales,食料品等販売業 Food sales,アイスクリーム販売業 Ice cream sales,菓子販売業 Confectionery sales,魚介類加工品販売業 Fishery products sales
平成20,2008,0,13000,,東京都,Tokyo-to,190012,2027,8254,138004,50,5941,6407,1816,7335,8336,11842,2004,29759,32175,13859,13325,29255,21605,28433,13778
平成21,2009,0,13000,,東京都,Tokyo-to,189021,1960,8541,137246,45,5703,6210,1782,7224,8205,12105,2009,29946,31475,13505,13234,28588,21572,28472,13791
平成22,2010,0,13000,,東京都,Tokyo-to,188349,1935,8852,136597,42,5456,6068,1752,7203,8110,12334,2050,28202,30527,13378,13058,28387,20475,27169,13422
平成23,2011,0,13000,,東京都,Tokyo-to,188622,1888,9318,136780,41,5309,5912,1723,7126,8117,12408,2116,26664,29920,13556,14161,28941,20528,27265,13449
平成24,2012,0,13000,,東京都,Tokyo-to,190274,1871,9588,137747,38,5186,5762,1680,7109,8369,12924,2159,23824,29171,13934,14607,29381,20502,27309,13427
平成24,2012,1,13100,,区部,All ku,155300,1081,8662,114034,38,4220,4679,1258,5416,6711,9201,1714,18767,21550,10461,11186,22382,13309,19484,7955
平成24,2012,2,13101,1,千代田区,Chiyoda-ku,7907,57,161,6104,0,205,346,12,247,323,452,222,2222,1396,346,345,1596,188,642,145
平成24,2012,2,13102,2,中央区,Chuo-ku,11117,64,1944,7365,1,467,293,36,270,211,466,214,1661,966,479,1447,1467,293,696,169
平成24,2012,2,13103,3,港区,Minato-ku,15425,60,1394,11694,2,404,346,68,245,538,674,133,3098,1723,626,604,1729,427,454,426
平成24,2012,2,13104,4,新宿区,Shinjuku-ku,14474,151,1855,11058,0,250,251,61,148,197,503,103,1211,1318,611,589,1290,607,1265,290
平成24,2012,2,13105,5,文京区,Bunkyo-ku,3555,37,64,2766,2,95,139,34,142,78,198,30,362,635,222,223,608,324,513,171
平成24,2012,2,13106,6,台東区,Taito-ku,7537,205,352,5273,5,219,265,47,221,223,727,94,490,633,350,343,812,633,1084,259
平成24,2012,2,13107,7,墨田区,Sumida-ku,4694,34,431,3078,8,120,161,43,199,223,397,53,321,594,349,327,687,1267,1130,533
平成24,2012,2,13108,8,江東区,Koto-ku,5697,21,29,4278,4,143,174,67,285,223,473,76,1324,1166,533,547,1089,559,871,399
平成24,2012,2,13109,9,品川区,Shinagawa-ku,6053,57,235,4276,5,210,192,54,177,457,390,34,1089,1003,435,409,846,437,353,344
平成24,2012,2,13110,10,目黒区,Meguro-ku,3765,9,84,2831,0,110,107,51,118,230,225,64,268,493,245,220,476,132,380,104
平成24,2012,2,13111,11,大田区,Ota-ku,7900,57,201,5521,1,214,253,91,400,402,760,68,1017,1533,716,771,1556,631,985,745
平成24,2012,2,13112,12,世田谷区,Setagaya-ku,7966,6,47,6103,1,214,242,108,348,371,526,94,522,1269,689,667,1319,1165,2079,632
平成24,2012,2,13113,13,渋谷区,Shibuya-ku,9242,94,599,7306,0,163,190,45,230,193,422,141,1187,1001,409,406,961,343,1096,290
平成24,2012,2,13114,14,中野区,Nakano-ku,4098,4,120,3184,1,137,127,28,128,133,236,35,316,533,299,296,533,345,701,301
平成24,2012,2,13115,15,杉並区,Suginami-ku,5412,10,76,4157,0,135,172,58,230,280,294,58,304,751,446,405,778,714,757,389
平成24,2012,2,13116,16,豊島区,Toshima-ku,6694,98,377,5067,2,168,205,50,254,237,236,72,584,833,426,400,867,295,752,312
平成24,2012,2,13117,17,北区,Kita-ku,4172,12,93,3146,0,114,125,45,204,237,196,19,368,639,322,298,623,557,639,395
平成24,2012,2,13118,18,荒川区,Arakawa-ku,2470,14,13,1777,5,81,104,32,137,235,72,16,181,375,205,193,340,378,418,222
平成24,2012,2,13119,19,板橋区,Itabashi-ku,4966,5,42,3664,1,122,185,81,259,261,346,32,627,950,496,476,926,759,877,172
平成24,2012,2,13120,20,練馬区,Nerima-ku,4737,4,105,3387,0,176,184,78,248,219,336,61,430,909,570,546,859,596,808,460
平成24,2012,2,13121,21,足立区,Adachi-ku,6466,38,10,4538,0,176,250,78,348,663,365,32,524,1148,670,683,1302,885,1243,214
平成24,2012,2,13122,22,葛飾区,Katsushika-ku,4808,11,122,3249,0,123,201,51,266,519,266,30,270,723,425,405,739,994,757,502
平成24,2012,2,13123,23,江戸川区,Edogawa-ku,6145,33,308,4212,0,174,167,40,312,258,641,33,391,959,592,586,979,780,984,481
平成24,2012,1,13200,,市部,All shi,33195,273,913,22818,0,933,1045,411,1619,1561,3622,422,4938,7300,3298,3235,6586,6801,7246,5262
平成24,2012,2,13201,1,八王子市,Hachioji-shi,4917,50,200,3249,0,147,118,46,188,176,743,53,788,1081,469,482,980,851,1014,677
平成24,2012,2,13202,2,立川市,Tachikawa-shi,2497,34,148,1647,0,48,63,14,110,113,320,28,364,426,194,186,379,370,569,348
平成24,2012,2,13203,3,武蔵野市,Musashino-shi,2341,10,115,1755,0,60,52,18,74,103,154,45,259,316,137,132,317,475,500,225
平成24,2012,2,13204,4,三鷹市,Mitaka-shi,1043,4,19,710,0,45,48,16,55,48,98,18,199,290,134,127,261,317,334,151
平成24,2012,2,13205,5,青梅市,Ome-shi,1473,47,16,750,0,40,46,16,40,68,450,17,195,299,121,124,339,140,203,60
平成24,2012,2,13206,6,府中市,Fuchu-shi,2200,16,49,1415,0,58,74,31,85,96,376,26,486,602,208,229,501,451,412,381
平成24,2012,2,13207,7,昭島市,Akishima-shi,947,11,17,696,0,31,25,19,49,42,57,14,224,224,90,101,205,184,268,175
平成24,2012,2,13208,8,調布市,Chofu-shi,1717,6,26,1273,0,53,69,20,91,67,112,22,239,349,193,186,335,474,236,311
平成24,2012,2,13209,9,町田市,Machida-shi,2923,23,101,1993,0,73,84,30,160,144,315,35,312,750,317,306,609,660,900,726
平成24,2012,2,13210,10,小金井市,Koganei-shi,742,2,8,549,0,23,24,11,31,35,59,13,73,146,85,79,156,214,206,191
平成24,2012,2,13211,11,小平市,Kodaira-shi,1287,4,1,802,0,38,47,13,78,70,234,10,209,341,145,148,279,310,181,450
平成24,2012,2,13212,12,日野市,Hino-shi,936,1,4,634,0,23,42,19,60,45,108,7,232,253,109,111,211,176,193,92
平成24,2012,2,13213,13,東村山市,Higashimurayama-shi,1043,11,17,752,0,40,44,12,62,55,50,11,117,213,107,105,202,136,179,113
平成24,2012,2,13214,14,国分寺市,Kokubunji-shi,1016,4,36,768,0,25,35,12,49,36,51,14,74,179,84,75,149,189,102,162
平成24,2012,2,13215,15,国立市,Kunitachi-shi,624,5,3,471,0,11,22,8,31,42,31,12,86,123,63,61,104,107,157,107
平成24,2012,2,13218,16,福生市,Fussa-shi,846,2,42,704,0,18,16,4,25,20,15,4,61,111,62,55,104,84,152,42
