年次,Year,月次,Month,旅客数 Passengers／国内線 Domestic／乗客 Boarding,旅客数 Passengers／国内線 Domestic／降客 Deboarding,旅客数 Passengers／国際線 International／乗客 Boarding,旅客数 Passengers／国際線 International／降客 Deboarding,旅客数 Passengers／国際線 International／通過 Direct transit,貨物 Freight／国内線 Domestic／積荷 Loaded(t),貨物 Freight／国内線 Domestic／降荷 Unloaded(t),貨物 Freight／国際線 International／積荷 Loaded(t),貨物 Freight／国際線 International／降荷 Unloaded(t),郵便物 Mail／国内線 Domestic／積荷 Loaded(t),郵便物 Mail／国内線 Domestic／降荷 Unloaded(t),郵便物 Mail／国際線 International／積荷 Loaded(t),郵便物 Mail／国際線 International／降荷 Unloaded(t)
平成20,2008,,,572029,570892,13221477,13068229,2998500,2072,2383,999449,1059184,1863,778,12362,22355
平成21,2009,,,609157,631503,12260355,12157747,3221705,2321,889,829444,981004,2478,1054,11286,23501
平成22,2010,,,800961,851423,13087638,13026418,3013562,2358,1451,1001742,1123988,2280,675,10769,24600
平成23,2011,,,847642,877120,10535609,10481180,2635887,3021,3248,860038,1038847,2270,582,10341,27001
平成24,2012,,,1592417,1643848,11960505,11952789,2852766,5200,7007,868618,1083589,2229,468,10743,28318
平成24,2012,1,Jan.,91238,99328,892907,929636,265098,216,389,61852,74252,165,48,821,2325
平成24,2012,2,Feb.,90563,97935,962248,901001,198974,236,444,71623,87896,164,35,850,2212
平成24,2012,3,Mar.,115369,113840,1068059,1143375,193749,204,422,82171,101102,177,45,895,2323
平成24,2012,4,Apr.,90546,96496,988844,918795,214882,185,356,76659,90476,181,34,851,2194
平成24,2012,5,May,99163,101306,893567,951139,272936,196,241,70738,87043,180,42,844,2188
平成24,2012,6,June,98105,99156,935063,945972,283600,213,294,74358,89279,168,36,842,2207
平成24,2012,7,July,141674,142340,1076849,1030311,267971,326,350,71531,90827,187,30,838,2243
平成24,2012,8,Aug.,199919,206157,1250321,1215342,226756,279,322,69980,86329,171,34,828,2110
平成24,2012,9,Sept.,172019,180771,1030793,1101758,211033,158,403,74289,91298,204,29,840,2238
平成24,2012,10,Oct.,168168,177102,953761,967858,233010,1014,1157,71777,94766,191,32,897,2464
平成24,2012,11,Nov.,158586,168737,931786,919860,225050,1016,1260,73037,96933,184,34,915,2723
平成24,2012,12,Dec.,167067,160680,976307,927742,259707,1157,1369,70603,93388,257,69,1322,3091
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,
4-23　航空輸送量 (2)　成田国際空港 （平成20～24年） 4-23 TRANSPORTATION BY ＡIR (2) NARITA INTERNATIONAL AIRPORT ( 2008-2012 ),,,,,,,,,,,,,,,,
資料：国土交通省航空局空港ネットワーク部空港ネットワーク企画課 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,
