年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of employees,総数 Total／年間販売額 Annual sales,総数 Total／商品手持額 Value of goods in stock,卸売業 Wholesale trade／事業所数 Number of establishments,卸売業 Wholesale trade／従業者数 Number of employees,卸売業 Wholesale trade／年間販売額 Annual sales,卸売業 Wholesale trade／商品手持額 Value of goods in stock,小売業 Retail trade／事業所数 Number of establishments,小売業 Retail trade／従業者数 Number of employees,小売業 Retail trade／年間販売額 Annual sales,小売業 Retail trade／売場面積 Sales floor space (m2),小売業 Retail trade／商品手持額 Value of goods in stock
平成9,1997,0,13000,,東京都,Tokyo-to,183220,1545497,166562237,8867884,55201,807901,148646211,7097453,128019,737596,17916027,10101466,1770431
平成11,1999,0,13000,,東京都,Tokyo-to,193280,1808136,203119015,…,64770,994251,185708638,…,128510,813885,17410377,10385209,…
平成14,2002,0,13000,,東京都,Tokyo-to,176669,1713852,176704287,7957699,57653,903221,159958252,6430793,119016,810631,16746035,10707955,1526906
平成16,2004,0,13000,,東京都,Tokyo-to,171155,1665591,176898500,…,56942,864001,160109435,…,114213,801590,16789065,11154029,…
平成19,2007,0,13000,,東京都,Tokyo-to,149965,1574020,182211327,9210253,47270,795902,164932421,7719491,102695,778118,17278905,11633314,1490763
平成19,2007,1,13100,,区部,All ku,119223,1309590,174539013,8714923,41921,747804,161215209,7574396,77302,561786,13323804,7873613,1140527
平成19,2007,2,13101,1,千代田区,Chiyoda-ku,6684,124399,42649974,1518748,3627,98614,41759844,1435829,3057,25785,890130,366368,82919
平成19,2007,2,13102,2,中央区,Chuo-ku,10299,192756,42262766,2198969,7240,161568,40789724,2065818,3059,31188,1473042,479851,133151
平成19,2007,2,13103,3,港区,Minato-ku,6789,141969,37179155,1785244,3196,111012,36458425,1710223,3593,30957,720730,305868,75021
平成19,2007,2,13104,4,新宿区,Shinjuku-ku,5294,72056,5307428,357592,1559,34580,3958130,253117,3735,37476,1349297,565715,104475
