年末（平成）,End of year,地域階層,地域コード,地域,District,総数Total,中国China,韓国・朝鮮Korea,フィリピンPhilippines,アメリカU.S.A.,インドIndia,タイThailand,ネパールNepal,イギリスU.K.,フランスFrance,ミャンマーMyanmar,その他Others
20,2008,0,13000,総数,Tokyo-to,408284,145320,117567,31974,19408,9418,6907,5083,7482,5969,4680,54476
21,2009,0,13000,総数,Tokyo-to,418116,157070,116158,31502,18746,9644,7202,6416,6986,5587,5128,53677
22,2010,0,13000,総数,Tokyo-to,422226,164672,115025,30572,18264,9585,7296,7054,6702,5561,5257,52238
23,2011,0,13000,総数,Tokyo-to,406096,164199,105522,29540,17342,8750,7177,7786,6064,4945,5238,49533
24,2012,0,13000,総数,Tokyo-to,390674,161169,99880,27929,15901,8313,6906,8669,5522,4635,4781,46969
24,2012,1,13100,区部,All ku,327266,137297,84335,21122,13190,7654,5674,7509,4858,4335,4542,36750
24,2012,3,13101,千代田区,Chiyoda-ku,2550,1085,400,54,178,119,31,27,66,182,7,401
24,2012,3,13102,中央区,Chuo-ku,4947,2101,1068,112,286,253,61,69,102,88,25,782
24,2012,3,13103,港区,Minato-ku,18853,3403,3712,927,3619,706,175,99,892,670,39,4611
24,2012,3,13104,新宿区,Shinjuku-ku,33574,12775,12255,657,834,229,676,1202,384,848,1035,2679
24,2012,3,13105,文京区,Bunkyo-ku,6935,2823,1990,188,307,96,183,142,93,159,110,844
24,2012,3,13106,台東区,Taito-ku,12503,5956,3644,634,165,619,251,224,70,88,58,794
24,2012,3,13107,墨田区,Sumida-ku,9213,4425,2006,1260,111,66,368,81,42,29,66,759
24,2012,3,13108,江東区,Koto-ku,20889,10602,4714,1393,372,1135,328,236,111,95,176,1727
24,2012,3,13109,品川区,Shinagawa-ku,10566,3780,2372,721,552,504,164,425,193,132,193,1530
24,2012,3,13110,目黒区,Meguro-ku,6949,1617,1454,517,735,118,135,210,318,225,50,1570
24,2012,3,13111,大田区,Ota-ku,18200,7373,3734,2101,502,305,395,943,179,83,113,2472
24,2012,3,13112,世田谷区,Setagaya-ku,14827,3936,4086,731,1290,379,185,265,628,337,68,2922
24,2012,3,13113,渋谷区,Shibuya-ku,9445,1987,1705,291,1464,172,220,122,728,462,30,2264
24,2012,3,13114,中野区,Nakano-ku,10610,4301,3070,404,369,91,200,409,153,159,191,1263
24,2012,3,13115,杉並区,Suginami-ku,10489,3801,2803,447,558,124,195,565,230,159,142,1465
24,2012,3,13116,豊島区,Toshima-ku,19065,11677,2787,412,377,128,257,683,118,198,926,1502
24,2012,3,13117,北区,Kita-ku,14248,7930,2820,763,159,127,148,233,61,71,592,1344
24,2012,3,13118,荒川区,Arakawa-ku,15313,6854,6271,510,110,83,131,320,43,29,279,683
24,2012,3,13119,板橋区,Itabashi-ku,16234,9158,3240,1282,238,67,259,261,99,101,160,1369
24,2012,3,13120,練馬区,Nerima-ku,12740,5144,3951,858,412,139,267,231,132,89,53,1464
24,2012,3,13121,足立区,Adachi-ku,22282,8486,7969,3221,210,109,378,196,79,47,56,1531
24,2012,3,13122,葛飾区,Katsushika-ku,13719,6859,3553,1314,121,65,228,223,54,37,98,1167
24,2012,3,13123,江戸川区,Edogawa-ku,23115,11224,4731,2325,221,2020,439,343,83,47,75,1607
24,2012,1,13200,市部,All shi,62590,23751,15380,6549,2655,659,1209,1155,662,300,238,10032
24,2012,3,13201,八王子市,Hachioji-shi,8983,3768,2030,1028,245,96,128,172,54,21,33,1408
24,2012,3,13202,立川市,Tachikawa-shi,3294,1487,846,300,116,65,36,60,19,5,7,353
24,2012,3,13203,武蔵野市,Musashino-shi,2180,799,542,76,208,19,35,49,63,37,12,340
24,2012,3,13204,三鷹市,Mitaka-shi,2844,915,736,169,292,10,61,36,84,43,23,475
24,2012,3,13205,青梅市,Ome-shi,1445,405,238,335,54,10,58,10,5,-,1,329
24,2012,3,13206,府中市,Fuchu-shi,4106,1520,894,445,232,53,85,37,39,16,36,749
24,2012,3,13207,昭島市,Akishima-shi,2010,786,594,197,45,18,28,56,5,2,4,275
24,2012,3,13208,調布市,Chofu-shi,3550,1276,1114,275,147,59,93,35,37,17,15,482
24,2012,3,13209,町田市,Machida-shi,4747,1950,1101,463,172,65,109,33,67,21,15,751
24,2012,3,13210,小金井市,Koganei-shi,2096,935,325,110,114,20,40,82,41,15,14,400
24,2012,3,13211,小平市,Kodaira-shi,3906,1168,1689,237,92,15,59,19,32,17,11,567
24,2012,3,13212,日野市,Hino-shi,2407,1138,524,203,62,16,42,53,26,11,16,316
24,2012,3,13213,東村山市,Higashimurayama-shi,2093,774,582,253,47,8,29,54,15,4,7,320
24,2012,3,13214,国分寺市,Kokubunji-shi,1635,749,413,102,84,7,13,29,23,8,2,205
24,2012,3,13215,国立市,Kunitachi-shi,1286,460,372,74,44,29,23,62,13,5,2,202
24,2012,3,13218,福生市,Fussa-shi,2400,699,281,329,115,30,110,226,4,2,3,601
24,2012,3,13219,狛江市,Komae-shi,909,323,231,90,45,11,31,30,21,10,1,116
24,2012,3,13220,東大和市,Higashiyamato-shi,1011,348,313,229,15,2,25,1,7,1,2,68
24,2012,3,13221,清瀬市,Kiyose-shi,967,402,192,150,25,1,21,17,2,4,3,150
24,2012,3,13222,東久留米市,Higashikurume-shi,1592,515,284,239,206,28,32,10,25,3,3,247
24,2012,3,13223,武蔵村山市,Musashimurayama-shi,1071,388,169,273,32,1,24,1,2,2,-,179
24,2012,3,13224,多摩市,Tama-shi,2038,862,521,230,58,17,28,48,15,22,10,227
24,2012,3,13225,稲城市,Inagi-shi,1082,372,296,166,30,15,21,2,9,3,1,167
24,2012,3,13227,羽村市,Hamura-shi,1277,199,110,231,46,14,8,10,9,-,1,649
24,2012,3,13228,あきる野市,Akiruno-shi,640,176,153,100,43,9,11,2,3,1,-,142
24,2012,3,13229,西東京市,Nishitokyo-shi,3021,1337,830,245,86,41,59,21,42,30,16,314
24,2012,1,13300,郡部,All gun,599,105,83,192,41,-,15,5,2,-,1,155
24,2012,3,13303,瑞穂町,Mizuho-machi,490,82,59,169,20,-,14,4,1,-,1,140
24,2012,3,13305,日の出町,Hinode-machi,77,18,16,17,14,-,-,1,-,-,-,11
24,2012,3,13307,檜原村,Hinohara-mura,11,-,5,2,4,-,-,-,-,-,-,-
