年度,Fiscal year,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
平成20,2008,総数,Total,,,,17864,10657,7207,17864,10657,7207
平成21,2009,総数,Total,,,,19975,12686,7289,19975,12686,7289
平成22,2010,総数,Total,,,,21488,14053,7435,21488,14053,7435
平成23,2011,総数,Total,,,,22269,14766,7503,22269,14766,7503
平成24,2012,総数,Total,,,,22850,14813,8037,22850,14813,8037
平成24,2012,日暮里・舎人ライナー,Nippori-Toneri Liner,日暮里,Nippori,※,6999,4939,2060,6998,4939,2059
平成24,2012,日暮里・舎人ライナー,Nippori-Toneri Liner,西日暮里,Nishi-Nippori,※,3573,2157,1416,3858,2157,1701
平成24,2012,日暮里・舎人ライナー,Nippori-Toneri Liner,赤土小学校前,Akado-Shogakkomae,※,697,329,368,647,329,318
平成24,2012,日暮里・舎人ライナー,Nippori-Toneri Liner,熊野前,Kumanomae,※,1316,666,649,1250,666,584
平成24,2012,日暮里・舎人ライナー,Nippori-Toneri Liner,足立小台,Adachi-Odai,※,582,356,226,574,356,218
平成24,2012,日暮里・舎人ライナー,Nippori-Toneri Liner,扇大橋,Ogi-Ohashi,※,1212,757,455,1180,757,422
平成24,2012,日暮里・舎人ライナー,Nippori-Toneri Liner,高野,Koya,※,789,535,254,772,535,236
平成24,2012,日暮里・舎人ライナー,Nippori-Toneri Liner,江北,Kohoku,※,1350,858,492,1335,858,478
平成24,2012,日暮里・舎人ライナー,Nippori-Toneri Liner,西新井大師西,Nishiaraidaishi-Nishi,※,1621,1078,543,1607,1078,529
平成24,2012,日暮里・舎人ライナー,Nippori-Toneri Liner,谷在家,Yazaike,※,1313,876,438,1278,876,402
平成24,2012,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人公園,Toneri-Koen,※,645,335,310,638,335,303
平成24,2012,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人,Toneri,※,1045,712,333,1031,712,320
平成24,2012,日暮里・舎人ライナー,Nippori-Toneri Liner,見沼代親水公園,Minumadai-Shinsuikoen,※,1708,1215,493,1682,1215,467
,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-11  都営日暮里・舎人ライナーの駅別乗降車人員 (平成20～24年度） 4-11 NUMBER OF PASSENGERS ON TOEI NIPPORI-TONERI LINER TRAINS BY STATION ( Fiscal Years 2008-2012),,,,,,,,,,,,
同一会社内の乗り継ぎは除く。  ※印は区部にある駅 (線) を示す。,,,,,,,,,,,,
Figures exclude transits between lines of the same company. The lines and stations marked with ※ refer to the ones located in the ku area.,,,,,,,,,,,,
資料：都交通局総務部企画調整課  Source: Bureau of Transportation， TMG,,,,,,,,,,,,
（単位　千人） (In thousands),,,,,,,,,,,,
