年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total ,宅地 Land for buildings／計  Total ,宅地 Land for buildings／商業地区 Commercial district ,宅地 Land for buildings／工業地区 Industrial district ,宅地 Land for buildings／住宅地区 Residential district ,宅地 Land for buildings／その他  Others  ,田 Paddy fields  ,畑 Ordinary fields  ,山林 Forests  ,原野 Waste land  ,池沼 Ponds and swamps  ,雑種地 Miscellaneous land  ,免税点未満 Land under the legal tax exemption limit  
平成21,2009,0,13000,,東京都,Tokyo-to,104397.88,56686.78,2806.35,3506.09,49067.52,1306.82,352.02,8778.71,25540.48,1840.3,12.24,4819.54,6367.81
平成22,2010,0,13000,,東京都,Tokyo-to,104286.84,56805.9,2807.14,3541.76,49147.58,1309.42,345.98,8682.11,25450.02,1827.63,12.24,4777.35,6385.61
平成23,2011,0,13000,,東京都,Tokyo-to,103945.14,56894.62,2811.85,3573.41,49195.06,1314.3,325.75,8592.51,25353.88,1834.27,12.19,4758.61,6173.25
平成24,2012,0,13000,,東京都,Tokyo-to,103826.38,56991.26,2779.65,3450.35,49445.92,1315.33,317.77,8485.92,25274.01,1824.45,12.39,4749.91,6170.68
平成25,2013,0,13000,,東京都,Tokyo-to,103775.38,57109.69,2785,3468.18,49445.24,1411.28,314,8395.62,25222.55,1818.48,12.08,4713.5,6189.46
平成25,2013,1,13100,,区部,All ku          　,33305.13,31519.97,1991.37,1678.49,27850.11,-,0.96,575.72,18.8,-,5.67,1170.01,14
平成25,2013,3,13101,1,千代田区,Chiyoda-ku,405.86,364.85,313.66,-,51.19,-,-,-,-,-,-,41,0.01
平成25,2013,3,13102,2,中央区,Chuo-ku,394.78,394.03,241.58,12.67,139.78,-,-,-,-,-,-,0.72,0.03
平成25,2013,3,13103,3,港区,Minato-ku,992.78,922.29,291.02,21.5,609.77,-,-,-,-,-,0.06,70.36,0.07
平成25,2013,3,13104,4,新宿区,Shinjuku-ku,1016.92,986.28,112.44,14.34,859.5,-,-,-,-,-,-,30.4,0.24
平成25,2013,3,13105,5,文京区,Bunkyo-ku,596.15,588.84,79.74,19.61,489.49,-,-,-,-,-,-,7.02,0.29
平成25,2013,3,13106,6,台東区,Taito-ku,480.51,453.54,249.62,-,203.92,-,-,-,-,-,-,26.82,0.15
平成25,2013,3,13107,7,墨田区,Sumida-ku,710.25,685.68,43.01,119,523.67,-,-,-,-,-,-,24.28,0.29
