"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2021","議会費","748048","0.5","742481","0.4"
"2021","総務費","21633386","13.3","25499577","13.5"
"2021","環境清掃費","6814858","4.2","6774001","3.6"
"2021","民生費","57107828","35.2","63524557","33.6"
"2021","衛生費","7299706","4.5","12415458","6.6"
"2021","産業経済費","14016807","8.6","14007851","7.4"
"2021","土木費","19913716","12.3","18401302","9.7"
"2021","教育費","26199690","16.1","30128667","15.9"
"2021","公債費","158449","0.1","158449","0.1"
"2021","諸支出金","7517512","4.6","15607186","8.2"
"2021","予備費","1000000","0.6","2000000","1.1"
"2021","歳出合計","162410000","100.0","189259529","100.0"
"2022","議会費","701848","0.4",,
"2022","総務費","24330113","15.3",,
"2022","環境清掃費","6887567","4.3",,
"2022","民生費","57881465","36.3",,
"2022","衛生費","7179082","4.5",,
"2022","産業経済費","4090020","2.6",,
"2022","土木費","19805509","12.4",,
"2022","教育費","29499649","18.5",,
"2022","公債費","121572","0.1",,
"2022","諸支出金","7803175","4.9",,
"2022","予備費","1000000","0.6",,
"2022","歳出合計","159300000","100.0",,

"令和4年度港区行政資料集　 一般会計歳出予算（款別）","Ver202203",,,,
