"年度","児童発達支援[人]","放課後等デイサービス[人]","保育所等訪問支援[人]","居宅訪問型児童発達支援[人]"
"2020","154","49","9","3"
"2021","450","66","24","3"

"令和4年度港区行政資料集　児童発達支援センター（ぱお）登録児数","Ver202203",,,
