"年月日","答申番号","答申内容"
"20190524","元港個運審第1号","プレミアム付商品券発行事業に伴うシステム構築及び運用支援業務委託について、諮問どおり承認します。"
"20190524","元港個運審第2号","日本語学習を通じた外国人と日本人の交流促進事業業務委託について、諮問どおり承認します。"
"20190524","元港個運審第3号","港区国際防災ボランティア研修及び災害時対応訓練支援業務委託について、諮問どおり承認します。"
"20190524","元港個運審第4号","地域で育む日本語学習支援プロジェクト実施業務委託について、諮問どおり承認します。"
"20190524","元港個運審第5号","港区文化芸術フェスティバル業務委託について、諮問どおり承認します。"
"20190524","元港個運審第6号","予防接種に関する事務「重点項目評価書」について、問題は認められません。"
"20190524","元港個運審第7号","受動喫煙防止対策支援業務の外部委託について、諮問どおり承認します。"
"20190524","元港個運審第8号","ハクビシン・アライグマの捕獲・処分等業務の外部委託について、諮問どおり承認します。"
"20190726","元港個運審第9号","港区立障害者支援ホーム南麻布準備業務の外部委託について、諮問どおり承認します。"
"20190726","元港個運審第10号","港区立児童発達支援センター準備業務の外部委託について、諮問どおり承認します。"
"20190726","元港個運審第11号","特別養護老人ホーム南麻布シニアガーデンアリス入所申し込み者への状況調査の外部委託について、諮問どおり承認します。"
"20190726","元港個運審第12号","「（仮称）MINATO NIGHT WEEK 2019」運営等支援業務の外部委託について、諮問どおり承認します。"
"20190726","元港個運審第13号","生活保護システム構築及び保守業務に関する外部委託について、諮問どおり承認します。"
"20190726","元港個運審第14号","生活衛生システムの導入及び保守業務に関する外部委託について、諮問どおり承認します。"
"20190904","元港個運審第15号","競争入札参加者の選定に係る区内事業者認定基準の見直しに伴う本人以外のものからの個人情報の収集について、諮問どおり承認します。"
"20190904","元港個運審第16号","学校徴収金に関する金融機関とのデータ受け渡し業務に係る区と区以外の電子計算機の通信回線による結合について、諮問どおり承認します。"
"20191108","元港個運審第17号","「港区立伝統文化交流館」の指定管理者による管理及び「港区立伝統文化交流館」開設準備の外部委託について、諮問どおり承認します。"
"20200116","元港個運審第18号","行政情報分析基盤システム構築及び保守運用業務の外部委託並びに行政情報分析基盤システムに係る区と区以外の電子計算機の通信回線による結合について、諮問どおり承認します。"
"20200116","元港個運審第19号","「みなと母子手帳アプリ」導入及び運用・保守の外部委託について、諮問どおり承認します。"
"20200203","元港個運審第20号","「港区立みなと科学館」の指定管理者による管理及び「港区立みなと科学館」開設準備の外部委託について、諮問どおり承認します。"
"20200203","元港個運審第21号","被保護者健康管理支援事業の外部委託について、諮問どおり承認します。"
"20200203","元港個運審第22号","病児・病後児保育室事業委託の変更及び区と区以外の電子計算機の通信回線による結合について、諮問どおり承認します。"
"20200203","元港個運審第23号","「東京におけるマンションの適正な管理の促進に関する条例」の規定に基づくマンション管理状況届出システムを用いた調査業務の外部委託及び区と区以外の電子計算機の通信回線による結合について、諮問どおり承認します。"
"20200203","元港個運審第24号","MINATOフラッグ店舗管理支援業務の外部委託について、諮問どおり承認します。"
"20200203","元港個運審第25号","学びの多様性推進事業における遠隔学習等実施業務の外部委託について、諮問どおり承認します。"
"20200325","元港個運審第26号","スマートフォン向けアプリによるプッシュ配信システム初期構築及び運用保守業務委託について、諮問どおり承認します。"
"20200325","元港個運審第27号","ＡＩ（人工知能）を活用した問合せ自動応答システム構築業務の委託及び区と区以外の電子計算機の通信回線による結合について、諮問どおり承認します。"

"令和2年度港区行政資料集　令和元年度港区個人情報保護運営審議会答申","Ver202003",
