指摘区分,件数
設計（条件明示等）,4
設計（施設の安全対策）,1
設計（工法等の選定）,1
積算(単価設定),4
積算(数量算出),3
積算(諸経費等),2
施工（施工管理）,6
施工（安全対策）,2
その他（事務処理等）,3
その他,2
