"年度","交流プラザ(あいぷら)利用者数[人]","交流プラザ(あいぷら)学童保育出席者数[人]","交流プラザ(あいぷら)高齢者利用者数[人]"
"2017","95806","22196","14076"
"2018","96485","22772","14421"
"2019","89714","19305","13595"
"2020","46797","13837","6433"
"2021","66793","18532","8337"

"令和4年度港区行政資料集　施設利用状況一覧 児童高齢者交流プラザ","Ver202203",,
