年　　　月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成30年４月,2018,4,450,111,75,200,318,117,99,625,267,153,363,308,112,...,303,899,281,224,199,134,189,740,238,616,341,159,681,1877,460,335,722,171,491,921,250,1063,858,1562,...,2117,425,437,667,616,832,1585,1018,485,657,...,553,...,419,533,733,...,...,...,...,...,...,...,1668,...,240,956,196,218,335
平成30年５月,2018,5,444,92,77,190,313,110,96,618,266,157,369,307,114,...,298,893,288,231,198,137,145,760,210,724,327,156,601,2088,488,332,740,164,453,876,248,1172,845,1547,...,2284,440,442,614,588,749,1636,905,450,639,...,634,...,423,528,840,...,...,...,...,...,517,901,1603,...,238,993,213,218,333
平成30年５月上旬,2018,5上,429,82,68,188,...,104,99,609,256,155,...,...,...,...,...,...,...,...,...,...,149,777,205,687,327,...,622,2179,...,...,...,163,...,...,249,1183,...,...,...,2332,446,395,603,603,769,...,972,...,...,...,572,...,...,...,850,...,...,...,...,...,565,998,1609,...,233,...,201,218,332
平成30年５月中旬,2018,5中,458,95,87,185,313,117,96,622,263,153,369,307,114,...,298,893,288,231,198,137,148,743,203,729,307,156,587,2041,488,332,740,162,453,876,248,1173,845,1547,...,2284,434,415,619,588,764,1636,880,450,639,...,655,...,423,528,843,...,...,...,...,...,518,926,1625,...,235,993,239,220,339
平成30年５月下旬,2018,5下,445,98,76,197,...,108,94,624,278,163,...,...,...,...,...,...,...,...,...,...,138,759,223,755,348,...,596,2042,...,...,...,169,...,...,246,1160,...,...,...,2235,439,515,621,573,713,...,862,...,...,...,677,...,...,...,825,...,...,...,...,...,469,779,1576,...,246,...,199,216,329
平成30年６月上旬,2018,6上,459,89,69,198,...,102,83,608,283,151,...,...,...,...,...,...,...,...,...,...,132,695,206,735,324,...,664,2079,...,...,...,190,...,...,230,1508,...,...,1542,2118,450,461,614,556,703,...,770,...,...,...,676,...,...,...,...,...,2210,...,...,...,415,685,...,3529,233,...,197,215,327
平成30年６月中旬,2018,6中,455,100,82,194,320,120,95,626,281,162,372,325,124,...,285,902,284,230,205,133,141,760,196,719,279,158,682,2048,488,332,896,185,362,936,234,1949,796,1540,1508,2070,411,447,628,535,695,1595,805,459,629,...,688,...,400,535,...,...,1938,...,...,...,384,670,...,2834,235,969,192,216,322
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H30.1,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成３０年６月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７． 主 要 品 目 の 東 京 都 区 部 小 売 価 格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
