"地域","備蓄倉庫 設置箇所[か所]","備蓄倉庫 面積[平方メートル]","消火器設置本数[本]"
"芝","40","4981","361"
"麻布","24","1797","287"
"赤坂","22","1908","276"
"高輪","20","1609","352"
"芝浦港南","23","3427","186"
"合計","129","13722","1462"

"令和2年度港区行政資料集　備蓄倉庫・消火器設置状況","Ver202004",,
