PAMS＋BVOC,,,,,,,,,,,,,,,,,,,,,
,,2022年度,,,,,,,,,,,,,,,,,,（単位：μg/m3）,
,"NAME
( )は、HAPｓの番号",区部一般環境,,,,,,,,,多摩一般,,,都一般平均,沿道,,,,,,檜原（ﾊﾞｯ ｸｸﾞﾗｳﾝ ﾄﾞ)
,,中央区晴海,国設東京新宿,目黒区碑文谷,大田区東糀谷,板橋区氷川町,練馬区石神井町,足立区西新井,江戸川区春江町,区部一般平均,小金井市貫井北町,東大和市奈良橋,多摩部一般平均,,京葉道路亀戸,環八通り八幡山,２地点沿道平均,甲州街道大原,中山道大和町,４地点沿道平均,
V1,Ethane,3.642,4.233,4.787,4.960,5.892,4.775,5.057,4.375,4.715,4.518,3.114,3.816,4.535,4.116,5.059,4.587,5.183,5.345,4.926,1.723
V2,Ethylene,5.311,1.440,1.146,2.684,1.380,1.014,2.596,1.416,2.123,1.025,0.965,0.995,1.898,2.529,1.160,1.845,1.474,1.811,1.744,0.431
V3,Propane,7.115,8.247,9.824,11.552,12.219,9.970,14.492,12.348,10.721,10.291,12.954,11.623,10.901,9.962,10.084,10.023,11.691,11.676,10.853,2.061
V4,Acethylene,0.603,0.526,0.596,0.705,0.643,0.537,0.733,0.620,0.620,0.537,0.525,0.531,0.603,0.669,0.597,0.633,0.812,0.896,0.744,0.340
1,Propylene,1.105,0.584,0.580,1.241,0.587,0.480,0.870,0.624,0.759,0.439,0.461,0.450,0.697,0.867,0.553,0.710,0.727,0.822,0.742,0.176
2,iso-Butane (18),4.634,4.370,4.599,5.058,5.565,4.971,6.557,5.825,5.197,4.680,4.518,4.599,5.078,5.248,6.271,5.760,5.474,5.487,5.620,2.748
3,1-Butene,0.328,0.179,0.233,0.515,0.209,0.186,0.365,0.325,0.292,0.152,0.169,0.160,0.266,0.275,0.430,0.352,0.321,0.310,0.334,0.069
4,n-Butane (22),4.025,4.219,5.023,5.881,6.275,4.507,7.283,6.134,5.418,4.064,3.935,3.999,5.134,5.468,7.032,6.250,6.432,6.571,6.376,1.134
5,trans-2-Butene,0.166,0.079,0.140,0.217,0.135,0.101,0.279,0.300,0.177,0.080,0.151,0.115,0.165,0.187,0.438,0.312,0.239,0.245,0.277,< 0.02
6,cis-2-Butene (23),0.134,0.071,0.109,0.189,0.100,0.081,0.204,0.194,0.135,0.067,0.112,0.090,0.126,0.141,0.314,0.227,0.171,0.179,0.201,0.015
7,iso-Pentane,3.675,3.082,3.403,6.953,3.595,3.018,4.893,3.818,4.055,2.578,3.610,3.094,3.862,3.297,6.112,4.704,5.191,5.167,4.942,0.903
8,1-Pentene,0.137,0.106,0.123,0.319,0.131,0.112,0.186,0.132,0.156,0.105,0.140,0.122,0.149,0.124,0.240,0.182,0.193,0.189,0.186,0.044
9,n-Pentane (28),1.993,1.437,1.591,2.535,1.679,1.360,2.264,1.632,1.811,1.152,1.841,1.496,1.748,1.553,2.738,2.145,2.371,2.474,2.284,0.474
10,trans-2-Pentene,0.115,0.082,0.136,0.312,0.121,0.094,0.238,0.209,0.164,0.080,0.193,0.137,0.158,0.151,0.361,0.256,0.266,0.241,0.255,< 0.02
11,cis-2-Pentene,0.062,0.043,0.069,0.187,0.071,0.050,0.127,0.104,0.089,0.041,0.104,0.072,0.086,0.082,0.198,0.140,0.148,0.133,0.140,< 0.03
12,"2-Methyl-1,3-butadiene",0.151,0.323,0.136,0.188,0.137,0.182,0.287,0.133,0.192,0.176,0.497,0.337,0.221,0.145,0.295,0.220,0.211,0.179,0.207,0.542
13,"2,2-Dimethylbutane",0.116,0.101,0.119,0.168,0.126,0.114,0.178,0.161,0.136,0.096,0.150,0.123,0.133,0.140,0.172,0.156,0.176,0.181,0.167,0.050
