,時間,1（μｇ/m3）,2（μｇ/m3）,3（μｇ/m3）,4（μｇ/m3）,5（μｇ/m3）,6（μｇ/m3）,7（μｇ/m3）,8（μｇ/m3）,9（μｇ/m3）,10（μｇ/m3）,11（μｇ/m3）,12（μｇ/m3）,13（μｇ/m3）,14（μｇ/m3）,15（μｇ/m3）,16（μｇ/m3）,17（μｇ/m3）,18（μｇ/m3）,19（μｇ/m3）,20（μｇ/m3）,21（μｇ/m3）,22（μｇ/m3）,23（μｇ/m3）,24（μｇ/m3）
ベンゼン（Benzene）,4月,0.95,0.78,0.58,0.55,0.55,0.66,0.62,0.64,0.65,1.3,1.4,1.7,1.8,1.5,1.2,1.1,1.2,1.1,0.7,1.2,0.69,0.77,0.74,0.77
ベンゼン（Benzene）,5月,1.3,0.75,1.3,1.3,0.59,0.71,0.72,1.1,0.77,1.6,1.4,1.5,1.6,1.6,1.9,1.5,1.4,1.3,2,2.1,1.7,1.8,1.8,1.2
ベンゼン（Benzene）,6月,1.7,1.4,1.2,1.2,0.75,1,1,0.84,1.2,1.1,1.5,1.5,1.5,1.7,2,1.7,1.7,1.5,2.1,2.6,2.3,2.6,2.3,1.9
ベンゼン（Benzene）,7月,1.4,0.85,1.5,0.89,1.1,0.57,0.74,1,0.88,0.99,1.3,0.72,0.78,0.89,1.1,1.6,1.4,1.4,1.9,2.5,1.1,1.5,2.1,1.3
ベンゼン（Benzene）,8月,1.9,1.8,1.8,1.4,1.5,1,1.2,1,1.4,1.7,2.5,2.1,2.1,1.9,2.1,2.3,2.4,1.9,2.2,2.1,2.5,2,1.8,2
ベンゼン（Benzene）,9月,0.78,0.72,0.58,0.4,0.91,0.63,0.42,0.79,0.41,0.55,0.55,1.1,0.87,0.79,0.67,0.75,0.75,0.9,0.75,0.6,0.56,0.71,0.55,0.58
ベンゼン（Benzene）,10月,0.62,0.5,0.5,0.45,0.46,0.46,0.5,0.53,0.53,0.52,0.54,0.63,0.6,0.65,0.65,0.79,0.83,0.94,0.86,0.6,0.67,0.65,0.67,0.59
ベンゼン（Benzene）,11月,0.74,0.7,0.69,0.66,0.64,0.63,0.68,0.71,0.7,0.74,0.97,0.8,0.88,1.2,0.97,0.97,0.95,1,1,1.3,1.1,0.91,0.87,0.79
ベンゼン（Benzene）,12月,0.92,0.86,0.8,0.76,0.75,0.74,0.79,0.86,0.86,0.86,0.81,0.85,0.83,0.85,0.87,1.2,0.97,1.1,1.1,0.97,1,1.1,1.1,0.99
ベンゼン（Benzene）,1月,0.92,0.81,0.77,0.78,0.76,0.74,0.8,0.86,0.85,0.88,0.81,0.77,0.71,0.78,0.96,0.9,0.98,0.95,1,1,0.91,0.94,1,1
ベンゼン（Benzene）,2月,0.81,0.82,0.75,0.71,0.73,0.7,0.83,0.93,0.94,1.1,1.3,1.2,1.3,1.7,1.2,1.5,1.5,1.1,1.2,1.3,1.1,0.95,0.9,0.86
ベンゼン（Benzene）,3月,0.97,0.68,0.73,0.64,0.63,0.67,0.71,0.72,0.7,0.69,0.82,0.73,1.3,1.2,1.3,1.2,1.2,0.91,1.6,0.79,1.1,0.91,1.1,0.98
ベンゼン（Benzene）,平均,1.1,0.89,0.94,0.81,0.78,0.71,0.75,0.84,0.82,0.99,1.2,1.1,1.2,1.2,1.3,1.3,1.3,1.2,1.4,1.4,1.2,1.2,1.2,1.1
