,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
ベンゼン（Benzene）,4月,0.53,0.52,1.2,1.2,0.71,1.1,1.4
ベンゼン（Benzene）,5月,1.6,1.7,1.5,0.79,0.88,1.2,1.8
ベンゼン（Benzene）,6月,1.4,1.5,2,0.94,1.1,2.3,1.9
ベンゼン（Benzene）,7月,1.3,1.4,0.96,1.2,1.2,1.7,0.75
ベンゼン（Benzene）,8月,1.5,1.7,1.1,2.2,2.4,2.5,1.8
ベンゼン（Benzene）,9月,0.69,0.9,0.34,0.55,1.2,0.85,0.39
ベンゼン（Benzene）,10月,0.78,0.71,0.48,0.68,0.47,0.54,0.68
ベンゼン（Benzene）,11月,0.95,1.2,0.6,0.9,0.92,0.66,0.78
ベンゼン（Benzene）,12月,0.81,1.7,1,0.58,0.61,0.92,0.96
ベンゼン（Benzene）,1月,0.68,0.89,0.9,0.94,1.1,0.88,0.76
ベンゼン（Benzene）,2月,1.7,1.3,0.69,0.82,0.85,0.91,1
ベンゼン（Benzene）,3月,1.2,1,0.71,0.74,1,1,0.88
ベンゼン（Benzene）,平均,1.1,1.2,0.96,0.96,1,1.2,1.1
,曜日,日（μｇ/m3）,月（μｇ/m3）,火（μｇ/m3）,水（μｇ/m3）,木（μｇ/m3）,金（μｇ/m3）,土（μｇ/m3）
トリクロロエチレン（Trichloroethene）,4月,0.39,3.6,1.8,1.6,1.9,1.2,0.65
トリクロロエチレン（Trichloroethene）,5月,0.25,2.4,1.5,2.1,2.2,1.4,0.34
トリクロロエチレン（Trichloroethene）,6月,0.58,1.5,0.7,2.6,2.3,1.4,1.8
トリクロロエチレン（Trichloroethene）,7月,0.38,0.61,0.91,2.3,2.6,3.3,1.4
トリクロロエチレン（Trichloroethene）,8月,0.54,2,1.2,1.3,0.38,0.31,0.66
トリクロロエチレン（Trichloroethene）,9月,0.82,1.9,4.3,1.9,1.1,0.36,1.5
トリクロロエチレン（Trichloroethene）,10月,0.37,2.2,3.1,6.2,3.5,2.8,1.4
トリクロロエチレン（Trichloroethene）,11月,0.56,2.7,3.5,3.1,4.4,3.9,1.3
トリクロロエチレン（Trichloroethene）,12月,1.1,4.5,2.9,2.7,1.9,5.3,2.6
トリクロロエチレン（Trichloroethene）,1月,0.62,5.3,2,4.3,4.2,4.3,0.7
トリクロロエチレン（Trichloroethene）,2月,0.47,4.1,0.74,1,0.88,1.5,1.6
トリクロロエチレン（Trichloroethene）,3月,0.25,1.6,2.5,1.3,2.7,3.1,1.2
トリクロロエチレン（Trichloroethene）,平均,0.52,2.7,2.1,2.5,2.3,2.4,1.3
