台帳番号,全解除,年度,文書記号,種別,番号,所在地,起点（地番）,起点ｘ座標,起点ｙ座標,回転角（度分秒）,調査区画数,調査種別（土壌概況/土壌詳細/地下水代表地点/地下水対象地境界/地下水詳細）,地点種別（一部対象混合/一部対象個別/全部対象/第一種代表地点/第二種・第三種代表地点）,評価区画,採取区画,深度(m),標高(TPm),標高(APm),TCE_GAS(ppm),PCE_GAS(ppm),DCM_GAS(ppm),VC_GAS(ppm),CCl4_GAS(ppm),EDC_GAS(ppm),"1,1-DCE_GAS(ppm)","1,2-DCE_GAS(ppm)","1,1,1-TCE_GAS(ppm)","1,1,2-TCE_GAS(ppm)","1,3-DCP_GAS(ppm)",Bz_GAS(ppm),TCE_GAS(WATER）(mg/l),PCE_GAS(WATER）(mg/l),DCM_GAS(WATER）(mg/l),VC_GAS(WATER）(mg/l),CCl4_GAS(WATER）(mg/l),EDC_GAS(WATER）(mg/l),"1,1-DCE_GAS(WATER）(mg/l)","1,2-DCE_GAS(WATER）(mg/l)","1,1,1-TCE_GAS(WATER）(mg/l)","1,1,2-TCE_GAS(WATER）(mg/l)","1,3-DCP_GAS(WATER）(mg/l)",Bz_GAS(WATER）(mg/l),TCE_Elu(mg/l),PCE_Elu(mg/l),DCM_Elu(mg/l),VC_Elu(mg/l),CCl4_Elu(mg/l),EDC_Elu(mg/l),"1,1-DCE_Elu(mg/l)","1,2-DCE_Elu(mg/l)","1,1,1-TCE_Elu(mg/l)","1,1,2-TCE_Elu(mg/l)","1,3-DCP_Elu(mg/l)",Bz_Elu(mg/l),Cd_Elu(mg/l),CN_Elu(mg/l),Pb_Elu(mg/l),Cr6+_Elu(mg/l),As_Elu(mg/l),Hg_Elu(mg/l),Se_Elu(mg/l),B_Elu(mg/l),F_Elu(mg/l),有機リン_Elu(mg/l),PCB_Elu(mg/l),チウラム_Elu(mg/l),シマジン_Elu(mg/l),チオベンカルブ_Elu(mg/l),Cd_Con(mg/kg),CN_Con(mg/kg),Pb_Con(mg/kg),Cr6+_Con(mg/kg),As_Con(mg/kg),Hg_Con(mg/kg),Se_Con(mg/kg),B_Con(mg/kg),F_Con(mg/kg),TCE_Wat(mg/l),PCE_Wat(mg/l),DCM_Wat(mg/l),VC_Wat(mg/l),CCl4_Wat(mg/l),EDC_Wat(mg/l),"1,1-DCE_Wat(mg/l)","1,2-DCE_Wat(mg/l)","1,1,1-TCE_Wat(mg/l)","1,1,2-TCE_Wat(mg/l)","1,3-DCP_Wat(mg/l)",Bz_Wat(mg/l),Cd_Wat(mg/l),CN_Wat(mg/l),Pb_Wat(mg/l),Cr6+_Wat(mg/l),As_Wat(mg/l),Hg_Wat(mg/l),Se_Wat(mg/l),B_Wat(mg/l),F_Wat(mg/l),有機リン_Wat(mg/l),PCB_Wat(mg/l),チウラム_Wat(mg/l),シマジン_Wat(mg/l),チオベンカルブ_Wat(mg/l)
"指-202
指-203","○
○",25,環多改,三,5,昭島市田中町字後小欠５８４－１４他１２筆,,,,,368,土壌概況,,,,,,,不検出,不検出,不検出,,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,0.018,適合,0.02,13,0.014,適合,0.025,適合,1.1,,適合,,,,400,適合,1500,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-450,○,25,環多改,三,12,東久留米市上の原一丁目３３３番２,,,,,2,土壌概況,,,,,,,0.1,46,,,,,不検出,0.1,,,,,,,,,,,,,,,,,適合,2,,,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-464,○,25,環多改,三,18,福生市牛浜１３１番３,,,,,4,土壌概況,,,,,,,不検出,3.4,,,,,不検出,不検出,,,,,,,,,,,,,,,,,適合,0.02,,,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-464,○,25,環多改,三,18,福生市牛浜１３１番３,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,0.02,,,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-464,○,25,環多改,三,18,福生市牛浜１３１番３,,,,,1,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,,,,,適合,適合,,,,,,,,,,,,,,,,,,
指-391,,25,環改化,三,1,足立区関原一丁目８５４番４他３筆,,,,,4,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.15,0.054,,,,1.5,,,,,,,,適合,250,適合,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-391,,25,環改化,三,1,足立区関原一丁目８５４番４他３筆,,,,,4,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.032,0.055,,,,適合,,,,,,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-391,,25,環改化,三,1,足立区関原一丁目８５４番４他３筆,,,,,4,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,適合,適合,,,,適合,,,,,,
指-409,○,25,環改化,三,8,板橋区中丸町５０番７,,,,,6,土壌概況,,,,,,,不検出,31,,,,,0.9,不検出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-409,○,25,環改化,三,8,板橋区中丸町５０番７,,,,,4,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,0.058,,,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-409,○,25,環改化,三,8,板橋区中丸町５０番７,,,,,4,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,,,,,適合,適合,,,,,,,,,,,,,,,,,,
指-406,○,25,環改化,三,9,台東区清川一丁目７番６,,,,,1,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,適合,,,,適合,0.86,,,,,,,適合,適合,適合,,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-419,○,25,環改化,三,21,大田区大森中三丁目３７１７番３,,,,,4,土壌概況,,,,,,,不検出,不検出,不検出,,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,290,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-419,○,25,環改化,三,21,大田区大森中三丁目３７１７番３,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-425,,25,環改化,三,28,千代田区神田錦町三丁目３番２,,,,,20,土壌概況,,,,,,,不検出,,不検出,,不検出,,不検出,不検出,不検出,,,不検出,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,適合,適合,0.039,適合,適合,適合,1.1,,,,,,適合,適合,適合,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-425,,25,環改化,三,28,千代田区神田錦町三丁目３番２,,,,,2,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-425,,25,環改化,三,28,千代田区神田錦町三丁目３番２,,,,,2,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,適合,,,,,
指-437,,25,環改化,三,47,江東区亀戸五丁目１４３番２２号,,,,,2,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,0.014,0.08,,,,22,15,,,,,,,適合,710,適合,,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-453,○,25,環改化,三,52,台東区松が谷二丁目９６番２,,,,,1,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,0.11,,,,適合,,,,,,,,適合,,2300,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-453,○,25,環改化,三,52,台東区松が谷二丁目９６番２,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,,,,,,,,,,,,,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-454,○,25,環改化,三,53,世田谷区若林５丁目３２５,,,,,2,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,20,,,,,,,,,,,,適合,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-454,○,25,環改化,三,53,世田谷区若林５丁目３２５,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-454,○,25,環改化,三,53,世田谷区若林５丁目３２５,,,,,1,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,適合,,,,,,,,,,
"指-443
指-1350","○
",25,環改化,三,59,墨田区東向島二丁目５２番１,,,,,5,土壌概況,,,,,,,不検出,7.7,,,,,不検出,不検出,,,,,,,,,,,,,,,,,0.034,0.11,,,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-462,○,25,環改化,三,63,大田区北糀谷１丁目２２７６番４,,,,,2,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,0.025,適合,,,,,0.82,,,,,,,適合,160,適合,,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-462,○,25,環改化,三,63,大田区北糀谷１丁目２２７６番４,,,,,2,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,1.2,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-462,○,25,環改化,三,63,大田区北糀谷１丁目２２７６番４,,,,,2,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,,,,,,適合,,,,,
指-481,,25,環改化,三,66,文京区白山二丁目７８番１,,,,,2,土壌概況,,,,,,,1.3,52,,,,,不検出,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-481,,25,環改化,三,66,文京区白山二丁目７８番１,,,,,2,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,7.2,,,,,適合,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-481,,25,環改化,三,66,文京区白山二丁目７８番１,,,,,2,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,29,,,,,適合,4.6,,,,,,,,,,,,,,,,,,
指-452,,25,環改化,三,69,荒川区東日暮里二丁目１８１０番,,,,,5,土壌概況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,0.033,,,,,4.9,,,,,,,,適合,1100,,,,,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-437,,25,環改化,三,77,江東区亀戸五丁目１４３番２２号,,,,,2,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.08,,,,22,15,,,,,,,,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-437,,25,環改化,三,77,江東区亀戸五丁目１４３番２２号,,,,,2,地下水詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,,,,18,適合,,,,,
指-457,○,25,環改化,三,82,大田区池上六丁目２８番１８,,,,,1,土壌概況,,,,,,,1.3,460,,,,,不検出,0.5,,,,,,,,,,,,,,,,,適合,0.79,,,,,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指-457,○,25,環改化,三,82,大田区池上六丁目２８番１８,,,,,1,地下水代表地点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,,,,,適合,適合,,,,,,,,,,,,,,,,,,
指-467,○,25,環改化,三,86,中央区日本橋箱崎町４４番８他１筆,,,,,8,土壌概況,,,,,,,不検出,不検出,不検出,,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,,,,,,,,,,,,,,,,,,,,,,,,,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,適合,330,適合,適合,適合,適合,適合,適合,,,,,,,,,,,,,,,,,,,,,,,,,,
指-467,○,25,環改化,三,86,中央区日本橋箱崎町４４番８他１筆,,,,,1,土壌詳細,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
