PAMS＋BVOC,,,,,,,,,,,,,,,,,,,,,
,,2021年度,,,,,,,,,,,,,,,,,,（単位：μg/m3）,
34,Toluene (11),5.462,5.100,5.279,7.217,6.953,5.748,8.831,6.439,6.379,6.066,6.605,6.335,6.370,7.388,7.067,7.228,7.517,11.157,8.282,1.538
35,n-Nonane,0.434,0.361,0.412,0.731,0.478,0.409,0.490,0.426,0.468,0.441,0.736,0.589,0.492,0.488,0.571,0.530,0.587,0.692,0.585,0.108
36,Ethylbenzene (13),1.544,1.361,1.440,2.195,1.366,1.308,1.623,1.343,1.522,1.563,1.808,1.686,1.555,1.782,1.550,1.666,1.815,1.853,1.750,0.425
37,"m,p-Xylene (14)",1.465,1.120,1.264,1.970,1.156,1.123,1.368,1.089,1.319,1.333,1.487,1.410,1.337,1.475,1.526,1.500,1.984,1.776,1.690,0.303
38,o-Xylene (15),0.560,0.422,0.507,0.820,0.435,0.422,0.509,0.400,0.509,0.493,0.555,0.524,0.512,0.547,0.568,0.557,0.870,0.669,0.664,0.124
39,Styrene (16),0.181,0.114,0.130,0.196,0.124,0.123,0.150,0.121,0.143,0.221,0.137,0.179,0.150,0.132,0.170,0.151,0.183,0.154,0.160,0.055
Ref,(α-pinene),0.172,0.413,0.208,0.213,0.262,0.720,0.242,0.139,0.296,0.388,0.461,0.425,0.322,0.226,0.383,0.304,0.259,0.170,0.260,1.994
40,Isopropylbenzene,0.096,0.073,0.083,0.110,0.107,0.067,0.073,0.071,0.085,0.091,0.103,0.097,0.088,0.091,0.076,0.083,0.104,0.093,0.091,0.022
41,n-Decane (45),1.437,1.395,1.447,1.843,1.702,1.541,1.701,1.405,1.559,1.503,1.668,1.585,1.564,1.478,1.594,1.536,1.853,2.295,1.805,0.381
42,n-Propylbenzene,0.165,0.136,0.151,0.183,0.151,0.151,0.169,0.138,0.156,0.166,0.241,0.203,0.165,0.166,0.173,0.170,0.234,0.215,0.197,0.062
43,m-Ethyltoluene,0.440,0.375,0.448,0.542,0.438,0.425,0.501,0.393,0.445,0.501,0.760,0.631,0.482,0.501,0.530,0.515,0.730,0.688,0.612,0.122
44,p-Ethyltoluene (46),0.262,0.203,0.230,0.283,0.227,0.222,0.259,0.203,0.236,0.255,0.390,0.323,0.253,0.253,0.265,0.259,0.359,0.337,0.303,0.061
Ref,(β-pinene),0.068,0.180,0.050,0.052,0.048,0.133,0.045,0.043,0.078,0.075,0.099,0.087,0.079,0.046,0.089,0.067,0.045,0.029,0.052,0.115
45,"1,3,5-Trimethylbenzene (47)",0.219,0.173,0.205,0.243,0.190,0.189,0.216,0.174,0.201,0.215,0.386,0.300,0.221,0.215,0.229,0.222,0.319,0.282,0.261,0.052
46,o-Ethyltoluene,0.234,0.194,0.222,0.282,0.224,0.213,0.249,0.198,0.227,0.249,0.361,0.305,0.243,0.243,0.254,0.248,0.342,0.329,0.292,0.067
47,"1,2,4-Trimethylbenzene (48)",0.807,0.664,0.792,0.948,0.774,0.737,0.900,0.683,0.788,0.885,1.360,1.122,0.855,0.887,0.916,0.902,1.252,1.184,1.060,0.200
48,"1,2,3-Trimethylbenzene (50)",0.252,0.199,0.226,0.254,0.208,0.206,0.241,0.185,0.221,0.236,0.347,0.292,0.235,0.227,0.238,0.233,0.314,0.292,0.268,0.086
49,n-Undecane (51),0.740,0.555,0.581,1.193,0.603,0.573,0.697,0.526,0.684,0.630,0.812,0.721,0.691,0.600,0.668,0.634,0.816,0.916,0.750,0.241
50,m-Diethylbenzene,0.108,0.089,0.082,0.084,0.064,0.069,0.080,0.060,0.079,0.077,0.090,0.083,0.080,0.069,0.076,0.073,0.092,0.087,0.081,0.044
51,p-Diethylbenzene,0.219,0.182,0.187,0.228,0.172,0.180,0.217,0.174,0.195,0.213,0.279,0.246,0.205,0.206,0.222,0.214,0.279,0.266,0.243,0.092
※  平成22年度まで「低沸点VOC」としてPAMSの後に配していた4物質を、先頭に配した （番号は、PAMSを従来どおりとしたため、「V1」などとした。）。,,,,,,,,,,,,,,,,,,,,,
,（BVOC）,,,,,,,,,,,,,,,,,,,,
1,α-pinene,0.158,0.375,0.188,0.195,0.239,0.650,0.222,0.127,0.269,0.352,0.417,0.385,0.292,0.207,0.347,0.277,0.234,0.154,0.236,1.860
2,Camphene,< 0.07,< 0.07,< 0.07,< 0.07,< 0.07,< 0.07,< 0.07,< 0.07,< 0.07,< 0.07,0.070,< 0.07,< 0.07,< 0.07,< 0.07,< 0.07,< 0.07,< 0.07,< 0.07,0.224
3,β-pinene,0.055,0.146,0.040,0.041,0.037,0.106,0.036,0.034,0.062,0.061,0.079,0.070,0.063,0.037,0.072,0.055,0.035,< 0.03,0.042,0.091
4,Limonene,0.093,0.147,0.112,0.101,0.092,0.146,0.102,0.083,0.109,0.144,0.128,0.136,0.115,0.131,0.188,0.160,0.126,0.096,0.135,0.265
