テナントID,所在地,特定テナント等事業者名称（会社名）,特定テナント等事業所名称（支店名等）,特定テナントが入居する事業所名称,総合評価
2051-02,千代田区神田淡路町二丁目101番地,株式会社ＮＳＤ,株式会社ＮＳＤ,ワテラス,AA評価
2056-02,中央区京橋三丁目1番1号,株式会社ブリヂストン,東京スクエアガーデン,東京スクエアガーデン,S評価
2056-04,中央区京橋三丁目1番1号,東芝三菱電機産業システム株式会社,東京スクエアガーデン,東京スクエアガーデン,AA評価
2066-02,千代田区大手町一丁目５番５号,株式会社 みずほ銀行,みずほ銀行 大手町本部,大手町タワー,AA評価
2068-01,千代田区大手町一丁目７番１号,国立研究開発法人日本医療研究開発機構,国立研究開発法人日本医療研究開発機構,読売新聞ビル,AA評価
2069-01,江東区豊洲三丁目2番24号,ＭＸモバイリング株式会社,ＭＸモバイリング株式会社 本社,豊洲フォレシア,AA評価
2069-02,江東区豊洲三丁目2番24号,ルネサス エレクトロニクス株式会社,本社,豊洲フォレシア,S評価
2069-03,江東区豊洲三丁目2番24号,農林中央金庫,農林中央金庫,豊洲フォレシア,AA評価
2069-04,江東区豊洲三丁目2番24号,SCSK株式会社,豊洲ﾌｫﾚｼｱ,豊洲フォレシア,AA評価
2071-01,新宿区西新宿六丁目13番1号,SOMPOひまわり生命保険株式会社,本社,住友不動産新宿セントラルパークビル,AA評価
2072-01,千代田区富士見二丁目１０番２号,株式会社インターネットイニシアティブ,本社,飯田橋グラン・ブルーム,AA評価
2072-03,千代田区富士見二丁目１０番２号,株式会社ドコモＣＳ,飯田橋グラン・ブルーム,飯田橋グラン・ブルーム,A評価
2072-04,千代田区富士見二丁目１０番２号,大王製紙株式会社,東京本社,飯田橋グラン・ブルーム,AAA評価
2074-01,港区虎ノ門一丁目２３番１号,株式会社ＡＤＫホールディングス,株式会社ＡＤＫホールディングス,虎ノ門ヒルズ,AA評価
2074-02,港区虎ノ門一丁目２３番１号,ウォルト・ディズニー・ジャパン株式会社,ウォルト・ディズニー・ジャパン株式会社,虎ノ門ヒルズ,AAA評価
2074-03,港区虎ノ門一丁目２３番１号,日本ビジネスシステムズ株式会社,日本ビジネスシステムズ株式会社,虎ノ門ヒルズ,AA評価
2074-04,港区虎ノ門一丁目２３番１号,ノバルティス ファーマ株式会社,東京本社,虎ノ門ヒルズ,S評価
2074-05,港区虎ノ門一丁目２３番１号,シンプレクス株式会社,シンプレクス株式会社,虎ノ門ヒルズ,A評価
2074-06,港区虎ノ門一丁目２３番１号,NHN JAPAN株式会社,本社,虎ノ門ヒルズ,S評価
2076-01,品川区北品川六丁目７番２９号,スリーエム ジャパン イノベーション株式会社,本社,ガーデンシティ品川御殿山,S評価
2076-03,品川区北品川六丁目７番２９号,株式会社 日本総合研究所,株式会社 日本総合研究所 大崎第二オフィス,ガーデンシティ品川御殿山,A評価
2085-01,品川区北品川五丁目6番1号,株式会社かんぽ生命保険,株式会社かんぽ生命保険 東京サービスセンター,大崎ブライトタワー,AAA評価
2086-01,千代田区丸の内一丁目３番２号,三井住友ファイナンス＆リース株式会社,東京本社,三井住友銀行東館,AA評価
2087-01,東京都港区西新橋一丁目3番1号,日本水産株式会社,本社,西新橋スクエア,AAA評価
2087-02,東京都港区西新橋一丁目3番1号,三菱ＨＣキャピタル株式会社,三菱ＨＣキャピタル株式会社,西新橋スクエア,AA評価
2088-03,港区港南一丁目２番７0号,日立金属株式会社,日立金属株式会社,品川シーズンテラス,AAA評価
2088-05,港区港南一丁目２番７0号,ジブラルタ生命保険株式会社,ジブラルタ生命保険株式会社,品川シーズンテラス,AA評価
2088-06,港区港南一丁目２番７0号,ロシュ・ダイアグノスティックス株式会社,ロシュ・ダイアグノスティックス株式会社,品川シーズンテラス,AA評価
2088-07,港区港南一丁目２番７0号,NTTファイナンス株式会社,NTTファイナンス株式会社,品川シーズンテラス,A評価
2091-01,新宿区歌舞伎町一丁目19番1号,TOHOシネマズ株式会社,新宿東宝ビル,新宿東宝ビル,AA評価
2091-02,新宿区歌舞伎町一丁目19番1号,藤田観光株式会社,新宿東宝ビル,新宿東宝ビル,AA評価
2092-02,中央区日本橋二丁目7番1号,サイボウズ株式会社,本社,東京日本橋タワー,AA評価
2096-06,大田区東海一丁目3-6,三菱食品株式会社,CVS本部 運営管理第三グループ 関東運営Ｃユニット 大田低温DC,プロロジスパーク東京大田,A評価
2098-01,東京都中央区京橋二丁目1番3号,株式会社クボタ,株式会社クボタ 東京本社,京橋トラストタワー,AAA評価
2098-02,東京都中央区京橋二丁目1番3号,森トラスト・ホテルズ＆リゾーツ株式会社,コートヤード・バイ・マリオット東京ステーション,京橋トラストタワー,AA評価
2099-01,世田谷区玉川一丁目14番1号,楽天グループ株式会社,二子玉川ライズⅡ-a街区,二子玉川ライズⅡ-a街区,AAA評価
2101-01,日野市多摩平二丁目４番１号,イオンリテール株式会社,イオンスタイル多摩平の森,イオンモール多摩平の森,AA評価
2106-02,新宿区大久保三丁目8番2号,株式会社ジェーシービー,高田馬場オフィス,住友不動産新宿ガーデンタワー,AA評価
2106-03,新宿区大久保三丁目8番2号,株式会社ＪＲ東日本情報システム,本社,住友不動産新宿ガーデンタワー,AA評価
2106-04,新宿区大久保三丁目8番2号,ＭＳ＆ＡＤシステムズ株式会社,本社,住友不動産新宿ガーデンタワー,S評価
2107-02,港区六本木三丁目2番1号,株式会社テレビ東京ホールディングス,株式会社テレビ東京ホールディングス 本社,住友不動産六本木グランドタワー,A評価
2107-03,港区六本木三丁目2番1号,特許庁,特許庁六本木仮庁舎,住友不動産六本木グランドタワー,AAA評価
2107-04,港区六本木三丁目2番1号,合同会社ＤＭＭ．ｃｏｍ,本社,住友不動産六本木グランドタワー,A評価
2108-01,千代田区大手町一丁目1番2号,ＥＮＥＯＳ株式会社,ＥＮＥＯＳ株式会社,大手門タワー・ENEOSビル,AA評価
2108-02,千代田区大手町一丁目1番2号,ＥＮＥＯＳ不動産株式会社,ＥＮＥＯＳ不動産株式会社,大手門タワー・ENEOSビル,AAA評価
2108-03,千代田区大手町一丁目1番2号,西村あさひ法律事務所,西村あさひ法律事務所,大手門タワー・ENEOSビル,AA評価
