テナントID,所在地,特定テナント等事業者名称（会社名）,特定テナント等事業所名称（支店名等）,特定テナントが入居する事業所名称,総合評価
0249-02,港区芝三丁目２３番１号,株式会社三井不動産ホテルマネジメント,ホテル ザ セレスティン東京芝,セレスティン芝三井ビルディング,A評価
0250-01,千代田区丸の内一丁目８番１号,Shangri-La Hotels Japan 株式会社,丸の内トラストシティ,丸の内トラストシティ,A評価
0250-02,千代田区丸の内一丁目８番１号,JCOM株式会社,JCOM株式会社,丸の内トラストシティ,AA評価
0250-03,千代田区丸の内一丁目８番１号,ブラックロック・ジャパン株式会社,ブラックロック・ジャパン株式会社,丸の内トラストシティ,AA評価
0263-02,昭島市田中町５６２番地１,株式会社松竹マルチプレックスシアターズ,ＭＯＶＩＸ昭島,モリタウン,AA評価
0263-03,昭島市田中町５６２番地１,株式会社 イトーヨーカ堂,イトーヨーカ堂 昭島店,モリタウン,AAA評価
0266-01,武蔵野市吉祥寺本町一丁目１１番５号、吉祥寺本町一丁目８番１６号,三菱商事都市開発株式会社,コピス吉祥寺事業所,武蔵野市開発公社ビル,AA評価
0272-01,中央区日本橋一丁目４番１号,伊藤忠丸紅鉄鋼株式会社,伊藤忠丸紅鉄鋼株式会社,日本橋一丁目三井ビルディング,AA評価
0272-02,中央区日本橋一丁目４番１号,ＢｏｆＡ証券株式会社,ＢｏｆＡ証券株式会社 本社,日本橋一丁目三井ビルディング,AAA評価
0273-01,港区海岸三丁目２２番２３号,ＮＥＣネッツエスアイ株式会社,ＭＳＣセンタービル,ＭＳＣセンタービル,S評価
0277-02,品川区東品川四丁目12番５号,イオンリテール株式会社,イオンスタイル品川シーサイド,品川シーサイドフォレスト店舗棟・業務A棟・業務B棟,AAA評価
0277-03,品川区東品川四丁目12番４号,エヌ・ティ・ティ・コムウェア株式会社,エヌ・ティ・ティ・コムウェア株式会社 テレコムビジネス事業本部,品川シーサイドフォレスト店舗棟・業務A棟・業務B棟,S評価
0277-04,品川区東品川四丁目12番４号,ビッグローブ株式会社,品川オフィス,品川シーサイドフォレスト店舗棟・業務A棟・業務B棟,AA評価
0277-05,品川区東品川四丁目12番７号,株式会社日立ソリューションズ,日立ソリューションズタワー,品川シーサイドフォレスト店舗棟・業務A棟・業務B棟,AAA評価
0277-06,品川区東品川四丁目12番６号,株式会社 日立ソリューションズ・クリエイト,品川シーサイドキャナルタワー,品川シーサイドフォレスト店舗棟・業務A棟・業務B棟,AAA評価
0279-01,中央区明石町８番１号,三機工業株式会社,聖路加ガーデン,聖路加ガーデン,AAA評価
0279-02,中央区明石町８番１号,IHI運搬機械株式会社,聖路加ガーデン,聖路加ガーデン,AA評価
0279-04,中央区明石町８番１号,銀座クレストン(ホテルマネージメントインターナショナル株式会社),聖路加ガーデン,聖路加ガーデン,AAA評価
0284-03,府中市日鋼町１番地１,三菱ＵＦＪ信託銀行株式会社,三菱ＵＦＪ信託銀行 証券代行部,ヒューリック府中タワー,A評価
0294-03,大田区平和島二丁目１番１号,ＮＸトランスポート株式会社 京浜支店,日本自動車ターミナル株式会社 京浜トラックターミナル,京浜トラックターミナル,AA評価
0296-02,港区港南二丁目１８番１号,ダイキン工業株式会社,東京支社,ＪＲ品川イーストビル,S評価
0296-03,港区港南二丁目１８番１号,株式会社ゼンショーホールディングス,株式会社ゼンショーホールディングス,ＪＲ品川イーストビル,A評価
0296-04,港区港南二丁目１８番１号,株式会社日立製作所,株式会社日立製作所 デジタルシステム&サービス統括本部,ＪＲ品川イーストビル,A評価
0299-01,港区港南二丁目１７番１号,株式会社電通国際情報サービス,本社,京王品川ビル,AAA評価
0304-01,世田谷区太子堂四丁目１番１号,株式会社東急ストア,三軒茶屋東急ストア,キャロットタワー,AAA評価
0321-01,品川区大崎一丁目６番１号～６号,ＨＲＴニューオータニ株式会社,ニューオータニイン東京,大崎ニュー・シティ,AAA評価
0325-01,新宿区戸塚町一丁目１０４番地１９,株式会社リーガロイヤルホテル東京,株式会社リーガロイヤルホテル東京,１００周年記念信託事業館,AA評価
0343-01,新宿区西新宿六丁目５番１号,株式会社 日本設計,株式会社 日本設計,新宿アイランドタワー,AAA評価
0343-02,新宿区西新宿六丁目５番１号,日本マクドナルド株式会社,日本マクドナルド㈱ 本社,新宿アイランドタワー,AAA評価
0343-03,新宿区西新宿六丁目５番１号,ブリストル・マイヤーズ スクイブ株式会社,東京本社,新宿アイランドタワー,AA評価
0343-04,新宿区西新宿六丁目５番１号,独立行政法人都市再生機構 東日本都市再生本部,独立行政法人都市再生機構 東日本都市再生本部,新宿アイランドタワー,A評価
0345-01,品川区勝島二丁目１番２号,特別区競馬組合,大井競馬場,大井競馬場,A評価
0345-02,品川区勝島二丁目１番２号,株式会社東京プロパティサービス,大井競馬場,大井競馬場,AA評価
0348-01,台東区花川戸一丁目４番１号,株式会社 松屋,株式会社 松屋 浅草店,東武ビル,AAA評価
0349-01,千代田区有楽町一丁目１番３号,阪急電鉄株式会社,東京宝塚劇場,東京宝塚ビル,AA評価
0354-01,江東区豊洲一丁目１番１号,ユニアデックス株式会社,本社ビル,豊洲ＯＮビル,AA評価
0354-02,江東区豊洲一丁目１番１号,ＢＩＰＲＯＧＹ株式会社,本社ビル,豊洲ＯＮビル,S評価
0359-02,品川区上大崎三丁目1番1号,株式会社ＪＲ東日本ビルディング,ＪＲ東急目黒ビル,JR東急目黒ビル,AAA評価
0361-01,新宿区西新宿一丁目１番４号,株式会社 京王百貨店,京王百貨店 新宿ビル,京王百貨店新宿ビル,AA評価
0377-02,渋谷区代々木二丁目１番１号,積水ハウス株式会社,積水ハウス株式会社,新宿マインズタワー,AA評価
0377-03,渋谷区代々木二丁目１番１号,トレンドマイクロ株式会社,東京本社,新宿マインズタワー,AA評価
0377-04,渋谷区代々木二丁目１番１号,JR東日本メカトロニクス株式会社,JR東日本メカトロニクス株式会社,新宿マインズタワー,S評価
0385-01,中央区築地五丁目３番２号,株式会社 朝日プリンテック,株式会社 朝日プリンテック 本社及び築地工場,朝日新聞東京本社,AA評価
0390-01,大田区東海五丁目３番５号,株式会社 マルハニチロ物流,マルハニチロ物流 大井第二物流センター,東京水産ターミナル冷蔵倉庫,AA評価
0390-02,大田区東海五丁目３番５号,株式会社ナカムラロジスティクス,株式会社ナカムラロジスティクス 大井物流センター,東京水産ターミナル冷蔵倉庫,AA評価
0390-03,大田区東海五丁目３番５号,日水物流株式会社,日水物流株式会社 大井物流センター,東京水産ターミナル冷蔵倉庫,AA評価
0390-04,大田区東海五丁目３番５号,株式会社ホウスイ,大井冷蔵庫,東京水産ターミナル冷蔵倉庫,AA評価
0390-05,大田区東海五丁目３番５号,株式会社ニチレイ・ロジスティクス関東,株式会社ニチレイ・ロジスティクス関東 大井物流センター,東京水産ターミナル冷蔵倉庫,A評価
0390-06,大田区東海五丁目３番５号,株式会社ユニエツクスNCT,株式会社ユニエツクスNCT 大井冷蔵営業所,東京水産ターミナル冷蔵倉庫,A評価
0390-08,大田区東海五丁目３番５号,株式会社 三協,株式会社 三協 ロジスティクス一部大井冷凍営業所,東京水産ターミナル冷蔵倉庫,A評価
0390-09,大田区東海五丁目３番５号,五十嵐冷蔵株式会社,大井物流センター,東京水産ターミナル冷蔵倉庫,AAA評価
0390-10,大田区東海五丁目３番５号,株式会社 二葉,株式会社 二葉 大井冷凍物流センター,東京水産ターミナル冷蔵倉庫,AAA評価
0392-01,多摩市関戸一丁目１０番地１,株式会社 京王アートマン,京王聖蹟桜ヶ丘ショッピングセンター,京王聖蹟桜ヶ丘ショッピングセンター,AAA評価
0392-02,多摩市関戸一丁目１０番地１,株式会社京王百貨店,京王聖蹟桜ヶ丘ショッピングセンター,京王聖蹟桜ヶ丘ショッピングセンター,A評価
0396-01,新宿区西新宿二丁目２番１号,株式会社京王プラザホテル,京王プラザホテル新宿,京王プラザホテル新宿,AAA評価
0398-03,品川区東品川二丁目４番１１号,キヤノンＩＴソリューションズ株式会社,天王洲事業所,野村不動産天王洲ビル,AAA評価
0404-01,新宿区西新宿六丁目６番２号,日本ヒルトン株式会社,ヒルトン東京,新宿国際ビルディング本館・新館,AA評価
0408-01,新宿区西新宿三丁目２番９号,藤田観光株式会社,新宿ワシントンホテル,新宿ワシントンホテルビル・新館,AAA評価
0408-02,新宿区西新宿三丁目２番９号,ワシントン・コンドミニアム株式会社,新宿ワシントンホテル新館,新宿ワシントンホテルビル・新館,AA評価
0411-05,品川区勝島一丁目５番２１号,ノードソン株式会社,ノードソン株式会社,三井物産グローバルロジスティクス株式会社 勝島事業所,A評価
0411-06,品川区勝島一丁目５番２１号,東神倉庫株式会社,東神倉庫㈱勝島本社,三井物産グローバルロジスティクス株式会社 勝島事業所,AA評価
0412-02,文京区本駒込二丁目２８番８号他,ＫＤＤＩ株式会社,文京グリーンコート,文京グリーンコート,S評価
0412-03,文京区本駒込二丁目２８番８号他,独立行政法人情報処理推進機構,独立行政法人情報処理推進機構,文京グリーンコート,A評価
0418-01,渋谷区道玄坂一丁目１２番１号,株式会社関東東急ホテルズ,渋谷エクセルホテル東急,株式会社 渋谷マークシティ,S評価
0440-01,新宿区西新宿二丁目７番,株式会社ホテル小田急,新宿小田急第一生命共同ビルディング,新宿小田急第一生命共同ビルディング,AA評価
0448-01,大田区蒲田五丁目３７番１号,ニッセイ情報テクノロジー株式会社,本社,アロマ スクエア,AA評価
0448-02,大田区蒲田五丁目３７番１号,ソニー損害保険株式会社,本社,アロマ スクエア,AA評価
0448-03,大田区蒲田五丁目３７番１号,富士通株式会社,ニッセイアロマスクエア,アロマ スクエア,AAA評価
0452-01,渋谷区渋谷二丁目１５番１号,ビジョナル株式会社,ビジョナル株式会社,渋谷クロスタワー,A評価
0454-01,新宿区西新宿一丁目６番１号,株式会社 三菱UFJ銀行,新宿エルタワー,新宿エルタワー,AAA評価
0455-01,港区芝浦一丁目１番１号,株式会社 東芝,本社事務所,浜松町ビルディング/東芝ビルディング・東芝浜松町ビル,S評価
0455-02,港区芝浦一丁目１番１号,コスモエネルギーホールディングス株式会社,本社事務所,浜松町ビルディング/東芝ビルディング・東芝浜松町ビル,AAA評価
0455-03,港区芝浦一丁目１番１号,コニカミノルタジャパン株式会社,浜松町本社ビル,浜松町ビルディング/東芝ビルディング・東芝浜松町ビル,AAA評価
0455-04,港区芝浦一丁目１番１号,シミックホールディングス株式会社,シミックホールディングス株式会社,浜松町ビルディング/東芝ビルディング・東芝浜松町ビル,AA評価
0458-02,府中市日新町一丁目１０番地,ＮＥＣスペーステクノロジー株式会社,ＮＥＣスペーステクノロジー株式会社,日本電気株式会社 府中事業場,AAA評価
0458-03,府中市日新町一丁目１０番地,ＮＥＣネットワーク・センサ株式会社,府中事業所,日本電気株式会社 府中事業場,AA評価
0471-01,新宿区新宿三丁目２９番１号,株式会社 ビックカメラ,ビックロ ビックカメラ新宿東口店,株式会社三越伊勢丹 ＭＩ新宿ビル本館,AAA評価
0471-02,新宿区新宿三丁目２９番１号,株式会社 ユニクロ,ビックロ ユニクロ新宿東口店,株式会社三越伊勢丹 ＭＩ新宿ビル本館,A評価
0473-01,江東区豊洲三丁目３番３号,株式会社エヌ・ティ・ティ・データ,豊洲センタービル,豊洲センタービル,S評価
0485-01,品川区東大井五丁目１８番１号,株式会社ヤマダデンキ,LABI品川大井町,大井町再開発ビル １・２号棟,A評価
0488-01,品川区東品川二丁目２番８号,ソフトバンク株式会社,ソフトバンク株式会社,スフィアタワー天王洲,AA評価
0499-01,中央区日本橋箱崎町19番21号,日本アイ・ビー・エム株式会社,日本アイ・ビー・エム株式会社 本社事業所,日本アイ・ビー・エム株式会社本社事業所（三井倉庫箱崎ビル）,S評価
0514-01,江東区永代一丁目１４番５号,日本中央競馬会,総合計算センター,永代ダイヤビルディング,A評価
0520-01,港区芝五丁目７番１号,日本電気株式会社,日本電気本社ビル,日本電気本社ビル,AAA評価
0525-01,新宿区西新宿三丁目２０番２号,住友三井オートサービス株式会社,東京本社,東京オペラシティビル,AA評価
0525-03,新宿区西新宿三丁目２０番２号,東日本電信電話株式会社,東日本電信電話株式会社,東京オペラシティビル,S評価
0525-04,新宿区西新宿三丁目２０番２号,サノフィ株式会社,サノフィ株式会社,東京オペラシティビル,S評価
0525-06,新宿区西新宿三丁目２０番２号,マニュライフ生命保険株式会社,本社,東京オペラシティビル,A評価
0525-07,新宿区西新宿三丁目２０番２号,株式会社グリーンハウス,株式会社グリーンハウス,東京オペラシティビル,AAA評価
0527-03,港区芝浦一丁目２番１号,兼松株式会社,兼松株式会社,シーバンス（芝浦NSP）,A評価
0527-05,港区芝浦一丁目２番３号,シャープ株式会社,シーバンス（ＮＳＰ）,シーバンス（芝浦NSP）,AAA評価
0527-06,東京都港区芝浦一丁目２番１号　,ＵＢＥ株式会社,東京本社,シーバンス（芝浦NSP）,AA評価
0527-09,港区芝浦一丁目２番３号,ＪＦＥシステムズ株式会社,シーバンス（芝浦ＮＳＰ）,シーバンス（芝浦NSP）,AA評価
0530-01,練馬区光が丘五丁目１番１号,株式会社西友,株式会社西友 ＬＩＶＩＮ光が丘店,光が丘ＩＭＡ中央館,AA評価
0530-02,練馬区光が丘五丁目１番１号,イオンリテールストア株式会社,イオン練馬店,光が丘ＩＭＡ中央館,AAA評価
0544-01,千代田区有楽町一丁目11番1号,株式会社 ビックカメラ,ビックカメラ 有楽町店,ビックカメラ有楽町店,S評価
0547-01,あきる野市上代継白岩６００番地,株式会社東京サマーランド,東京サマーランド,東京サマーランド,AA評価
0551-01,文京区後楽一丁目３番６１号,株式会社 東京ドームホテル,東京ドームホテル,東京ドームシティ,AAA評価
0551-02,文京区後楽一丁目３番６１号,日本中央競馬会,後楽園場外勝馬投票券発売所（ウインズ後楽園）,東京ドームシティ,A評価
0559-01,港区港南一丁目９番３６号,株式会社ＮＴＴドコモ,アレア品川ビル,ＮＴＴＤＡＴＡ品川ビル,AAA評価
0565-01,大田区羽田空港三丁目３番２号,日本航空株式会社,東京空港支店,第１旅客ターミナルビル,AAA評価
0565-02,大田区羽田空港三丁目３番２号,全日本空輸株式会社,全日本空輸株式会社,第１旅客ターミナルビル,AAA評価
0565-03,大田区羽田空港三丁目３番２号,東京エアポートレストラン株式会社,第1ターミナルビル,第１旅客ターミナルビル,AA評価
0566-02,港区港南二丁目１６番１号,株式会社ベストグローバル,ストリングスホテル東京インターコンチネンタル,品川イーストワンタワー,AA評価
0566-03,港区港南二丁目１６番１号,株式会社マクロミル,株式会社マクロミル 本社,品川イーストワンタワー,AA評価
0566-05,港区港南二丁目１６番１号,大東建託株式会社,大東建託株式会社 本社,品川イーストワンタワー,S評価
0568-01,千代田区有楽町二丁目５番１号,株式会社 阪急阪神百貨店,有楽町センタービル,有楽町センタービル,AA評価
0568-02,千代田区有楽町二丁目５番１号,株式会社ルミネ,ルミネ有楽町店,有楽町センタービル,AA評価
0573-01,豊島区西池袋一丁目１番25号,株式会社東武百貨店,株式会社東武百貨店 池袋店（本館・中央館・別館）,東武会館（新館・本館・中央館・別館）,AAA評価
0575-01,新宿区西新宿一丁目２５番１号,大成建設株式会社,新宿センタービル,新宿センタービル,AAA評価
0579-06,千代田区霞が関三丁目２番５号,伊藤忠エネクス株式会社,伊藤忠エネクス株式会社 本社,霞が関ビル 東京倶楽部ビル,AAA評価
0587-01,大田区羽田空港三丁目２番,日本通運株式会社,羽田空港支店,航空貨物ターミナル施設・東側,A評価
0587-02,大田区羽田空港三丁目２番,ヤマト運輸株式会社,羽田空港支店,航空貨物ターミナル施設・東側,A評価
0587-03,大田区羽田空港三丁目２番,全日本空輸株式会社,全日本空輸株式会社,航空貨物ターミナル施設・東側,S評価
0590-10,中央区晴海一丁目８番,コナミビジネスエキスパート株式会社,コナミ合同オフィス,晴海アイランドトリトンスクエアスーパーブロック,A評価
0590-11,中央区晴海一丁目８番,株式会社エヌ・ティ・ティ・データ,株式会社エヌ・ティ・ティ・データ,晴海アイランドトリトンスクエアスーパーブロック,A評価
0590-12,中央区晴海一丁目８番,アクセンチュア株式会社,東京ソリューションセンター,晴海アイランドトリトンスクエアスーパーブロック,AAA評価
0601-01,中央区銀座三丁目２番１号,株式会社マロニエゲート,読売銀座ビル 本館・別館,読売銀座ビル本館・別館,AAA評価
0605-01,千代田区内幸町二丁目２番３号,JFEスチール株式会社,JFEスチール株式会社,日比谷国際ビル,A評価
0605-03,千代田区内幸町二丁目２番３号,株式会社ＪＥＲＡ,東日本支社,日比谷国際ビル,A評価
0606-01,千代田区有楽町一丁目12番１号,預金保険機構,預金保険機構,新有楽町ビル・有楽町ビル,A評価
0608-04,千代田区丸の内三丁目３番１号,デロイト トーマツ コーポレート ソリューション合同会社,新東京ビル,新東京ビル,AAA評価
0610-01,新宿区西新宿二丁目３番１号,オリンパス株式会社,本社事業所,新宿モノリス,AAA評価
0610-02,新宿区西新宿二丁目３番１号,東急住宅リース株式会社,本社,新宿モノリス,AA評価
0611-01,新宿区西新宿三丁目７番１号,損害保険料率算出機構,本部及び東京第三自賠責損害調査事務所,新宿パークタワー,AA評価
0611-02,新宿区西新宿三丁目７番１号,パークタワーホテル株式会社,パークハイアット東京,新宿パークタワー,AA評価
0611-05,新宿区西新宿三丁目７番１号,日本ロレアル株式会社,新宿パークタワー,新宿パークタワー,S評価
0611-07,新宿区西新宿三丁目７番１号,東京ガスコミュニケーションズ株式会社,東京ガスコミュニケーションズ株式会社,新宿パークタワー,A評価
0611-08,新宿区西新宿三丁目７番１号,東亜建設工業株式会社,東亜建設工業株式会社,新宿パークタワー,AA評価
0613-01,世田谷区玉川三丁目17番１号,株式会社?島屋,株式会社?島屋 玉川店,玉川?島屋ショッピングセンター,AAA評価
0621-01,新宿区西新宿六丁目２２番１号,株式会社日水コン,新宿スクエアタワー,新宿スクエアタワー,A評価
0625-01,墨田区横網一丁目６番１号,株式会社第一ホテル両国,株式会社第一ホテル両国,国際ファッションセンタービル,AAA評価
0646-02,新宿区西新宿二丁目１番１号,株式会社カプコン,東京支店,新宿三井ビルディング,A評価
0646-03,新宿区西新宿二丁目１番１号,アフラック生命保険株式会社,新宿三井ビルディング,新宿三井ビルディング,S評価
0646-04,新宿区西新宿二丁目１番１号,株式会社ＪＴＢ,株式会社ＪＴＢ,新宿三井ビルディング,AAA評価
0659-01,江東区有明三丁目７番１１号,藤田観光株式会社,東京ベイ有明ワシントンホテル,有明パークビル,AA評価
0659-02,江東区有明三丁目７番１１号,株式会社IDCフロンティア,東京有明第１データセンター,有明パークビル,AA評価
0661-02,江東区青海二丁目４番３２号,株式会社 TOKYO GLOBAL GATEWAY,TOKYO GLOBAL GATEWAY,タイム24ビル,A評価
0669-03,千代田区大手町一丁目５番１号,みずほ証券株式会社,みずほ証券株式会社,大手町ファーストスクエア,A評価
0669-04,千代田区大手町一丁目５番１号,日本電信電話株式会社,本社,大手町ファーストスクエア,AA評価
0673-01,品川区大崎一丁目１１番１号,富士電機株式会社,富士電機株式会社 本社,ゲートシティ大崎,AAA評価
0673-02,品川区大崎一丁目１１番１号,株式会社ローソン,本社,ゲートシティ大崎,AA評価
0673-04,品川区大崎一丁目１１番１号,株式会社サンリオ,株式会社サンリオ 本社,ゲートシティ大崎,AA評価
0673-06,品川区大崎一丁目１１番１号,株式会社日立システムズ,本社第二別館,ゲートシティ大崎,AAA評価
0673-07,品川区大崎一丁目１１番１号,アドビ株式会社,アドビ株式会社,ゲートシティ大崎,AAA評価
0673-10,品川区大崎一丁目１１番１号,東芝テック株式会社,本社,ゲートシティ大崎,S評価
0679-01,杉並区上荻一丁目９番１号,株式会社西友,株式会社西友 荻窪店,荻窪タウンセブンビル,AA評価
0681-01,港区六本木六丁目１０番１号,ＴＯＨＯシネマズ株式会社,ＴＯＨＯシネマズ六本木ヒルズ,六本木ヒルズ（六本木ヒルズ森タワー、グランドハイアット東京、けやき坂コンプレックス）,AAA評価
0681-02,港区六本木六丁目１０番１号,バークレイズ・サービセス・ジャパン・リミテッド,バークレイズ・サービセス・ジャパン・リミテッド,六本木ヒルズ（六本木ヒルズ森タワー、グランドハイアット東京、けやき坂コンプレックス）,AAA評価
0681-05,港区六本木六丁目１０番１号,グーグル合同会社,グーグル合同会社,六本木ヒルズ（六本木ヒルズ森タワー、グランドハイアット東京、けやき坂コンプレックス）,AAA評価
0681-06,港区六本木六丁目１０番１号,株式会社 森ビルホスピタリティコーポレーション,六本木ヒルズ（六本木ヒルズ森タワー、グランドハイアット東京、けやき坂コンプレックス）,六本木ヒルズ（六本木ヒルズ森タワー、グランドハイアット東京、けやき坂コンプレックス）,AA評価
0681-07,港区六本木六丁目１０番１号,ゴールドマン・サックス・ジャパン・サービス株式会社,ゴールドマン・サックス・ジャパン・サービス株式会社,六本木ヒルズ（六本木ヒルズ森タワー、グランドハイアット東京、けやき坂コンプレックス）,AAA評価
0681-10,港区六本木六丁目１０番１号,グリー株式会社,グリー株式会社,六本木ヒルズ（六本木ヒルズ森タワー、グランドハイアット東京、けやき坂コンプレックス）,S評価
0681-12,港区六本木六丁目１０番１号,株式会社メルカリ,東京オフィス,六本木ヒルズ（六本木ヒルズ森タワー、グランドハイアット東京、けやき坂コンプレックス）,AAA評価
0686-02,港区赤坂一丁目１２番３２号,株式会社カネカ,東京本社,アーク森ビル,AAA評価
0686-06,港区赤坂一丁目１２番３２号,株式会社Works Human Intelligence,アーク森ビル,アーク森ビル,A評価
0697-01,港区高輪四丁目10番18号,IQVIAサービシーズジャパン株式会社,IQVIAサービシーズジャパン株式会社,京急第１ビル,AA評価
0697-02,港区高輪四丁目10番18号,株式会社京急百貨店,京急ショッピングプラザ ウィング高輪ＷＥＳＴ,京急第１ビル,AA評価
0698-01,千代田区内幸町一丁目１番３号,東京電力ホールディングス株式会社,東京電力ホールディングス株式会社,東京電力パワーグリッド株式会社 本社本館,A評価
0717-01,港区東新橋一丁目５番２号,ANAホールディングス株式会社,ＡＮＡホールディングス株式会社,汐留シティセンター,S評価
0717-02,港区東新橋一丁目５番２号,三井化学株式会社,本社,汐留シティセンター,AAA評価
0717-04,港区東新橋一丁目５番２号,富士通株式会社,汐留シティセンター,汐留シティセンター,AAA評価
0719-02,港区台場一丁目７番１号,ユナイテッド・シネマ株式会社,ユナイテッド・シネマ アクアシティお台場,アクアシティお台場,AA評価
0740-01,立川市柴崎町三丁目２番１号,ジェイアール東日本商業開発株式会社,立川駅南口合体ビル,立川駅南口合体ビル,AAA評価
0744-09,大田区平和島六丁目１番１号,株式会社まつの,センタービル他,センタービル他,AAA評価
0744-10,大田区平和島六丁目１番１号,株式会社 サンゲツ,東京ロジスティクスセンター,センタービル他,AA評価
0756-01,中野区本町二丁目４６番１号,富士フイルムビジネスイノベーション株式会社,中野坂上事業所,中野坂上サンブライトツインビル,AA評価
0757-01,千代田区大手町一丁目７番２号,ソニー生命保険株式会社,東京中央ライフプランナーセンター,東京サンケイビル,A評価
0757-02,千代田区大手町一丁目７番２号,株式会社 産業経済新聞社,産経新聞 東京本社,東京サンケイビル,S評価
0759-01,渋谷区桜丘町２６番１号,株式会社セルリアンタワー東急ホテル,セルリアンタワー,セルリアンタワー,A評価
0759-02,渋谷区桜丘町２６番１号,GMOインターネットグループ株式会社,GMOインターネットグループ株式会社,セルリアンタワー,A評価
0764-01,港区港南二丁目１５番２号,株式会社 みずほ銀行,みずほ銀行品川インターシティ,品川インターシティ,A評価
0764-03,港区港南二丁目１５番３号,株式会社ニコン,株式会社ニコン 本社,品川インターシティ,AAA評価
0764-04,港区港南二丁目１５番３号,ＮＥＣキャピタルソリューション株式会社,本社,品川インターシティ,AA評価
0764-06,港区港南二丁目１５番1号,タキロンシーアイ株式会社,東京本社,品川インターシティ,AA評価
0770-01,町田市原町田六丁目９番７号,株式会社 ハンズ,株式会社 ハンズ 町田店,株式会社 東急百貨店 町田店,AAA評価
0786-02,渋谷区代々木二丁目２番１号,株式会社ホテル小田急サザンタワー,小田急サザンタワー,JR東日本本社ビル・小田急サザンタワー,AAA評価
0791-01,府中市住吉町五丁目１３番地１,キユーピータマゴ株式会社,キユーピータマゴ株式会社,キユーピー株式会社 中河原工場,AA評価
0791-02,府中市住吉町五丁目１３番地１,株式会社キユーソー流通システム,キユーピー株式会社 中河原工場,キユーピー株式会社 中河原工場,AA評価
0832-01,西東京市田無町二丁目１番１号,株式会社西友,株式会社西友 LIVIN田無店,ｱｽﾀﾋﾞﾙ,AAA評価
0835-01,八王子市高倉町９番１号,ＭＳ＆ＡＤ事務サービス株式会社,キーサイト・テクノロジー株式会社 本社・八王子事業所,キーサイト・テクノロジー株式会社 本社・八王子事業所,A評価
0835-02,八王子市高倉町９番１号,アジレント・テクノロジー株式会社,アジレント・テクノロジー株式会社 本社・八王子事業所,キーサイト・テクノロジー株式会社 本社・八王子事業所,AA評価
0854-01,渋谷区千駄ヶ谷五丁目24番２号,株式会社ハンズ,株式会社ハンズ新宿店,タイムズスクエアビル（株式会社?島屋新宿店）,AA評価
0879-01,渋谷区代々木三丁目２２番７号,ファイザー株式会社,ファイザー株式会社 本社,代々木三丁目タウン,AA評価
0879-02,渋谷区代々木三丁目２２番７号,ＫＤＤＩ株式会社,新宿文化クイントビル事業所,代々木三丁目タウン,AAA評価
0879-03,渋谷区代々木三丁目２２番７号,住友不動産株式会社,住友不動産株式会社,代々木三丁目タウン,AA評価
0886-01,台東区上野六丁目15番１号,株式会社 丸井,上野マルイ,上野マルイ,AA評価
0893-01,府中市片町三丁目２２番地,東芝デジタルソリューションズ株式会社,府中東芝ビル,府中東芝ビル,AAA評価
0894-01,葛飾区亀有三丁目26番１号,株式会社 イトーヨーカ堂,イトーヨーカドー 亀有駅前店,リリオ館,AAA評価
0894-02,葛飾区亀有三丁目26番１号,株式会社ニトリ,ニトリ亀有駅前店,リリオ館,A評価
0937-01,港区六本木一丁目６番１号,SBIホールディングス株式会社,SBIホールディングス株式会社,泉ガーデンタワー・泉ガーデンアネックス,A評価
0937-02,港区六本木一丁目６番１号,ＫＰＭＧ税理士法人,ＫＰＭＧ税理士法人,泉ガーデンタワー・泉ガーデンアネックス,AA評価
0937-03,港区六本木一丁目６番１号,住友不動産ヴィラフォンテーヌ株式会社,ヴィラフォンテーヌグランド東京六本木,泉ガーデンタワー・泉ガーデンアネックス,AA評価
0937-04,港区六本木一丁目６番１号,クレディ・スイス証券株式会社,クレディ・スイス証券株式会社,泉ガーデンタワー・泉ガーデンアネックス,AAA評価
0937-06,港区六本木一丁目６番１号,Indeed Japan 株式会社,六本木オフィス,泉ガーデンタワー・泉ガーデンアネックス,A評価
0945-01,豊島区西池袋一丁目１１番１号,株式会社東武百貨店,株式会社東武百貨店(プラザ館),メトロポリタンプラザ,AAA評価
0945-02,豊島区西池袋一丁目１１番１号,株式会社 ルミネ,株式会社ルミネ 池袋店,メトロポリタンプラザ,AAA評価
0946-03,豊島区東池袋三丁目1番1号,株式会社バンダイナムコアミューズメント,株式会社バンダイナムコアミューズメント,サンシャインシティ,A評価
0946-04,豊島区東池袋三丁目1番1号,株式会社三越伊勢丹,第３MDグループリーシング部 サンシャインシティアルタ,サンシャインシティ,AA評価
0946-05,豊島区東池袋三丁目1番1号,株式会社シーイーシー,株式会社シーイーシー,サンシャインシティ,AA評価
0946-08,豊島区東池袋三丁目1番1号,株式会社クレディセゾン,株式会社クレディセゾン,サンシャインシティ,A評価
0946-10,豊島区東池袋三丁目1番1号,コナミスポーツ株式会社,コナミスポーツ株式会社,サンシャインシティ,AA評価
0946-12,豊島区東池袋三丁目1番1号,株式会社日立プラントコンストラクション,株式会社日立プラントコンストラクション,サンシャインシティ,AA評価
0958-03,港区虎ノ門二丁目１０番１号,アルテリアネットワークス株式会社,アルテリアネットワークス株式会社,虎ノ門ツインビルディング,AA評価
