表8-3  物質別月別調査結果（極性物質＋BVOC）,,,,,,,,,,,,,,,,,,,,
"注） ・いずれも、測定精度が十分とはいえない。
・２桁への有効数字処理は行っていない。
・検出下限値未満の値は「<」で示し、年平均値算出には検出下限値の1/2を充てる。右側のppb換算値の検出下限値付近の値においては、μg/m3と表示が異なる場合がある。",,,,,,,,,,,,,,,,,,,,
1,IPA,,（Ｒｅｆ  測定精度が不十分）,,,,,,,基準値    ：,,,,,,,,分子量：,60.1,
,,,,,,,,,,定量下限値：,,0.15,μg/m3,(0.07 ppb),,,換算係数(→ppb）：,,0.400,
,,2022年度,,,,,,,,検出下限値：,,0.05,,(0.03 ppb),,,,(単位：ｐｐｂ）,,
測定地点（局）,,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,最大,最小,平 均,最大,最小,平 均,
,中央区晴海,< 0.05,3.227,1.159,0.866,2.209,0.419,1.100,2.298,2.436,4.732,1.156,0.789,4.732,< 0.05,1.701,1.893,< 0.03,0.681,
区,国設東京新宿,3.062,3.460,1.245,0.925,2.508,0.549,1.847,2.648,1.952,4.805,1.316,1.242,4.805,0.549,2.130,1.922,0.220,0.852,
部,目黒区碑文谷,2.825,3.401,1.134,0.977,2.614,0.614,2.236,2.541,2.352,4.179,1.205,1.044,4.179,0.614,2.094,1.672,0.246,0.837,
一,大田区東糀谷,2.456,3.566,1.477,1.040,1.569,0.392,1.393,2.583,2.869,4.878,0.856,1.250,4.878,0.392,2.028,1.951,0.157,0.811,
般,板橋区氷川町,5.307,4.312,1.503,1.220,2.820,0.650,2.864,3.237,2.490,7.584,1.370,1.806,7.584,0.650,2.930,3.034,0.260,1.172,
環,練馬区石神井町,4.241,4.344,1.376,1.319,1.785,1.409,2.617,2.417,1.242,3.534,1.366,1.104,4.344,1.104,2.229,1.738,0.441,0.892,
境,足立区西新井,6.405,6.202,1.254,1.208,2.850,0.837,3.367,7.075,9.393,14.380,2.723,3.024,14.380,0.837,4.893,5.752,0.335,1.957,
,江戸川区春江町,2.317,3.737,1.027,0.699,1.128,0.234,1.486,3.478,3.977,7.720,0.828,0.709,7.720,0.234,2.278,3.088,0.093,0.911,
,区部一般平均,3.330,4.031,1.272,1.032,2.186,0.638,2.114,3.285,3.339,6.477,1.353,1.371,14.380,< 0.05,2.535,5.752,< 0.03,1.014,
多,小金井市本町,1.924,1.893,0.853,0.958,1.933,1.180,1.787,2.165,1.907,2.280,2.200,3.402,3.402,0.853,1.873,1.361,0.341,0.749,
摩,東大和市奈良橋,2.809,3.038,1.076,1.432,1.867,1.100,1.657,2.547,1.662,2.581,1.890,2.672,3.038,1.076,2.028,1.215,0.431,0.811,
一般,多摩部一般平均,2.367,2.466,0.965,1.195,1.900,1.140,1.722,2.356,1.784,2.430,2.045,3.037,3.402,0.853,1.951,1.361,0.341,0.780,
都一般平均,,3.137,3.718,1.210,1.064,2.129,0.738,2.035,3.099,3.028,5.667,1.491,1.704,14.380,< 0.05,2.418,5.752,< 0.03,0.967,
